Frequency,Channel B,Channel D
(kHz),(dBu),(dBu)

0.00000000,-40.43007000,-11.64018000
0.00061035,-48.05482000,-19.22496000
0.00122070,-64.99156000,-36.04583000
0.00183105,-68.74638000,-43.50515000
0.00244141,-67.46729000,-42.90799000
0.00305176,-71.91142000,-47.98412000
0.00366211,-80.27037000,-53.44703000
0.00427246,-75.90244000,-49.34430000
0.00488281,-83.34242000,-54.82051000
0.00549316,-89.03967000,-72.01270000
0.00610352,-80.29456000,-54.66626000
0.00671387,-79.22610000,-53.44434000
0.00732422,-84.45311000,-56.21294000
0.00793457,-81.65488000,-55.82806000
0.00854492,-90.81281000,-61.63316000
0.00915527,-83.86791000,-56.34068000
0.00976563,-78.25480000,-52.10399000
0.01037598,-77.90379000,-51.74998000
0.01098633,-87.10245000,-58.78436000
0.01159668,-79.50403000,-63.70847000
0.01220703,-78.13331000,-60.67750000
0.01281738,-81.15881000,-61.60102000
0.01342773,-78.74925000,-55.82458000
0.01403809,-81.00574000,-59.11572000
0.01464844,-87.20412000,-66.51956000
0.01525879,-89.84158000,-63.38715000
0.01586914,-84.46820000,-64.93080000
0.01647949,-79.38615000,-59.82017000
0.01708984,-80.53264000,-60.43888000
0.01770020,-83.35725000,-62.11228000
0.01831055,-85.85564000,-65.49638000
0.01892090,-87.40642000,-62.93044000
0.01953125,-78.55336000,-55.93033000
0.02014160,-77.98679000,-54.59431000
0.02075195,-80.90102000,-53.94050000
0.02136230,-95.72237000,-61.19556000
0.02197266,-89.09126000,-68.34956000
0.02258301,-78.31899000,-55.18394000
0.02319336,-80.08394000,-60.02379000
0.02380371,-91.31970000,-61.10737000
0.02441406,-84.61977000,-56.58542000
0.02502441,-80.73070000,-55.13090000
0.02563477,-79.50497000,-54.36337000
0.02624512,-81.15558000,-56.72411000
0.02685547,-85.00057000,-58.84157000
0.02746582,-80.68223000,-58.35602000
0.02807617,-82.66277000,-59.19856000
0.02868652,-41.43300000,-17.47672000
0.02929688,-23.02662000,0.94563580
0.02990723,-17.08578000,6.88750400
0.03051758,-20.20024000,3.77296400
0.03112793,-33.92816000,-9.95519100
0.03173828,-72.60899000,-49.52598000
0.03234863,-73.97311000,-51.45016000
0.03295898,-76.83219000,-55.05343000
0.03356934,-77.05229000,-53.91076000
0.03417969,-81.11549000,-58.91994000
0.03479004,-84.14699000,-61.22838000
0.03540039,-93.29830000,-83.78844000
0.03601074,-89.84367000,-62.42045000
0.03662109,-83.14905000,-59.35354000
0.03723145,-86.46295000,-69.55920000
0.03784180,-93.97707000,-64.64024000
0.03845215,-86.84823000,-66.81041000
0.03906250,-80.22546000,-57.25100000
0.03967285,-80.07049000,-57.99317000
0.04028320,-82.56784000,-61.48911000
0.04089355,-84.11528000,-63.04023000
0.04150391,-84.83043000,-66.71097000
0.04211426,-90.21328000,-80.95016000
0.04272461,-96.56534000,-70.84911000
0.04333496,-95.73492000,-69.10960000
0.04394531,-98.57269000,-72.00821000
0.04455566,-96.33580000,-65.12782000
0.04516602,-84.93353000,-60.41952000
0.04577637,-89.34211000,-62.57084000
0.04638672,-82.96352000,-57.96938000
0.04699707,-82.06232000,-58.02023000
0.04760742,-98.80615000,-80.89009000
0.04821777,-92.06873000,-63.43172000
0.04882813,-65.56704000,-43.19186000
0.04943848,-51.17488000,-28.96095000
0.05004883,-47.57161000,-25.32102000
0.05065918,-53.06503000,-30.73872000
0.05126953,-70.44496000,-47.41384000
0.05187988,-82.01738000,-57.76712000
0.05249023,-81.34067000,-58.88541000
0.05310059,-89.04514000,-67.32121000
0.05371094,-90.62740000,-67.71280000
0.05432129,-93.71113000,-62.30219000
0.05493164,-102.00050000,-65.60410000
0.05554199,-96.44233000,-67.97919000
0.05615234,-92.28497000,-61.18751000
0.05676270,-95.64017000,-62.67470000
0.05737305,-88.81697000,-62.82108000
0.05798340,-81.83331000,-59.19571000
0.05859375,-82.86823000,-59.09975000
0.05920410,-100.18750000,-61.90480000
0.05981445,-77.78094000,-49.65943000
0.06042480,-76.96317000,-50.57640000
0.06103516,-86.82057000,-65.19579000
0.06164551,-103.35870000,-68.22355000
0.06225586,-96.07881000,-72.20924000
0.06286621,-89.15312000,-64.50719000
0.06347656,-93.72818000,-65.49277000
0.06408691,-95.92789000,-81.22181000
0.06469727,-92.30197000,-70.26587000
0.06530762,-96.92933000,-76.56000000
0.06591797,-88.90033000,-68.44637000
0.06652832,-93.86287000,-75.38580000
0.06713867,-86.25191000,-66.34831000
0.06774902,-85.82833000,-66.80028000
0.06835938,-93.06514000,-70.36630000
0.06896973,-87.87723000,-64.40055000
0.06958008,-80.97827000,-57.70497000
0.07019043,-79.83851000,-54.55244000
0.07080078,-83.74113000,-56.52821000
0.07141113,-88.05907000,-64.06435000
0.07202148,-95.73007000,-69.25727000
0.07263184,-92.57599000,-61.92017000
0.07324219,-89.30729000,-63.28333000
0.07385254,-87.74084000,-63.13983000
0.07446289,-85.94736000,-60.30058000
0.07507324,-83.74150000,-61.75573000
0.07568359,-85.16312000,-67.15337000
0.07629395,-97.20790000,-67.42859000
0.07690430,-91.72591000,-66.06010000
0.07751465,-85.32150000,-63.65942000
0.07812500,-86.20615000,-64.81125000
0.07873535,-92.96919000,-67.24887000
0.07934570,-87.67575000,-68.95560000
0.07995605,-84.05081000,-63.04691000
0.08056641,-84.29317000,-62.58593000
0.08117676,-88.97406000,-81.63350000
0.08178711,-84.03857000,-65.12860000
0.08239746,-82.89926000,-61.57595000
0.08300781,-91.07507000,-63.23230000
0.08361816,-88.85075000,-62.21960000
0.08422852,-86.22678000,-61.15277000
0.08483887,-86.71449000,-63.61680000
0.08544922,-91.58107000,-73.55430000
0.08605957,-87.90549000,-63.91048000
0.08666992,-83.76097000,-61.34596000
0.08728027,-85.60502000,-66.89872000
0.08789063,-99.43244000,-66.48051000
0.08850098,-80.01373000,-57.32239000
0.08911133,-59.75880000,-36.19296000
0.08972168,-50.99945000,-27.23710000
0.09033203,-51.50323000,-27.68458000
0.09094238,-61.87201000,-37.93230000
0.09155273,-89.98784000,-64.16726000
0.09216309,-84.46095000,-59.39349000
0.09277344,-84.57912000,-59.00711000
0.09338379,-88.18772000,-64.40488000
0.09399414,-90.52074000,-69.09295000
0.09460449,-98.81360000,-71.41912000
0.09521484,-91.74790000,-75.99420000
0.09582520,-86.13228000,-71.25766000
0.09643555,-94.30291000,-73.90849000
0.09704590,-95.50410000,-71.76940000
0.09765625,-90.40714000,-68.92168000
0.09826660,-93.03104000,-65.13698000
0.09887695,-91.01261000,-66.23000000
0.09948730,-97.57770000,-64.04797000
0.10009766,-86.04178000,-64.38196000
0.10070801,-84.44806000,-71.08054000
0.10131836,-91.17683000,-88.27827000
0.10192871,-94.26280000,-71.50401000
0.10253906,-100.71860000,-67.39893000
0.10314941,-87.78120000,-64.91187000
0.10375977,-85.10732000,-70.19218000
0.10437012,-87.67170000,-77.01157000
0.10498047,-92.00217000,-63.63231000
0.10559082,-91.00198000,-59.49409000
0.10620117,-91.13343000,-62.11738000
0.10681152,-89.18198000,-66.65337000
0.10742188,-85.05569000,-63.15453000
0.10803223,-83.85163000,-64.33401000
0.10864258,-84.63200000,-64.27721000
0.10925293,-82.50233000,-57.40414000
0.10986328,-77.75164000,-53.57022000
0.11047363,-78.74575000,-57.80254000
0.11108398,-84.32110000,-66.38957000
0.11169434,-88.58585000,-67.76924000
0.11230469,-100.76260000,-68.71948000
0.11291504,-96.22444000,-68.18433000
0.11352539,-87.71297000,-64.06211000
0.11413574,-85.77818000,-62.42708000
0.11474609,-93.86055000,-67.09003000
0.11535645,-91.78519000,-75.20488000
0.11596680,-89.63161000,-69.39339000
0.11657715,-96.29258000,-66.00776000
0.11718750,-89.12465000,-67.33493000
0.11779785,-89.46037000,-69.48016000
0.11840820,-90.41156000,-67.05502000
0.11901855,-80.07916000,-56.16045000
0.11962891,-71.56818000,-47.20053000
0.12023926,-71.05134000,-46.50156000
0.12084961,-79.48979000,-55.15490000
0.12145996,-100.91610000,-76.45879000
0.12207031,-101.92540000,-66.49314000
0.12268066,-91.99107000,-65.95581000
0.12329102,-87.07144000,-68.15867000
0.12390137,-88.21487000,-71.35335000
0.12451172,-93.00744000,-76.09583000
0.12512207,-94.13373000,-86.71772000
0.12573242,-86.06644000,-83.67482000
0.12634277,-83.70376000,-75.67258000
0.12695313,-86.33102000,-80.47881000
0.12756348,-89.88962000,-69.36729000
0.12817383,-86.56826000,-64.66562000
0.12878418,-88.77540000,-70.22282000
0.12939453,-89.43165000,-63.99658000
0.13000488,-81.91542000,-57.13741000
0.13061523,-84.26913000,-61.21359000
0.13122559,-94.73746000,-73.51665000
0.13183594,-101.98150000,-73.05981000
0.13244629,-91.48392000,-74.87193000
0.13305664,-94.01025000,-73.28518000
0.13366699,-94.77424000,-77.33394000
0.13427734,-90.95976000,-82.95895000
0.13488770,-94.82957000,-79.76276000
0.13549805,-92.92113000,-72.40489000
0.13610840,-89.35902000,-72.45318000
0.13671875,-91.24549000,-78.21310000
0.13732910,-91.46902000,-70.53284000
0.13793945,-89.81384000,-69.08822000
0.13854980,-90.50935000,-70.27706000
0.13916016,-88.57199000,-77.83611000
0.13977051,-85.44315000,-71.22826000
0.14038086,-88.36445000,-72.60303000
0.14099121,-94.72827000,-75.53209000
0.14160156,-92.19757000,-73.63830000
0.14221191,-93.30070000,-96.97132000
0.14282227,-89.43819000,-79.01927000
0.14343262,-86.80275000,-86.23333000
0.14404297,-85.62260000,-86.10719000
0.14465332,-82.23733000,-78.88634000
0.14526367,-84.07607000,-74.20554000
0.14587402,-87.39880000,-71.00563000
0.14648438,-87.13654000,-67.56970000
