Row,file_index,num_points,peakB_dBu,f_peakB_kHz,f_3dB_B_kHz,peakD_dBu,f_peakD_kHz,f_3dB_D_kHz,hum50B_dBu,hum50D_dBu,hum50B_SNR_dB,hum50D_SNR_dB,RMS_band1_B_dBu,RMS_band1_D_dBu
20251008-analisi_rumore-400k_01.csv,1,16384,-17.09247,0.02990723,NaN,6.88157,0.02990723,NaN,-47.55527,-25.34584,45.99864,49.373615,-36.745844342318,-12.7447072203006
20251008-analisi_rumore-400k_02.csv,2,16384,-17.09043,0.02990723,NaN,6.883129,0.02990723,NaN,-47.49246,-25.40159,45.76323,49.204505,-36.7493268197628,-12.750490529924
20251008-analisi_rumore-400k_03.csv,3,16384,-17.08578,0.02990723,NaN,6.887504,0.02990723,NaN,-47.57161,-25.32102,45.73839,49.469275,-36.742083504685,-12.7432730097823
20251008-analisi_rumore-400k_04.csv,4,16384,-17.08772,0.02990723,NaN,6.883538,0.02990723,NaN,-47.55031,-25.46748,45.360355,49.27782,-36.7441412257436,-12.747358429246
20251008-analisi_rumore-400k_05.csv,5,16384,-17.08869,0.02990723,NaN,6.882743,0.02990723,NaN,-47.60973,-25.58742,45.550905,49.253615,-36.7429693099751,-12.7438969709231
20251008-analisi_rumore-400k_06.csv,6,16384,-17.09051,0.02990723,NaN,6.882967,0.02990723,NaN,-47.6147,-25.55156,44.52297,49.2072,-36.7456563939055,-12.7461990301984
20251008-analisi_rumore-400k_07.csv,7,16384,-17.08706,0.02990723,NaN,6.886641,0.02990723,NaN,-47.70864,-25.43826,45.79154,49.14156,-36.7428249202312,-12.7405965909825
20251008-analisi_rumore-400k_08.csv,8,16384,-17.08957,0.02990723,NaN,6.883633,0.02990723,NaN,-47.47516,-25.35197,46.14414,49.323815,-36.7450758007718,-12.7440872728076
20251008-analisi_rumore-400k_09.csv,9,16384,-17.0916,0.02990723,NaN,6.882002,0.02990723,NaN,-47.71087,-25.42263,45.52139,49.17833,-36.7471861627255,-12.7452577897631
20251008-analisi_rumore-400k_10.csv,10,16384,-17.09034,0.02990723,NaN,6.880264,0.02990723,NaN,-47.67679,-25.6888,45.453855,48.95102,-36.7486270871864,-12.7522828280617
