Frequency,Channel B,Channel D
(kHz),(dBu),(dBu)

0.00000000,-39.06073000,-10.08793000
0.00061035,-46.41804000,-17.55003000
0.00122070,-60.70423000,-33.03480000
0.00183105,-77.92228000,-55.87634000
0.00244141,-75.58486000,-47.60041000
0.00305176,-78.14751000,-49.71867000
0.00366211,-81.01105000,-52.73791000
0.00427246,-82.05641000,-59.91883000
0.00488281,-78.01425000,-58.26433000
0.00549316,-76.49590000,-54.93692000
0.00610352,-75.48096000,-52.16127000
0.00671387,-76.89613000,-52.28925000
0.00732422,-80.48068000,-56.31078000
0.00793457,-86.65127000,-66.00809000
0.00854492,-78.22105000,-54.20451000
0.00915527,-77.09167000,-51.59800000
0.00976563,-80.56985000,-53.00164000
0.01037598,-82.48920000,-55.65649000
0.01098633,-79.36089000,-55.43659000
0.01159668,-82.22023000,-57.98543000
0.01220703,-85.14678000,-64.51195000
0.01281738,-81.72248000,-64.33156000
0.01342773,-83.04630000,-62.18237000
0.01403809,-83.22728000,-62.53745000
0.01464844,-85.49355000,-65.41370000
0.01525879,-88.48507000,-64.16299000
0.01586914,-83.45641000,-60.67445000
0.01647949,-84.02831000,-57.67260000
0.01708984,-85.83683000,-60.78844000
0.01770020,-91.99911000,-61.91366000
0.01831055,-81.80637000,-57.41962000
0.01892090,-78.56634000,-52.97545000
0.01953125,-83.50251000,-54.90261000
0.02014160,-80.43280000,-53.30254000
0.02075195,-83.60619000,-57.78524000
0.02136230,-86.20355000,-60.74809000
0.02197266,-79.49395000,-55.28860000
0.02258301,-79.12836000,-55.45285000
0.02319336,-82.73694000,-58.98769000
0.02380371,-89.74570000,-61.65968000
0.02441406,-82.59836000,-60.51361000
0.02502441,-82.80587000,-66.87199000
0.02563477,-84.30078000,-64.73203000
0.02624512,-88.57499000,-60.77675000
0.02685547,-80.11166000,-58.51406000
0.02746582,-88.93483000,-60.47971000
0.02807617,-80.19901000,-55.66088000
0.02868652,-41.22800000,-16.82544000
0.02929688,-22.86142000,1.54273600
0.02990723,-16.92658000,7.47585800
0.03051758,-20.04460000,4.35592500
0.03112793,-33.79737000,-9.39944000
0.03173828,-78.01138000,-52.24437000
0.03234863,-78.73038000,-52.50317000
0.03295898,-79.55779000,-55.53349000
0.03356934,-91.60834000,-64.20022000
0.03417969,-82.47830000,-60.25133000
0.03479004,-84.33624000,-60.78022000
0.03540039,-90.54978000,-64.23946000
0.03601074,-82.38991000,-57.53075000
0.03662109,-92.81384000,-62.64264000
0.03723145,-96.81953000,-65.55810000
0.03784180,-95.77625000,-66.46669000
0.03845215,-86.36033000,-62.65327000
0.03906250,-86.54828000,-59.82704000
0.03967285,-79.50923000,-56.09197000
0.04028320,-79.38068000,-59.71789000
0.04089355,-88.49090000,-59.73013000
0.04150391,-86.02135000,-73.79943000
0.04211426,-80.97510000,-66.80618000
0.04272461,-84.93755000,-65.95647000
0.04333496,-93.60924000,-59.80183000
0.04394531,-82.75410000,-59.89256000
0.04455566,-82.68471000,-62.28837000
0.04516602,-94.45893000,-70.36655000
0.04577637,-85.09696000,-65.34270000
0.04638672,-81.00615000,-59.48302000
0.04699707,-87.93173000,-64.76024000
0.04760742,-92.01180000,-64.16942000
0.04821777,-87.25175000,-62.03484000
0.04882813,-67.51148000,-44.65841000
0.04943848,-52.04300000,-29.34781000
0.05004883,-47.88031000,-25.30691000
0.05065918,-52.96015000,-30.53305000
0.05126953,-70.79677000,-49.25909000
0.05187988,-84.99428000,-61.87614000
0.05249023,-83.31859000,-61.35324000
0.05310059,-82.84007000,-67.24316000
0.05371094,-86.25813000,-62.29605000
0.05432129,-81.95278000,-57.55171000
0.05493164,-83.87619000,-60.66752000
0.05554199,-89.68110000,-68.97748000
0.05615234,-86.82789000,-63.32276000
0.05676270,-86.58238000,-67.10176000
0.05737305,-95.17234000,-73.60600000
0.05798340,-87.67406000,-68.54498000
0.05859375,-78.74471000,-61.55255000
0.05920410,-77.51521000,-64.93157000
0.05981445,-85.68577000,-63.94210000
0.06042480,-86.02856000,-59.04097000
0.06103516,-83.31554000,-58.54928000
0.06164551,-84.75574000,-59.17484000
0.06225586,-81.77924000,-60.04938000
0.06286621,-79.43221000,-58.21268000
0.06347656,-86.53144000,-60.79454000
0.06408691,-85.04297000,-66.96141000
0.06469727,-85.67962000,-66.74945000
0.06530762,-89.92656000,-66.66206000
0.06591797,-87.17908000,-72.52913000
0.06652832,-93.32558000,-65.14456000
0.06713867,-90.57362000,-63.04815000
0.06774902,-86.27926000,-75.57092000
0.06835938,-87.66506000,-64.81698000
0.06896973,-95.86900000,-66.96904000
0.06958008,-79.86124000,-58.09525000
0.07019043,-75.82089000,-55.51411000
0.07080078,-82.94319000,-64.55464000
0.07141113,-85.87784000,-64.95079000
0.07202148,-85.36549000,-63.00407000
0.07263184,-89.37619000,-66.71327000
0.07324219,-86.35808000,-66.80028000
0.07385254,-88.00438000,-63.61530000
0.07446289,-88.06723000,-64.76818000
0.07507324,-84.44861000,-65.11313000
0.07568359,-89.73305000,-76.06005000
0.07629395,-89.51999000,-71.18619000
0.07690430,-86.05632000,-64.63425000
0.07751465,-86.09565000,-63.24863000
0.07812500,-91.11225000,-66.97469000
0.07873535,-93.11980000,-62.72920000
0.07934570,-84.04503000,-61.01186000
0.07995605,-80.26048000,-59.32229000
0.08056641,-84.47990000,-66.91512000
0.08117676,-93.16026000,-60.71432000
0.08178711,-95.14055000,-62.43195000
0.08239746,-94.64226000,-75.46986000
0.08300781,-101.84440000,-68.95383000
0.08361816,-87.46846000,-65.21404000
0.08422852,-90.07191000,-70.29774000
0.08483887,-91.30170000,-70.37743000
0.08544922,-89.60818000,-66.52195000
0.08605957,-101.25310000,-73.56490000
0.08666992,-95.91063000,-70.12534000
0.08728027,-96.42251000,-74.77458000
0.08789063,-107.89370000,-74.59303000
0.08850098,-91.89346000,-70.15448000
0.08911133,-69.57725000,-49.58594000
0.08972168,-62.16903000,-39.75760000
0.09033203,-63.80024000,-40.36115000
0.09094238,-75.28954000,-52.13539000
0.09155273,-89.87199000,-69.52405000
0.09216309,-83.60559000,-65.15170000
0.09277344,-85.09354000,-61.79221000
0.09338379,-86.19254000,-58.97202000
0.09399414,-84.46773000,-59.97404000
0.09460449,-83.02970000,-62.36334000
0.09521484,-83.45260000,-63.59834000
0.09582520,-82.87754000,-61.66704000
0.09643555,-86.90601000,-61.32046000
0.09704590,-93.58585000,-65.63117000
0.09765625,-86.07247000,-65.55837000
0.09826660,-92.51209000,-64.83142000
0.09887695,-90.75817000,-75.29504000
0.09948730,-79.03413000,-67.24796000
0.10009766,-74.33524000,-60.98927000
0.10070801,-77.23164000,-63.63291000
0.10131836,-85.62440000,-72.20368000
0.10192871,-91.01368000,-84.02793000
0.10253906,-88.90202000,-71.40079000
0.10314941,-89.93967000,-77.97655000
0.10375977,-100.40970000,-70.55885000
0.10437012,-98.92697000,-68.47909000
0.10498047,-95.85452000,-77.41376000
0.10559082,-92.27784000,-69.92090000
0.10620117,-87.51624000,-66.89943000
0.10681152,-89.30360000,-64.15536000
0.10742188,-89.91547000,-61.48701000
0.10803223,-83.45291000,-61.85677000
0.10864258,-83.22048000,-62.48624000
0.10925293,-86.29245000,-61.51170000
0.10986328,-86.79742000,-60.17972000
0.11047363,-94.58127000,-61.99627000
0.11108398,-102.86490000,-64.69462000
0.11169434,-104.21190000,-68.79720000
0.11230469,-98.97788000,-76.58832000
0.11291504,-98.63611000,-66.56152000
0.11352539,-90.05479000,-63.25022000
0.11413574,-84.09491000,-64.09688000
0.11474609,-82.95551000,-67.13756000
0.11535645,-86.92729000,-71.27919000
0.11596680,-98.38681000,-70.89524000
0.11657715,-97.88651000,-68.84643000
0.11718750,-92.77757000,-75.63928000
0.11779785,-90.93983000,-67.12033000
0.11840820,-99.65903000,-70.11860000
0.11901855,-86.54883000,-66.06433000
0.11962891,-76.62162000,-51.84296000
0.12023926,-74.18685000,-50.49587000
0.12084961,-77.99947000,-57.06761000
0.12145996,-86.48909000,-63.16105000
0.12207031,-93.66193000,-65.94830000
0.12268066,-85.23309000,-71.11166000
0.12329102,-84.46167000,-72.92693000
0.12390137,-82.41772000,-79.19787000
0.12451172,-83.25776000,-79.90709000
0.12512207,-84.83639000,-79.50366000
0.12573242,-85.14650000,-68.19918000
0.12634277,-88.18988000,-68.66582000
0.12695313,-91.52913000,-69.14130000
0.12756348,-86.44505000,-64.55946000
0.12817383,-82.76081000,-65.14343000
0.12878418,-82.36639000,-69.18950000
0.12939453,-81.50150000,-63.47751000
0.13000488,-79.60514000,-59.76349000
0.13061523,-84.89635000,-65.26500000
0.13122559,-87.51839000,-72.56695000
0.13183594,-82.00244000,-64.85213000
0.13244629,-83.16495000,-66.04739000
0.13305664,-85.65030000,-70.18820000
0.13366699,-88.32397000,-73.67236000
0.13427734,-94.52687000,-73.22766000
0.13488770,-91.28746000,-67.88022000
0.13549805,-94.13911000,-67.26541000
0.13610840,-87.20990000,-65.58346000
0.13671875,-82.51845000,-64.27605000
0.13732910,-80.88203000,-67.88110000
0.13793945,-82.21778000,-78.30016000
0.13854980,-86.94683000,-80.33146000
0.13916016,-85.69193000,-69.59731000
0.13977051,-83.94829000,-58.58559000
0.14038086,-88.45428000,-60.13042000
0.14099121,-97.59036000,-70.01076000
0.14160156,-97.62160000,-68.94916000
0.14221191,-97.96088000,-68.48930000
0.14282227,-95.29115000,-71.84707000
0.14343262,-93.28555000,-71.61825000
0.14404297,-97.89711000,-88.46870000
0.14465332,-87.60591000,-68.90885000
0.14526367,-87.43353000,-65.28448000
0.14587402,-90.18963000,-64.04250000
0.14648438,-93.28404000,-62.66117000
