Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-15.31841000,-27.19616000,37.12437000,-0.76844160
0.00061035,-22.86617000,-34.77388000,29.60870000,-8.30997600
0.00122070,-39.22741000,-51.45857000,13.69624000,-24.61412000
0.00183105,-63.31022000,-74.77806000,-51.19688000,-50.98008000
0.00244141,-64.66195000,-82.10500000,-46.57595000,-57.88039000
0.00305176,-64.85065000,-74.34418000,-46.34708000,-51.14542000
0.00366211,-65.82228000,-78.52254000,-50.89167000,-56.30191000
0.00427246,-71.36121000,-86.58772000,-47.42871000,-66.12784000
0.00488281,-76.40046000,-84.70580000,-44.08138000,-61.95677000
0.00549316,-81.28708000,-85.96489000,-46.13352000,-59.88606000
0.00610352,-73.77695000,-83.30794000,-56.49616000,-56.43948000
0.00671387,-66.39271000,-82.49187000,-44.53083000,-52.61574000
0.00732422,-63.75933000,-81.35955000,-45.49553000,-53.55125000
0.00793457,-68.39185000,-79.87749000,-49.37706000,-58.86596000
0.00854492,-75.91666000,-79.72692000,-54.03036000,-58.70610000
0.00915527,-66.69719000,-84.81969000,-57.44392000,-53.97625000
0.00976563,-55.34789000,-80.43433000,-54.68311000,-59.11259000
0.01037598,-54.63097000,-75.79934000,-50.93251000,-54.40897000
0.01098633,-61.34721000,-89.07436000,-49.90741000,-65.20030000
0.01159668,-76.15028000,-76.40193000,-52.34528000,-54.91914000
0.01220703,-76.66434000,-76.37952000,-71.02177000,-55.20212000
0.01281738,-70.85568000,-78.67665000,-53.93196000,-56.45821000
0.01342773,-73.17117000,-83.41489000,-48.58469000,-58.91790000
0.01403809,-69.27692000,-81.41877000,-46.65267000,-57.81513000
0.01464844,-69.92482000,-77.16711000,-48.33147000,-54.41367000
0.01525879,-66.96595000,-78.16682000,-59.35951000,-54.79945000
0.01586914,-64.32146000,-86.56860000,-54.67266000,-60.52542000
0.01647949,-65.85941000,-83.80260000,-59.76052000,-71.87826000
0.01708984,-67.95474000,-79.59069000,-59.98031000,-60.06842000
0.01770020,-73.04358000,-76.41427000,-53.36433000,-55.17231000
0.01831055,-85.32912000,-75.34666000,-54.04994000,-53.23481000
0.01892090,-85.98461000,-81.68440000,-57.45015000,-56.69169000
0.01953125,-68.09173000,-82.14957000,-61.77328000,-56.84618000
0.02014160,-63.66886000,-86.04269000,-54.78712000,-55.54348000
0.02075195,-68.22318000,-80.15364000,-48.16535000,-60.15785000
0.02136230,-76.55718000,-77.24522000,-46.84651000,-55.85194000
0.02197266,-78.53676000,-87.96159000,-48.77999000,-64.11321000
0.02258301,-69.46569000,-84.63052000,-49.67012000,-61.68379000
0.02319336,-66.96590000,-80.51495000,-53.34486000,-59.74037000
0.02380371,-67.18675000,-84.20959000,-50.61869000,-56.32429000
0.02441406,-72.15676000,-79.28344000,-50.15240000,-52.22053000
0.02502441,-67.62793000,-80.48084000,-52.45648000,-54.84748000
0.02563477,-68.80818000,-77.37338000,-61.45967000,-55.52372000
0.02624512,-72.26524000,-75.80716000,-54.06836000,-55.15623000
0.02685547,-84.01696000,-84.20567000,-50.15656000,-59.79875000
0.02746582,-81.83891000,-86.16021000,-51.09796000,-58.29686000
0.02807617,-75.90245000,-82.11942000,-50.89938000,-66.55322000
0.02868652,-45.56264000,-41.48283000,-48.72502000,-17.52517000
0.02929688,-27.08469000,-23.06357000,-57.12734000,0.90955700
0.02990723,-21.15433000,-17.11408000,-45.84715000,6.85749000
0.03051758,-24.28166000,-20.22120000,-49.75927000,3.74978500
0.03112793,-37.99102000,-33.94352000,-63.86002000,-9.96273400
0.03173828,-74.54713000,-79.40988000,-56.84853000,-51.53677000
0.03234863,-94.83759000,-89.81604000,-56.66983000,-58.88908000
0.03295898,-69.97276000,-82.14417000,-55.24197000,-59.40952000
0.03356934,-67.28146000,-80.23475000,-56.85329000,-57.78595000
0.03417969,-66.40816000,-84.45016000,-60.56527000,-66.92981000
0.03479004,-66.79958000,-84.85371000,-51.99808000,-60.01064000
0.03540039,-74.08006000,-87.46977000,-47.57422000,-62.20728000
0.03601074,-72.68884000,-79.50690000,-53.87623000,-58.57879000
0.03662109,-87.69899000,-81.74193000,-53.44896000,-60.67082000
0.03723145,-73.01347000,-77.96119000,-49.62370000,-54.73446000
0.03784180,-76.83183000,-79.34239000,-47.78868000,-54.87263000
0.03845215,-70.10611000,-79.28368000,-52.88573000,-55.64877000
0.03906250,-76.34253000,-75.75804000,-68.43909000,-53.88317000
0.03967285,-57.88271000,-72.19232000,-52.38594000,-48.02534000
0.04028320,-56.27188000,-74.18323000,-47.91101000,-49.70446000
0.04089355,-62.25032000,-80.32082000,-47.16681000,-56.64795000
0.04150391,-67.47278000,-83.35961000,-49.79466000,-63.08429000
0.04211426,-69.23409000,-85.92861000,-55.78453000,-76.87760000
0.04272461,-78.88867000,-84.60087000,-52.78849000,-64.88588000
0.04333496,-75.38851000,-89.38214000,-58.06247000,-65.75803000
0.04394531,-70.01923000,-108.91270000,-53.76710000,-65.57222000
0.04455566,-69.52234000,-90.65350000,-48.16612000,-66.34282000
0.04516602,-70.68900000,-80.94886000,-49.67285000,-60.29304000
0.04577637,-72.85110000,-80.78124000,-54.02816000,-59.99854000
0.04638672,-72.02386000,-88.90993000,-64.74798000,-67.89306000
0.04699707,-66.95901000,-108.36950000,-59.08095000,-85.51427000
0.04760742,-65.39572000,-105.09830000,-64.61899000,-74.84325000
0.04821777,-65.54594000,-101.77430000,-57.47137000,-73.70667000
0.04882813,-60.88844000,-66.43822000,-56.42201000,-43.56195000
0.04943848,-53.39421000,-51.46171000,-50.05515000,-29.07303000
0.05004883,-51.51450000,-47.76926000,-48.25351000,-25.46760000
0.05065918,-58.75439000,-53.30433000,-56.32937000,-30.91195000
0.05126953,-73.70512000,-71.21603000,-62.92732000,-48.44830000
0.05187988,-80.01790000,-84.13545000,-55.69350000,-70.38387000
0.05249023,-67.21440000,-82.94916000,-50.40031000,-63.14935000
0.05310059,-66.63543000,-80.85204000,-48.52839000,-59.58076000
0.05371094,-74.91821000,-80.91444000,-50.22474000,-59.63150000
0.05432129,-75.94867000,-88.87022000,-52.58869000,-68.24670000
0.05493164,-89.81590000,-89.65388000,-68.37327000,-68.84393000
0.05554199,-70.85062000,-88.50025000,-52.74475000,-69.84559000
0.05615234,-64.66493000,-89.12823000,-52.67738000,-74.34726000
0.05676270,-64.51923000,-80.07726000,-54.03620000,-61.36576000
0.05737305,-72.13631000,-79.32986000,-47.31007000,-58.96291000
0.05798340,-75.34560000,-83.40610000,-48.09205000,-62.87433000
0.05859375,-63.04676000,-101.61740000,-56.28994000,-70.85620000
0.05920410,-41.76717000,-72.63292000,-63.16689000,-49.85023000
0.05981445,-34.41710000,-64.64431000,-53.78479000,-41.08419000
0.06042480,-36.15696000,-66.21142000,-50.37718000,-42.27892000
0.06103516,-47.49355000,-76.91493000,-52.67559000,-52.42381000
0.06164551,-66.63818000,-85.99731000,-51.14410000,-64.00615000
0.06225586,-68.67384000,-80.00755000,-52.39711000,-59.22165000
0.06286621,-74.47800000,-79.32804000,-52.61209000,-57.80521000
0.06347656,-71.37979000,-82.49764000,-57.76558000,-60.97716000
0.06408691,-72.31087000,-88.08264000,-60.17860000,-62.39116000
0.06469727,-76.41232000,-90.93967000,-52.14763000,-64.66376000
0.06530762,-72.45315000,-86.51467000,-53.23610000,-74.18534000
0.06591797,-68.74353000,-85.85745000,-51.17206000,-76.21564000
0.06652832,-62.72796000,-90.26904000,-53.50194000,-78.72964000
0.06713867,-60.39372000,-91.36066000,-58.25666000,-67.59386000
0.06774902,-63.23421000,-89.07263000,-58.94467000,-63.80255000
0.06835938,-76.54533000,-85.53829000,-54.40222000,-66.37885000
0.06896973,-77.55535000,-85.57495000,-52.25438000,-64.20911000
0.06958008,-59.39918000,-76.89479000,-56.90859000,-50.38175000
0.07019043,-55.83882000,-74.73714000,-63.70170000,-48.75983000
0.07080078,-59.01310000,-82.92606000,-55.83902000,-57.72376000
0.07141113,-66.35339000,-96.84978000,-52.07631000,-78.32279000
0.07202148,-68.30303000,-86.98535000,-51.22599000,-70.55220000
0.07263184,-69.68122000,-82.53585000,-49.75372000,-64.58456000
0.07324219,-69.92855000,-84.02314000,-54.71454000,-64.13159000
0.07385254,-67.78561000,-89.23637000,-58.98620000,-72.07999000
0.07446289,-69.42126000,-85.96618000,-63.08799000,-75.27267000
0.07507324,-68.08291000,-83.77534000,-54.56943000,-74.00956000
0.07568359,-62.65421000,-92.82805000,-53.44369000,-74.96887000
0.07629395,-64.81497000,-84.20459000,-58.65560000,-74.77016000
0.07690430,-65.34595000,-82.67543000,-50.09070000,-81.62703000
0.07751465,-67.37672000,-97.71262000,-46.83657000,-65.82187000
0.07812500,-75.97612000,-95.68215000,-51.39833000,-70.17711000
0.07873535,-71.35283000,-82.68699000,-64.56953000,-64.54774000
0.07934570,-69.92598000,-75.38240000,-59.85117000,-52.44028000
0.07995605,-66.36109000,-72.90840000,-55.83747000,-47.96049000
0.08056641,-65.15829000,-77.68557000,-54.63787000,-52.06315000
0.08117676,-70.70290000,-94.00788000,-60.77791000,-67.09216000
0.08178711,-76.09731000,-90.37055000,-54.44404000,-63.97189000
0.08239746,-68.78274000,-85.59035000,-53.74596000,-65.65691000
0.08300781,-67.45850000,-85.53241000,-73.16791000,-72.51809000
0.08361816,-67.99922000,-87.14767000,-54.64638000,-74.12047000
0.08422852,-69.15747000,-85.48717000,-54.86866000,-67.26846000
0.08483887,-67.66824000,-88.02201000,-59.39187000,-69.06341000
0.08544922,-67.31078000,-85.91663000,-58.20426000,-71.89920000
0.08605957,-66.05008000,-90.45265000,-52.56453000,-80.39568000
0.08666992,-66.12393000,-97.11873000,-49.86968000,-72.06144000
0.08728027,-67.35991000,-92.58478000,-49.51717000,-73.62234000
0.08789063,-69.34377000,-94.23138000,-49.38150000,-78.62513000
0.08850098,-76.18875000,-86.91682000,-55.55595000,-64.10236000
0.08911133,-44.77411000,-63.92182000,-62.12203000,-38.79138000
0.08972168,-35.40790000,-54.93154000,-52.57735000,-29.79301000
