Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-15.35780000,-26.85661000,37.11956000,-0.64592990
0.00061035,-22.90725000,-34.36264000,29.60223000,-8.16926100
0.00122070,-39.28827000,-50.18006000,13.67455000,-24.15164000
0.00183105,-64.31756000,-87.75512000,-47.99355000,-57.85152000
0.00244141,-64.01369000,-92.46507000,-54.60010000,-64.05238000
0.00305176,-64.13060000,-91.95226000,-44.34237000,-70.02121000
0.00366211,-63.49731000,-89.10304000,-45.92040000,-66.68075000
0.00427246,-64.60983000,-84.75764000,-45.52812000,-62.02826000
0.00488281,-63.06313000,-84.38501000,-46.28759000,-62.16026000
0.00549316,-64.46944000,-88.92655000,-46.51781000,-73.23471000
0.00610352,-69.93673000,-85.65726000,-44.69047000,-63.86121000
0.00671387,-72.52868000,-81.82791000,-46.00540000,-59.16367000
0.00732422,-66.80114000,-87.48714000,-50.09874000,-60.68021000
0.00793457,-65.22018000,-77.02937000,-74.97812000,-51.40879000
0.00854492,-65.61395000,-78.53995000,-55.02747000,-53.16980000
0.00915527,-70.71616000,-88.30804000,-57.28479000,-67.88268000
0.00976563,-57.69657000,-79.54675000,-64.50536000,-60.35542000
0.01037598,-58.06290000,-78.86366000,-66.91644000,-60.04517000
0.01098633,-70.89943000,-84.78332000,-50.74142000,-65.19555000
0.01159668,-73.35930000,-83.99525000,-49.31065000,-64.28986000
0.01220703,-65.94708000,-100.56670000,-49.55507000,-84.36243000
0.01281738,-65.38993000,-85.42297000,-48.35762000,-74.19730000
0.01342773,-75.09093000,-85.33601000,-50.08428000,-72.72117000
0.01403809,-67.97163000,-81.27649000,-57.69374000,-68.74704000
0.01464844,-66.37883000,-81.52091000,-62.95418000,-59.44966000
0.01525879,-63.69791000,-86.08379000,-50.12537000,-59.27075000
0.01586914,-62.96399000,-83.71045000,-48.04663000,-59.67699000
0.01647949,-66.45625000,-81.99985000,-59.53188000,-60.64354000
0.01708984,-76.73912000,-87.69512000,-56.46432000,-61.48291000
0.01770020,-73.10862000,-95.84756000,-58.87041000,-60.44182000
0.01831055,-67.56217000,-88.02192000,-58.53220000,-59.98603000
0.01892090,-64.53711000,-89.04510000,-52.41577000,-66.91155000
0.01953125,-60.60569000,-91.63855000,-49.61521000,-57.38997000
0.02014160,-60.11474000,-83.22784000,-56.72215000,-53.58370000
0.02075195,-65.19004000,-89.87370000,-67.23162000,-59.94906000
0.02136230,-75.40393000,-95.06481000,-59.28142000,-66.79777000
0.02197266,-72.19398000,-102.03570000,-53.74754000,-65.72160000
0.02258301,-65.88021000,-81.79810000,-53.79964000,-56.93888000
0.02319336,-72.46425000,-74.51188000,-53.06417000,-52.20251000
0.02380371,-72.98783000,-73.86394000,-55.63833000,-53.25365000
0.02441406,-72.26649000,-75.65080000,-57.83076000,-54.74382000
0.02502441,-73.68535000,-81.87840000,-52.66739000,-62.84503000
0.02563477,-69.09868000,-85.41650000,-49.88054000,-66.75737000
0.02624512,-68.52237000,-86.37940000,-52.63183000,-62.05875000
0.02685547,-78.75680000,-77.03896000,-52.82993000,-54.74991000
0.02746582,-74.87865000,-79.81754000,-56.31041000,-58.49121000
0.02807617,-73.45250000,-76.20971000,-62.61016000,-53.80120000
0.02868652,-45.61806000,-41.38674000,-61.30989000,-17.44674000
0.02929688,-27.10667000,-23.04692000,-51.03186000,0.92252120
0.02990723,-21.15563000,-17.10769000,-47.74461000,6.86487900
0.03051758,-24.27103000,-20.21930000,-54.00795000,3.75545500
0.03112793,-37.95478000,-33.95072000,-47.61271000,-9.97138500
0.03173828,-76.78839000,-77.29133000,-45.79851000,-55.95951000
0.03234863,-67.16964000,-83.39393000,-47.16168000,-68.10479000
0.03295898,-67.83427000,-87.12991000,-43.18723000,-59.37952000
0.03356934,-73.71946000,-81.95750000,-44.34603000,-62.27996000
0.03417969,-72.88026000,-95.23364000,-48.54973000,-69.62359000
0.03479004,-69.49110000,-82.37041000,-48.94493000,-63.76763000
0.03540039,-68.48125000,-85.27184000,-48.82227000,-62.18139000
0.03601074,-70.98353000,-87.73193000,-48.52188000,-72.33453000
0.03662109,-70.64361000,-93.35390000,-50.91530000,-62.72930000
0.03723145,-67.70048000,-92.58645000,-52.04465000,-69.84695000
0.03784180,-69.20863000,-94.59543000,-51.47960000,-65.48049000
0.03845215,-69.51056000,-95.29430000,-51.90886000,-59.84575000
0.03906250,-67.91891000,-85.30228000,-51.29227000,-68.79974000
0.03967285,-58.41337000,-78.40939000,-50.34391000,-52.38414000
0.04028320,-57.47143000,-81.31736000,-52.83442000,-52.92526000
0.04089355,-64.16476000,-84.46166000,-51.54842000,-63.17149000
0.04150391,-72.00356000,-81.36052000,-52.09196000,-58.34875000
0.04211426,-73.72705000,-85.38271000,-53.73797000,-61.12627000
0.04272461,-85.77271000,-91.60783000,-51.23824000,-65.20764000
0.04333496,-71.77319000,-105.25630000,-55.44440000,-70.41000000
0.04394531,-63.53278000,-108.57470000,-55.99095000,-68.82906000
0.04455566,-60.02912000,-86.28003000,-51.46401000,-63.31864000
0.04516602,-60.41599000,-85.90096000,-59.38366000,-63.35822000
0.04577637,-63.84541000,-99.32858000,-65.54645000,-69.87018000
0.04638672,-76.27715000,-89.01154000,-60.52420000,-90.14914000
0.04699707,-74.99689000,-96.16339000,-60.34638000,-62.15572000
0.04760742,-67.50678000,-88.75610000,-58.83785000,-58.58484000
0.04821777,-67.49696000,-90.65178000,-53.56814000,-61.08632000
0.04882813,-65.69215000,-65.33608000,-50.39977000,-43.12791000
0.04943848,-56.35503000,-51.08701000,-46.36874000,-28.98719000
0.05004883,-52.87663000,-47.54745000,-45.75317000,-25.39940000
0.05065918,-57.32961000,-52.95665000,-48.81914000,-30.75645000
0.05126953,-65.68618000,-70.27081000,-48.21499000,-47.48922000
0.05187988,-64.06470000,-91.59309000,-50.37223000,-66.38469000
0.05249023,-63.39007000,-90.17418000,-72.92257000,-61.10448000
0.05310059,-65.32224000,-82.31613000,-54.26965000,-57.39205000
0.05371094,-75.38615000,-85.68546000,-56.56299000,-61.28521000
0.05432129,-73.61343000,-94.14016000,-80.89286000,-66.87047000
0.05493164,-67.72021000,-91.87880000,-54.36505000,-70.89091000
0.05554199,-65.72349000,-92.51874000,-52.36611000,-72.68692000
0.05615234,-63.25458000,-91.63622000,-63.37091000,-71.55143000
0.05676270,-64.71986000,-96.32904000,-55.63476000,-64.37187000
0.05737305,-65.91151000,-88.94230000,-50.51115000,-61.17043000
0.05798340,-64.91482000,-83.19246000,-48.25865000,-60.09315000
0.05859375,-58.47587000,-80.49847000,-48.97024000,-62.21062000
0.05920410,-41.36489000,-73.04110000,-51.67363000,-51.04725000
0.05981445,-34.23924000,-67.61852000,-54.04784000,-43.07634000
0.06042480,-36.00133000,-70.47343000,-50.70971000,-44.84917000
0.06103516,-47.11109000,-82.93652000,-54.36715000,-55.68235000
0.06164551,-64.66846000,-98.99220000,-64.55458000,-70.92776000
0.06225586,-70.39480000,-92.12417000,-51.26455000,-70.36280000
0.06286621,-74.83907000,-84.55300000,-45.71258000,-64.40088000
0.06347656,-69.38933000,-81.07486000,-46.92922000,-66.88005000
0.06408691,-70.16150000,-80.75993000,-50.88606000,-66.03187000
0.06469727,-67.48769000,-87.92107000,-51.02499000,-70.70240000
0.06530762,-65.83457000,-88.05699000,-47.99347000,-68.70631000
0.06591797,-67.53749000,-84.44031000,-48.51176000,-63.66294000
0.06652832,-71.68317000,-84.63623000,-54.72583000,-65.68509000
0.06713867,-85.51524000,-84.95175000,-57.93697000,-67.49544000
0.06774902,-75.43008000,-86.60778000,-54.19501000,-63.80157000
0.06835938,-68.35913000,-85.66000000,-53.63020000,-66.81036000
0.06896973,-79.77352000,-81.84149000,-59.52940000,-61.15872000
0.06958008,-62.60781000,-73.78873000,-62.90467000,-48.91912000
0.07019043,-59.97088000,-73.10254000,-54.42421000,-46.79191000
0.07080078,-67.30058000,-81.62180000,-58.31708000,-53.81871000
0.07141113,-77.03188000,-83.09203000,-56.80422000,-73.68499000
0.07202148,-71.73759000,-91.65771000,-53.82226000,-67.41901000
0.07263184,-67.34603000,-91.18175000,-59.59529000,-68.29732000
0.07324219,-71.33604000,-93.76740000,-57.82841000,-75.06947000
0.07385254,-70.96754000,-86.10410000,-51.03277000,-63.89616000
0.07446289,-69.75819000,-89.42707000,-51.60271000,-65.63033000
0.07507324,-75.76247000,-85.00377000,-57.19284000,-71.65365000
0.07568359,-69.88995000,-86.67868000,-54.19046000,-64.49669000
0.07629395,-72.06974000,-88.49506000,-58.34787000,-71.79064000
0.07690430,-69.85712000,-82.49365000,-53.00533000,-78.31635000
0.07751465,-74.92742000,-85.07355000,-55.84102000,-78.77761000
0.07812500,-74.29450000,-90.90511000,-57.25154000,-74.46353000
0.07873535,-69.59565000,-87.31261000,-58.05493000,-60.42120000
0.07934570,-67.05858000,-74.91867000,-53.53786000,-49.95265000
0.07995605,-63.16880000,-70.92179000,-59.65210000,-46.06617000
0.08056641,-67.95444000,-74.13968000,-52.89146000,-49.85024000
0.08117676,-71.69645000,-81.56289000,-53.62865000,-60.44279000
0.08178711,-71.31119000,-85.52810000,-54.87599000,-62.01256000
0.08239746,-69.08761000,-86.10577000,-52.17949000,-59.99350000
0.08300781,-71.58577000,-87.41158000,-52.33679000,-62.72449000
0.08361816,-75.61174000,-101.12870000,-55.33283000,-66.83820000
0.08422852,-69.25633000,-89.92189000,-65.14634000,-71.99863000
0.08483887,-66.88592000,-89.21138000,-67.76328000,-67.29385000
0.08544922,-66.21629000,-96.23131000,-64.45999000,-65.72307000
0.08605957,-68.86552000,-91.27985000,-57.68020000,-72.79419000
0.08666992,-68.32623000,-93.08178000,-57.39364000,-70.80978000
0.08728027,-66.05127000,-95.19687000,-55.15282000,-70.52260000
0.08789063,-66.42953000,-89.17423000,-49.23865000,-70.63454000
0.08850098,-71.08556000,-94.46101000,-54.62769000,-73.14046000
0.08911133,-44.98766000,-63.82274000,-54.43743000,-39.22440000
0.08972168,-35.49878000,-54.58208000,-54.35854000,-30.11193000
