Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-44.67432000,-64.33434000,-40.79422000,-31.71080000
0.00061035,-52.82587000,-73.16930000,-48.02787000,-37.91792000
0.00122070,-76.60213000,-74.66065000,-61.02819000,-44.56142000
0.00183105,-74.79940000,-73.61813000,-69.44757000,-49.02553000
0.00244141,-77.31237000,-79.34741000,-74.56904000,-55.39940000
0.00305176,-77.73108000,-83.20573000,-68.41518000,-58.43443000
0.00366211,-79.18499000,-85.63528000,-63.33307000,-59.10869000
0.00427246,-85.74333000,-87.52572000,-63.68118000,-66.22426000
0.00488281,-89.79877000,-80.65368000,-69.35938000,-57.98977000
0.00549316,-81.53355000,-86.90930000,-69.49979000,-63.35338000
0.00610352,-74.70644000,-87.29980000,-67.00928000,-64.64684000
0.00671387,-73.69957000,-83.10583000,-71.58141000,-60.99784000
0.00732422,-75.38600000,-80.88047000,-65.41714000,-56.10377000
0.00793457,-74.02112000,-78.11371000,-62.60389000,-53.76031000
0.00854492,-73.75825000,-92.15820000,-62.37186000,-62.52161000
0.00915527,-77.53345000,-90.45085000,-65.61143000,-66.28368000
0.00976563,-79.17351000,-86.09448000,-68.63167000,-62.46549000
0.01037598,-79.56071000,-87.16064000,-71.89883000,-62.99692000
0.01098633,-89.52145000,-84.70596000,-66.88505000,-56.61668000
0.01159668,-78.96281000,-77.37852000,-67.16052000,-52.53929000
0.01220703,-78.38800000,-77.29040000,-73.47060000,-53.29639000
0.01281738,-77.20731000,-79.96126000,-71.60209000,-55.47531000
0.01342773,-79.42641000,-81.10323000,-69.19287000,-56.70090000
0.01403809,-79.57295000,-80.67955000,-72.69260000,-55.60588000
0.01464844,-75.00426000,-79.56436000,-74.27078000,-53.39349000
0.01525879,-74.16190000,-77.68075000,-80.04508000,-51.52472000
0.01586914,-77.24587000,-78.28752000,-85.47581000,-52.86847000
0.01647949,-85.53435000,-82.00294000,-71.87842000,-58.43073000
0.01708984,-80.72076000,-85.05528000,-67.37664000,-62.79188000
0.01770020,-78.16138000,-94.85031000,-69.35983000,-70.72112000
0.01831055,-77.52256000,-95.62486000,-71.62761000,-83.41725000
0.01892090,-76.92770000,-89.60484000,-76.28253000,-62.31070000
0.01953125,-81.43077000,-84.28173000,-75.01545000,-58.42661000
0.02014160,-90.27277000,-83.16405000,-68.53830000,-58.97594000
0.02075195,-78.12281000,-82.61330000,-68.69555000,-57.97832000
0.02136230,-77.05377000,-83.64203000,-71.19719000,-56.90399000
0.02197266,-79.19292000,-83.20670000,-69.76809000,-58.40670000
0.02258301,-76.95148000,-79.27031000,-74.32372000,-58.31792000
0.02319336,-77.76505000,-77.99812000,-73.39162000,-56.28865000
0.02380371,-80.48773000,-82.19425000,-71.83324000,-59.59896000
0.02441406,-74.12931000,-80.54329000,-72.15209000,-57.73415000
0.02502441,-76.55714000,-77.29287000,-70.52808000,-54.53809000
0.02563477,-88.79875000,-76.78516000,-68.88126000,-54.04593000
0.02624512,-81.85861000,-81.15872000,-72.60065000,-58.14900000
0.02685547,-78.92562000,-77.82616000,-76.46621000,-54.42561000
0.02746582,-73.16571000,-77.63616000,-83.28912000,-54.04766000
0.02807617,-75.38243000,-90.54913000,-73.20443000,-68.94196000
0.02868652,-45.38326000,-41.43178000,-69.28716000,-17.49227000
0.02929688,-26.85554000,-23.04146000,-72.18130000,0.91774610
0.02990723,-20.90076000,-17.10475000,-64.99036000,6.85807000
0.03051758,-23.99697000,-20.22261000,-63.85254000,3.74234100
0.03112793,-37.64774000,-33.98618000,-66.30541000,-10.01206000
0.03173828,-76.50692000,-81.37284000,-70.24241000,-54.17377000
0.03234863,-89.95686000,-83.01711000,-83.89805000,-59.09734000
0.03295898,-75.96188000,-76.32282000,-78.46940000,-52.61142000
0.03356934,-77.32797000,-84.80511000,-82.87183000,-60.19556000
0.03417969,-75.13134000,-79.15489000,-85.74355000,-56.61738000
0.03479004,-72.98900000,-79.21371000,-73.67865000,-55.95831000
0.03540039,-74.64729000,-84.87770000,-69.58080000,-64.72762000
0.03601074,-76.97224000,-86.79658000,-76.13950000,-63.26405000
0.03662109,-77.92558000,-86.59110000,-74.75092000,-63.50609000
0.03723145,-78.62627000,-98.20133000,-72.97637000,-66.73889000
0.03784180,-89.25853000,-96.91486000,-73.09226000,-67.44995000
0.03845215,-85.99785000,-90.07355000,-71.84760000,-63.82863000
0.03906250,-93.33337000,-94.23915000,-75.85119000,-63.67904000
0.03967285,-82.99317000,-83.12893000,-71.70078000,-58.80600000
0.04028320,-77.22206000,-79.55625000,-68.75932000,-56.11158000
0.04089355,-76.11681000,-86.57256000,-76.06588000,-66.31364000
0.04150391,-80.49690000,-88.32390000,-70.75768000,-60.33150000
0.04211426,-89.88946000,-84.56852000,-65.20408000,-58.74857000
0.04272461,-82.10542000,-84.92156000,-65.17762000,-59.55545000
0.04333496,-83.09788000,-92.71082000,-69.51830000,-62.18528000
0.04394531,-80.31477000,-91.85336000,-84.18682000,-60.42073000
0.04455566,-74.76413000,-89.29370000,-65.89051000,-59.30556000
0.04516602,-75.43436000,-84.85083000,-63.35045000,-57.05433000
0.04577637,-76.59068000,-81.02690000,-67.05239000,-56.75844000
0.04638672,-75.92277000,-79.16679000,-71.62687000,-54.77140000
0.04699707,-74.17235000,-80.63214000,-76.09452000,-55.42187000
0.04760742,-76.62366000,-85.28378000,-74.02083000,-59.71611000
0.04821777,-76.79913000,-88.86872000,-67.62093000,-77.38943000
0.04882813,-66.96087000,-66.96980000,-65.21388000,-44.90015000
0.04943848,-52.40207000,-52.22106000,-62.36052000,-30.07417000
0.05004883,-48.14595000,-48.22414000,-62.32778000,-26.08578000
0.05065918,-52.67596000,-53.20028000,-67.29617000,-31.10991000
0.05126953,-67.10922000,-69.57935000,-67.09660000,-48.08477000
0.05187988,-76.30103000,-90.36426000,-67.47046000,-68.42582000
0.05249023,-74.46557000,-84.85256000,-71.97971000,-62.06152000
0.05310059,-78.48515000,-86.06340000,-75.87806000,-59.50594000
0.05371094,-79.92285000,-88.48969000,-70.87314000,-58.55282000
0.05432129,-85.79532000,-89.33270000,-67.50681000,-58.69512000
0.05493164,-86.65839000,-83.72741000,-70.91118000,-57.71430000
0.05554199,-86.54021000,-85.24728000,-68.42891000,-60.05316000
0.05615234,-85.34111000,-94.54709000,-75.71928000,-67.63941000
0.05676270,-79.31470000,-92.03813000,-68.53230000,-60.69570000
0.05737305,-76.00864000,-89.71263000,-68.06756000,-60.21627000
0.05798340,-77.28961000,-86.20849000,-70.78452000,-58.44381000
0.05859375,-86.80121000,-83.60754000,-69.31948000,-57.39964000
0.05920410,-95.89400000,-74.34482000,-73.07835000,-52.60027000
0.05981445,-78.44209000,-68.74902000,-78.78144000,-46.68750000
0.06042480,-75.96747000,-70.93750000,-85.02318000,-48.51947000
0.06103516,-83.21819000,-79.69849000,-71.15310000,-57.33036000
0.06164551,-93.11986000,-81.19783000,-64.62492000,-60.21805000
0.06225586,-82.17130000,-82.05864000,-62.67543000,-60.89237000
0.06286621,-76.36472000,-82.44915000,-66.09032000,-63.85669000
0.06347656,-74.94592000,-84.17339000,-76.02211000,-73.99136000
0.06408691,-75.95644000,-83.41347000,-71.19365000,-65.68594000
0.06469727,-77.30361000,-81.04924000,-72.53526000,-59.27040000
0.06530762,-76.94335000,-83.39111000,-80.63236000,-59.96514000
0.06591797,-78.13528000,-89.22142000,-73.10471000,-68.79021000
0.06652832,-86.54449000,-94.08439000,-72.22556000,-85.28476000
0.06713867,-82.61723000,-92.40844000,-70.04205000,-75.30531000
0.06774902,-81.63690000,-86.75275000,-71.69524000,-66.08099000
0.06835938,-93.02264000,-88.05971000,-70.93556000,-69.67919000
0.06896973,-78.82544000,-86.75314000,-73.13206000,-62.16892000
0.06958008,-79.63243000,-79.76382000,-71.47351000,-53.85089000
0.07019043,-84.72131000,-79.14208000,-71.43394000,-54.72002000
0.07080078,-74.45242000,-87.93976000,-72.30357000,-67.88253000
0.07141113,-74.28392000,-89.79866000,-71.35927000,-72.44538000
0.07202148,-77.65807000,-88.34961000,-75.92712000,-68.74034000
0.07263184,-93.85723000,-88.45013000,-79.67455000,-69.02439000
0.07324219,-83.67258000,-89.80431000,-72.74921000,-74.74183000
0.07385254,-83.54568000,-87.34361000,-69.08583000,-73.68929000
0.07446289,-88.02194000,-91.73706000,-71.43311000,-73.04977000
0.07507324,-89.35833000,-92.68021000,-68.47501000,-82.64764000
0.07568359,-79.17453000,-89.93398000,-64.25520000,-69.72302000
0.07629395,-78.04744000,-91.62535000,-67.17581000,-70.66592000
0.07690430,-80.83512000,-90.87523000,-68.72510000,-66.54207000
0.07751465,-89.14776000,-91.02303000,-63.70387000,-66.84240000
0.07812500,-80.76752000,-86.96754000,-63.08644000,-71.12289000
0.07873535,-86.46674000,-87.64430000,-66.17286000,-66.21190000
0.07934570,-80.88812000,-93.12128000,-71.28890000,-66.81554000
0.07995605,-75.68717000,-89.06836000,-90.38824000,-68.19514000
0.08056641,-74.74076000,-92.75435000,-76.02462000,-69.96341000
0.08117676,-80.97565000,-89.94334000,-83.20099000,-79.10131000
0.08178711,-78.12563000,-88.61459000,-73.20798000,-75.88312000
0.08239746,-76.00470000,-103.70070000,-72.87224000,-71.65546000
0.08300781,-81.01338000,-96.11581000,-77.00397000,-76.90076000
0.08361816,-81.81731000,-90.75756000,-67.89136000,-78.01672000
0.08422852,-79.31255000,-87.63203000,-70.96005000,-68.05878000
0.08483887,-78.16989000,-89.54026000,-70.96104000,-68.95709000
0.08544922,-82.94754000,-89.46474000,-70.93787000,-72.10701000
0.08605957,-92.02072000,-92.78014000,-76.68319000,-71.20436000
0.08666992,-85.65167000,-89.63143000,-80.53580000,-75.38318000
0.08728027,-80.55572000,-87.20851000,-79.63052000,-75.36545000
0.08789063,-85.56329000,-87.94016000,-81.59637000,-68.15741000
0.08850098,-83.57761000,-89.48208000,-75.56924000,-58.38031000
0.08911133,-89.16017000,-61.71227000,-68.37630000,-35.80253000
0.08972168,-80.16676000,-52.22322000,-69.72273000,-26.88227000
