Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-42.14745000,-49.53769000,-29.85710000,-43.09798000
0.00061035,-49.96676000,-56.91175000,-37.33706000,-51.88836000
0.00122070,-68.59420000,-73.61897000,-52.61120000,-59.45553000
0.00183105,-81.51274000,-79.53113000,-71.06448000,-58.31525000
0.00244141,-83.51968000,-80.16846000,-66.42839000,-54.07840000
0.00305176,-78.39547000,-79.65382000,-62.72701000,-54.67848000
0.00366211,-73.97807000,-77.22509000,-69.86584000,-61.09632000
0.00427246,-76.14748000,-75.65099000,-61.78792000,-53.77305000
0.00488281,-77.94274000,-76.11241000,-62.36774000,-51.79059000
0.00549316,-74.75488000,-76.00378000,-67.16019000,-51.54683000
0.00610352,-75.66644000,-81.77941000,-82.82076000,-60.79490000
0.00671387,-77.56262000,-90.68824000,-68.50053000,-70.02444000
0.00732422,-81.66765000,-85.51451000,-66.53741000,-67.07755000
0.00793457,-87.67655000,-78.63597000,-68.50694000,-58.45839000
0.00854492,-87.50253000,-81.00546000,-65.99782000,-60.84513000
0.00915527,-79.12399000,-84.82159000,-67.94342000,-61.46643000
0.00976563,-75.21188000,-82.68098000,-68.11242000,-55.57838000
0.01037598,-84.00166000,-96.81194000,-75.84125000,-64.26032000
0.01098633,-80.88715000,-85.06833000,-65.65354000,-57.55831000
0.01159668,-85.06382000,-87.14041000,-66.33270000,-62.08621000
0.01220703,-75.81095000,-76.65485000,-61.07458000,-53.25375000
0.01281738,-75.46394000,-79.22398000,-60.38950000,-53.80036000
0.01342773,-77.91450000,-90.10072000,-62.05941000,-59.99491000
0.01403809,-83.54782000,-83.00319000,-67.73553000,-63.48230000
0.01464844,-88.25099000,-85.82899000,-71.89735000,-62.71599000
0.01525879,-80.23912000,-81.55377000,-65.74174000,-62.90099000
0.01586914,-74.74221000,-84.90622000,-69.60014000,-60.26657000
0.01647949,-71.28336000,-83.46512000,-73.09603000,-58.29607000
0.01708984,-70.93874000,-87.00671000,-67.89666000,-65.83698000
0.01770020,-75.51028000,-91.39973000,-63.08851000,-66.70546000
0.01831055,-82.65102000,-84.95614000,-67.88474000,-61.65085000
0.01892090,-80.97224000,-76.32273000,-81.78328000,-54.68892000
0.01953125,-76.06919000,-71.30945000,-72.07771000,-48.51103000
0.02014160,-72.68638000,-72.09582000,-67.24010000,-47.93713000
0.02075195,-73.22066000,-80.00131000,-77.18446000,-53.34089000
0.02136230,-81.88573000,-86.08367000,-64.82300000,-60.77304000
0.02197266,-81.05804000,-96.07903000,-59.18855000,-71.53270000
0.02258301,-75.74096000,-95.71080000,-58.90924000,-64.94698000
0.02319336,-78.79828000,-94.51366000,-66.30248000,-64.29007000
0.02380371,-80.28384000,-79.40937000,-86.17043000,-62.22829000
0.02441406,-82.81268000,-79.51153000,-69.65494000,-58.82108000
0.02502441,-81.17044000,-81.28784000,-65.12962000,-55.85188000
0.02563477,-85.08614000,-103.90650000,-74.18237000,-62.91202000
0.02624512,-83.30713000,-86.52108000,-79.70994000,-76.46846000
0.02685547,-83.67920000,-78.93757000,-65.14038000,-53.01267000
0.02746582,-78.52865000,-80.20748000,-65.16707000,-58.44209000
0.02807617,-83.14571000,-89.88310000,-74.57997000,-84.52953000
0.02868652,-45.29242000,-41.25130000,-67.60108000,-16.83121000
0.02929688,-26.83748000,-22.83208000,-64.12500000,1.56260000
0.02990723,-20.90147000,-16.89420000,-62.87582000,7.49974700
0.03051758,-24.02632000,-20.00835000,-72.66291000,4.38625400
0.03112793,-37.82405000,-33.73649000,-65.83184000,-9.34484300
0.03173828,-84.49322000,-74.98677000,-64.36602000,-51.36031000
0.03234863,-77.32243000,-79.22734000,-63.98747000,-54.55112000
0.03295898,-74.85184000,-82.43058000,-62.47473000,-60.82401000
0.03356934,-75.84062000,-85.58305000,-64.69403000,-71.26120000
0.03417969,-82.09238000,-79.32883000,-68.43452000,-60.78208000
0.03479004,-89.22253000,-88.61334000,-69.70191000,-71.02674000
0.03540039,-81.84849000,-87.49851000,-66.95340000,-66.97871000
0.03601074,-80.85769000,-93.60931000,-62.75164000,-63.22282000
0.03662109,-81.62892000,-88.94545000,-63.80867000,-65.27275000
0.03723145,-81.07804000,-92.09427000,-71.06862000,-70.26444000
0.03784180,-89.49825000,-94.06665000,-72.17419000,-68.63919000
0.03845215,-94.62392000,-86.10600000,-71.72463000,-65.22267000
0.03906250,-96.88724000,-79.86266000,-70.40542000,-54.19259000
0.03967285,-92.87570000,-76.26405000,-72.23287000,-48.29026000
0.04028320,-82.49074000,-79.31039000,-74.60362000,-50.14149000
0.04089355,-79.46094000,-89.73428000,-69.32336000,-64.41247000
0.04150391,-78.52148000,-84.59693000,-73.06307000,-62.45490000
0.04211426,-75.46281000,-95.84611000,-73.23499000,-71.72699000
0.04272461,-75.53285000,-84.59082000,-68.65871000,-64.33170000
0.04333496,-81.01364000,-80.55080000,-64.41330000,-59.38514000
0.04394531,-87.46747000,-89.28781000,-65.82593000,-63.96809000
0.04455566,-82.14927000,-99.62762000,-66.48559000,-63.02243000
0.04516602,-83.14226000,-83.41565000,-65.71109000,-60.50262000
0.04577637,-84.51135000,-85.83006000,-64.80739000,-60.41459000
0.04638672,-81.80820000,-84.13007000,-64.57504000,-60.31633000
0.04699707,-76.76994000,-80.74171000,-67.18823000,-56.34831000
0.04760742,-74.52712000,-84.41757000,-68.68291000,-57.80051000
0.04821777,-74.24622000,-92.59157000,-62.14885000,-61.94279000
0.04882813,-68.17671000,-67.85539000,-69.71822000,-44.72957000
0.04943848,-55.92118000,-53.03040000,-67.25294000,-30.69588000
0.05004883,-51.78897000,-48.91044000,-62.98740000,-26.58866000
0.05065918,-56.11323000,-53.67535000,-70.78760000,-31.23352000
0.05126953,-70.50976000,-69.35695000,-62.48549000,-46.04862000
0.05187988,-80.93636000,-90.87875000,-62.06089000,-62.24973000
0.05249023,-78.33070000,-86.60608000,-66.99041000,-59.01264000
0.05310059,-74.28038000,-83.55290000,-80.64270000,-59.95161000
0.05371094,-75.06032000,-83.49867000,-78.41199000,-71.41252000
0.05432129,-76.40636000,-81.96231000,-72.23473000,-58.85636000
0.05493164,-78.81758000,-87.78825000,-66.84691000,-60.40612000
0.05554199,-75.25828000,-90.66478000,-64.11761000,-62.67128000
0.05615234,-75.12707000,-82.59377000,-63.80327000,-65.20685000
0.05676270,-77.09420000,-80.10481000,-67.19738000,-64.07298000
0.05737305,-77.24548000,-82.89548000,-77.75189000,-62.51903000
0.05798340,-79.08339000,-89.37488000,-65.81261000,-61.90293000
0.05859375,-78.63966000,-86.40217000,-64.97086000,-58.20473000
0.05920410,-76.13606000,-69.90771000,-72.27157000,-45.02333000
0.05981445,-79.74707000,-63.26772000,-77.40917000,-38.31655000
0.06042480,-88.82836000,-65.50945000,-69.58057000,-40.37129000
0.06103516,-84.42936000,-77.95227000,-59.71484000,-53.13054000
0.06164551,-78.76521000,-95.31100000,-58.65833000,-83.75635000
0.06225586,-79.92053000,-85.99091000,-60.21037000,-65.60107000
0.06286621,-80.84931000,-82.12276000,-63.84442000,-59.55583000
0.06347656,-78.34334000,-83.82763000,-67.62830000,-59.85935000
0.06408691,-79.89102000,-96.95670000,-69.55415000,-67.16600000
0.06469727,-83.91549000,-111.48370000,-67.54137000,-68.84422000
0.06530762,-82.42853000,-95.11864000,-68.26501000,-68.28130000
0.06591797,-92.12224000,-96.46454000,-76.64420000,-69.46957000
0.06652832,-81.90314000,-88.27682000,-62.67113000,-60.36189000
0.06713867,-79.23640000,-85.29652000,-62.96493000,-59.43580000
0.06774902,-78.09151000,-81.78314000,-73.40931000,-58.43281000
0.06835938,-78.62950000,-83.02103000,-70.76772000,-60.35386000
0.06896973,-82.02804000,-80.69437000,-62.14838000,-55.73185000
0.06958008,-81.09438000,-73.11990000,-61.70584000,-46.81362000
0.07019043,-76.82687000,-72.96387000,-71.87512000,-45.81762000
0.07080078,-80.91866000,-81.48407000,-76.28777000,-53.11501000
0.07141113,-91.34949000,-90.19659000,-73.32195000,-63.51022000
0.07202148,-91.37259000,-99.42659000,-66.27327000,-69.63550000
0.07263184,-88.02349000,-85.27699000,-66.59274000,-71.17146000
0.07324219,-80.37937000,-88.65430000,-72.06741000,-73.72914000
0.07385254,-75.89043000,-93.54759000,-64.86011000,-67.27031000
0.07446289,-76.04941000,-86.81038000,-62.37162000,-62.26019000
0.07507324,-82.90884000,-90.20360000,-66.89691000,-67.68794000
0.07568359,-102.44220000,-107.40820000,-70.03355000,-76.44412000
0.07629395,-83.75542000,-89.39980000,-64.51430000,-67.82978000
0.07690430,-76.90119000,-88.53081000,-67.34950000,-63.87926000
0.07751465,-77.29987000,-88.03479000,-73.23459000,-69.43750000
0.07812500,-94.45441000,-87.80710000,-64.71055000,-67.55572000
0.07873535,-82.43417000,-91.43803000,-63.06183000,-65.91739000
0.07934570,-74.08524000,-74.35291000,-59.71555000,-50.14444000
0.07995605,-73.70696000,-68.13763000,-60.32026000,-44.30499000
0.08056641,-77.59086000,-71.17726000,-68.69654000,-47.23526000
0.08117676,-82.70082000,-82.19133000,-77.97662000,-57.65464000
0.08178711,-80.58286000,-88.72013000,-75.37164000,-63.31078000
0.08239746,-79.36652000,-90.50660000,-77.08167000,-68.64114000
0.08300781,-88.24698000,-86.53484000,-68.75571000,-67.81877000
0.08361816,-87.59642000,-86.50613000,-76.26688000,-66.16022000
0.08422852,-79.76065000,-88.99760000,-97.44698000,-67.12059000
0.08483887,-74.68344000,-89.48142000,-68.85133000,-69.45360000
0.08544922,-72.61430000,-93.44911000,-68.41207000,-68.90721000
0.08605957,-75.15874000,-99.67743000,-66.47974000,-63.95344000
0.08666992,-83.28905000,-90.93539000,-67.89565000,-61.43187000
0.08728027,-79.72112000,-85.87704000,-65.95191000,-58.81586000
0.08789063,-75.56556000,-92.29980000,-64.49881000,-63.46142000
0.08850098,-74.95879000,-81.51542000,-67.04784000,-70.72437000
0.08911133,-73.06912000,-69.00351000,-64.05429000,-58.95655000
0.08972168,-75.14491000,-65.03573000,-58.18776000,-53.27844000
