Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-40.74746000,-88.45432000,-36.63540000,-31.94977000
0.00061035,-48.18843000,-78.60972000,-43.45674000,-39.56743000
0.00122070,-63.48624000,-85.63287000,-55.35164000,-56.01448000
0.00183105,-81.24156000,-87.32834000,-81.10872000,-54.45156000
0.00244141,-81.30237000,-75.98511000,-66.10857000,-48.82291000
0.00305176,-80.79315000,-75.46857000,-65.45564000,-50.79087000
0.00366211,-79.83819000,-82.30862000,-66.11115000,-65.79749000
0.00427246,-79.43650000,-85.14133000,-64.96006000,-60.18636000
0.00488281,-78.93227000,-80.34698000,-65.08319000,-57.50779000
0.00549316,-85.17838000,-80.06538000,-65.66200000,-54.76847000
0.00610352,-84.65087000,-78.23344000,-66.58271000,-53.96766000
0.00671387,-87.28507000,-78.79044000,-68.09572000,-57.82338000
0.00732422,-85.53455000,-79.28242000,-69.57509000,-58.79681000
0.00793457,-75.27860000,-76.47282000,-67.70380000,-53.40611000
0.00854492,-73.43426000,-75.23398000,-75.58424000,-51.79790000
0.00915527,-79.93128000,-78.13200000,-79.59944000,-55.39060000
0.00976563,-81.46428000,-84.63451000,-82.84612000,-57.66100000
0.01037598,-76.23412000,-89.66615000,-68.85002000,-56.63020000
0.01098633,-80.76503000,-89.51736000,-65.88891000,-55.92205000
0.01159668,-87.04102000,-81.65286000,-68.59440000,-56.20003000
0.01220703,-86.33293000,-83.47202000,-67.18870000,-60.49763000
0.01281738,-83.64452000,-87.37113000,-72.93720000,-78.06377000
0.01342773,-75.85743000,-78.06725000,-70.33330000,-57.00814000
0.01403809,-76.14810000,-78.21799000,-65.98996000,-56.13743000
0.01464844,-74.89040000,-84.25305000,-70.20561000,-58.40052000
0.01525879,-76.31140000,-84.17670000,-74.62582000,-59.44461000
0.01586914,-80.27406000,-86.41869000,-67.82268000,-63.01913000
0.01647949,-81.80289000,-87.07893000,-63.00288000,-63.91743000
0.01708984,-78.62709000,-78.22463000,-65.46315000,-55.01477000
0.01770020,-84.97570000,-75.27744000,-72.98977000,-52.31348000
0.01831055,-90.09040000,-76.72710000,-64.76460000,-52.52393000
0.01892090,-84.10699000,-80.07710000,-63.30801000,-53.33384000
0.01953125,-80.33318000,-103.60530000,-63.16318000,-63.43076000
0.02014160,-77.18198000,-76.47873000,-67.61913000,-54.43029000
0.02075195,-78.70061000,-73.89845000,-73.52673000,-50.93954000
0.02136230,-97.25182000,-76.88274000,-75.09929000,-52.64829000
0.02197266,-82.62177000,-81.42063000,-72.56406000,-56.74695000
0.02258301,-75.50166000,-79.53851000,-70.94922000,-57.37945000
0.02319336,-70.92850000,-79.52277000,-71.67397000,-56.27297000
0.02380371,-72.38217000,-82.68677000,-74.95362000,-61.90035000
0.02441406,-74.47585000,-82.05021000,-71.12378000,-62.92317000
0.02502441,-78.06888000,-83.69019000,-68.81639000,-64.52246000
0.02563477,-77.18601000,-81.49586000,-76.75916000,-61.77440000
0.02624512,-77.26362000,-89.31297000,-72.83620000,-62.50007000
0.02685547,-75.06097000,-80.78116000,-77.37781000,-56.50466000
0.02746582,-86.07483000,-94.09344000,-74.23943000,-59.24929000
0.02807617,-82.09682000,-78.54632000,-69.79073000,-63.12627000
0.02868652,-45.08261000,-41.15702000,-65.46621000,-16.80081000
0.02929688,-26.81496000,-22.83418000,-62.10034000,1.56035400
0.02990723,-20.89293000,-16.90065000,-59.96045000,7.49676500
0.03051758,-24.01803000,-20.01801000,-60.96622000,4.38250000
0.03112793,-37.79373000,-33.75673000,-62.72709000,-9.34546600
0.03173828,-81.20717000,-74.66653000,-65.63145000,-50.06915000
0.03234863,-77.08549000,-77.27371000,-72.95898000,-53.26268000
0.03295898,-77.33324000,-90.31647000,-82.24651000,-67.53274000
0.03356934,-82.67078000,-79.48856000,-76.43729000,-56.27285000
0.03417969,-81.47981000,-98.99970000,-67.08946000,-76.11813000
0.03479004,-84.42230000,-92.61265000,-67.58282000,-65.92876000
0.03540039,-79.13779000,-80.84941000,-68.99920000,-59.51359000
0.03601074,-74.93748000,-77.34610000,-68.40407000,-55.65849000
0.03662109,-74.87968000,-77.48683000,-73.04325000,-58.23749000
0.03723145,-79.25256000,-81.86858000,-69.34389000,-64.50288000
0.03784180,-87.89830000,-81.00670000,-68.17064000,-64.64355000
0.03845215,-80.93404000,-78.87601000,-72.69580000,-60.59487000
0.03906250,-82.67102000,-75.47379000,-72.36072000,-53.00779000
0.03967285,-84.39555000,-73.08913000,-69.37619000,-49.08470000
0.04028320,-85.00427000,-77.01338000,-73.23895000,-52.63702000
0.04089355,-81.42372000,-87.60799000,-73.04048000,-62.92867000
0.04150391,-85.03598000,-83.08079000,-80.37078000,-55.96568000
0.04211426,-84.61770000,-93.23918000,-74.47768000,-62.41687000
0.04272461,-81.14127000,-99.19810000,-70.73979000,-79.44292000
0.04333496,-82.83378000,-88.44800000,-76.79788000,-65.61589000
0.04394531,-80.77508000,-87.87793000,-78.51955000,-61.85494000
0.04455566,-84.57672000,-86.45587000,-72.42118000,-63.15044000
0.04516602,-84.10111000,-87.92078000,-73.68340000,-64.48320000
0.04577637,-87.45316000,-95.99143000,-77.18082000,-67.23334000
0.04638672,-84.20003000,-86.98213000,-78.09798000,-67.21740000
0.04699707,-80.46138000,-84.64578000,-75.19228000,-62.05605000
0.04760742,-77.16600000,-85.96371000,-77.87659000,-63.06958000
0.04821777,-71.73178000,-104.71560000,-68.70554000,-70.11304000
0.04882813,-68.86301000,-66.90967000,-70.78290000,-45.28752000
0.04943848,-55.99410000,-52.55735000,-63.90641000,-30.64779000
0.05004883,-51.85944000,-48.59236000,-59.75555000,-26.86504000
0.05065918,-56.49321000,-53.54757000,-62.59505000,-32.29618000
0.05126953,-71.59610000,-70.89028000,-65.55419000,-52.97521000
0.05187988,-86.15289000,-86.53668000,-68.10921000,-59.80217000
0.05249023,-77.27650000,-82.86024000,-67.49757000,-59.37666000
0.05310059,-80.83411000,-84.18275000,-71.27219000,-61.64612000
0.05371094,-85.98663000,-94.71814000,-80.29131000,-62.93131000
0.05432129,-86.45850000,-89.82349000,-73.45088000,-66.49392000
0.05493164,-80.56386000,-87.90399000,-67.38618000,-65.06767000
0.05554199,-77.87660000,-82.40259000,-76.03109000,-63.98221000
0.05615234,-78.01208000,-85.47368000,-86.79865000,-65.41741000
0.05676270,-82.27528000,-87.90859000,-74.12230000,-62.83266000
0.05737305,-90.00514000,-95.22880000,-69.66321000,-63.45565000
0.05798340,-87.32367000,-96.03333000,-75.04489000,-62.96158000
0.05859375,-83.88221000,-94.26671000,-84.55390000,-61.20859000
0.05920410,-77.04833000,-74.54875000,-73.75683000,-47.81950000
0.05981445,-78.14454000,-66.31721000,-71.36002000,-41.10102000
0.06042480,-81.67307000,-67.78481000,-68.99325000,-43.37427000
0.06103516,-80.84541000,-76.61506000,-80.94337000,-55.45940000
0.06164551,-83.09078000,-83.97541000,-66.44792000,-64.42506000
0.06225586,-81.00426000,-92.52651000,-62.96528000,-66.20002000
0.06286621,-77.27141000,-86.39496000,-68.38322000,-72.98254000
0.06347656,-82.54744000,-88.02663000,-69.69881000,-69.56653000
0.06408691,-92.37949000,-85.32817000,-66.45409000,-65.78825000
0.06469727,-83.15736000,-83.47586000,-63.59873000,-63.82339000
0.06530762,-85.34299000,-94.05527000,-64.81232000,-69.02720000
0.06591797,-91.43634000,-85.12867000,-75.55596000,-65.49886000
0.06652832,-81.72176000,-79.69682000,-68.95310000,-57.61746000
0.06713867,-83.06377000,-83.75947000,-64.53195000,-57.58518000
0.06774902,-87.28174000,-84.66374000,-65.07625000,-60.22837000
0.06835938,-80.22186000,-83.77496000,-70.07755000,-62.03365000
0.06896973,-84.92690000,-82.08005000,-81.16830000,-56.10260000
0.06958008,-86.59497000,-73.29706000,-70.08427000,-47.97749000
0.07019043,-81.36662000,-72.71281000,-69.09235000,-46.87760000
0.07080078,-81.78135000,-81.43573000,-75.61845000,-54.40706000
0.07141113,-81.49449000,-82.00433000,-74.16996000,-60.94490000
0.07202148,-81.13463000,-80.14159000,-73.13880000,-60.78639000
0.07263184,-87.58164000,-82.10013000,-71.01620000,-63.49562000
0.07324219,-91.26654000,-86.78170000,-68.47230000,-65.12907000
0.07385254,-80.74854000,-96.23671000,-69.22707000,-73.65385000
0.07446289,-81.56165000,-96.48948000,-69.42461000,-89.97845000
0.07507324,-102.03430000,-98.17384000,-70.29531000,-68.17907000
0.07568359,-83.86710000,-95.76295000,-68.67296000,-62.94139000
0.07629395,-77.31146000,-90.82314000,-63.54032000,-62.73867000
0.07690430,-76.26982000,-93.44238000,-62.62561000,-61.24310000
0.07751465,-79.88174000,-85.87617000,-61.93867000,-59.57701000
0.07812500,-91.44203000,-88.82211000,-61.77323000,-65.58665000
0.07873535,-87.34635000,-82.27253000,-65.64579000,-66.29917000
0.07934570,-86.69342000,-73.50772000,-77.41354000,-50.74261000
0.07995605,-87.73021000,-69.55075000,-73.15457000,-46.42244000
0.08056641,-92.87924000,-72.50105000,-69.90875000,-50.29819000
0.08117676,-88.16467000,-80.48888000,-70.64675000,-60.33304000
0.08178711,-82.24908000,-81.37238000,-66.54870000,-60.80688000
0.08239746,-84.91711000,-79.62000000,-66.10133000,-59.34737000
0.08300781,-89.52055000,-79.30184000,-72.08231000,-60.18626000
0.08361816,-86.76629000,-81.65456000,-82.48492000,-62.34489000
0.08422852,-82.30389000,-85.96014000,-76.51836000,-65.41339000
0.08483887,-81.08855000,-86.71747000,-75.92101000,-65.65842000
0.08544922,-82.36975000,-85.02808000,-74.12167000,-68.18166000
0.08605957,-85.15416000,-86.59576000,-73.80515000,-66.59766000
0.08666992,-101.42770000,-84.05944000,-76.57626000,-61.66140000
0.08728027,-94.26248000,-81.41579000,-77.07236000,-60.00132000
0.08789063,-92.20113000,-81.17935000,-74.08391000,-61.22623000
0.08850098,-81.02103000,-78.21644000,-74.71406000,-62.68606000
0.08911133,-74.57623000,-70.95210000,-74.01482000,-64.18716000
0.08972168,-73.97252000,-69.71530000,-74.83957000,-53.29565000
