Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-40.73660000,-27.04370000,17.73280000,-1.57485400
0.00061035,-48.36511000,-34.52702000,10.21673000,-9.07405600
0.00122070,-65.33986000,-50.26123000,-5.70035000,-24.88097000
0.00183105,-83.72580000,-78.67410000,-73.69574000,-51.93061000
0.00244141,-93.63323000,-79.56239000,-72.88294000,-52.98326000
0.00305176,-106.99330000,-77.03666000,-68.69409000,-51.12965000
0.00366211,-91.94194000,-79.92227000,-69.67508000,-54.68512000
0.00427246,-89.08621000,-87.15824000,-75.70760000,-59.01720000
0.00488281,-113.26970000,-96.05457000,-82.40952000,-63.34444000
0.00549316,-91.76704000,-92.81368000,-77.49693000,-67.16989000
0.00610352,-97.35711000,-86.74860000,-77.93695000,-61.08335000
0.00671387,-89.78736000,-85.65074000,-75.00317000,-69.43059000
0.00732422,-85.17640000,-80.01019000,-74.68650000,-57.60338000
0.00793457,-84.10567000,-81.54427000,-80.64575000,-56.57584000
0.00854492,-89.01440000,-82.55704000,-77.09912000,-56.13589000
0.00915527,-85.02853000,-86.04134000,-73.59511000,-58.45771000
0.00976563,-82.38018000,-88.39813000,-73.49147000,-64.55369000
0.01037598,-82.84471000,-83.43280000,-71.72595000,-56.93576000
0.01098633,-84.98537000,-84.10889000,-71.37550000,-56.68830000
0.01159668,-101.44960000,-82.98875000,-74.98876000,-57.59746000
0.01220703,-88.59829000,-88.99251000,-81.63937000,-70.66732000
0.01281738,-96.79086000,-79.73411000,-76.37399000,-56.40781000
0.01342773,-87.53201000,-79.13161000,-75.34307000,-54.35029000
0.01403809,-86.99345000,-83.82829000,-85.27897000,-56.58212000
0.01464844,-97.60008000,-86.58908000,-79.58241000,-57.92955000
0.01525879,-91.92596000,-98.78133000,-78.57811000,-63.16700000
0.01586914,-86.36886000,-83.87760000,-75.50966000,-63.36766000
0.01647949,-86.31195000,-81.01463000,-69.13993000,-60.19337000
0.01708984,-87.61361000,-83.14407000,-70.23038000,-61.98853000
0.01770020,-84.49360000,-80.74651000,-73.42317000,-56.77469000
0.01831055,-82.96906000,-76.73880000,-71.91180000,-52.26485000
0.01892090,-88.85552000,-76.81586000,-72.93314000,-52.61063000
0.01953125,-95.06705000,-78.92913000,-80.46146000,-56.38799000
0.02014160,-87.25243000,-81.26477000,-85.50238000,-58.14179000
0.02075195,-84.17634000,-87.85478000,-79.75051000,-62.55527000
0.02136230,-87.49015000,-87.15611000,-79.25134000,-59.66386000
0.02197266,-88.66103000,-83.89081000,-82.07645000,-59.44485000
0.02258301,-88.27470000,-82.53421000,-77.41268000,-65.58392000
0.02319336,-91.77872000,-78.88498000,-73.02583000,-60.88564000
0.02380371,-87.82111000,-83.67477000,-70.52049000,-63.50550000
0.02441406,-84.67247000,-92.90762000,-71.80560000,-67.96240000
0.02502441,-86.19633000,-84.13833000,-77.89456000,-57.97559000
0.02563477,-85.78804000,-78.83485000,-74.73141000,-54.55149000
0.02624512,-87.38503000,-79.48386000,-70.40301000,-56.24831000
0.02685547,-86.25732000,-92.83515000,-70.29784000,-64.33638000
0.02746582,-85.69255000,-78.78621000,-71.74267000,-55.21824000
0.02807617,-87.41001000,-103.98530000,-80.09933000,-73.19113000
0.02868652,-64.98061000,-41.40380000,-76.44184000,-17.39338000
0.02929688,-46.74476000,-22.93187000,-69.13785000,1.04485700
0.02990723,-40.80418000,-16.98365000,-68.05083000,6.98834200
0.03051758,-43.92847000,-20.09903000,-73.01804000,3.86984600
0.03112793,-57.81917000,-33.86090000,-74.67755000,-9.90196100
0.03173828,-103.06720000,-80.68237000,-82.12158000,-56.70916000
0.03234863,-91.25304000,-84.28611000,-86.41776000,-57.39404000
0.03295898,-91.23402000,-77.83395000,-89.96655000,-56.49923000
0.03356934,-88.82335000,-84.01930000,-91.75298000,-66.10701000
0.03417969,-87.44003000,-83.07887000,-80.13158000,-61.83345000
0.03479004,-93.95969000,-88.76538000,-71.79257000,-63.37037000
0.03540039,-94.37813000,-96.19537000,-69.76055000,-79.14806000
0.03601074,-94.25976000,-91.17609000,-75.92779000,-62.37778000
0.03662109,-83.11557000,-83.63221000,-86.63032000,-59.60118000
0.03723145,-83.50005000,-81.16119000,-77.53391000,-57.13741000
0.03784180,-92.60967000,-80.38700000,-74.53586000,-55.72565000
0.03845215,-91.74799000,-83.25156000,-74.49344000,-60.80058000
0.03906250,-86.44662000,-81.79778000,-79.10631000,-61.81285000
0.03967285,-84.02512000,-85.60719000,-82.60626000,-66.45585000
0.04028320,-84.69306000,-92.69038000,-85.06993000,-64.93117000
0.04089355,-88.55635000,-84.91098000,-76.20813000,-75.87090000
0.04150391,-96.78230000,-80.09396000,-82.31863000,-59.59171000
0.04211426,-88.49014000,-81.79121000,-77.47012000,-57.66534000
0.04272461,-88.71968000,-85.62132000,-71.21878000,-56.54369000
0.04333496,-87.63240000,-89.43150000,-74.33450000,-57.62659000
0.04394531,-88.76823000,-83.49693000,-80.86656000,-57.07019000
0.04455566,-86.97684000,-81.80211000,-82.76396000,-58.60073000
0.04516602,-85.23399000,-81.56409000,-77.47676000,-58.23072000
0.04577637,-96.54915000,-78.37135000,-76.05145000,-55.62607000
0.04638672,-86.32655000,-76.73366000,-85.14465000,-55.16877000
0.04699707,-84.94755000,-79.68200000,-75.93623000,-59.65166000
0.04760742,-84.79602000,-85.26945000,-79.51758000,-62.96432000
0.04821777,-87.47186000,-86.97811000,-81.37302000,-62.61112000
0.04882813,-76.30522000,-65.17297000,-82.28219000,-42.59811000
0.04943848,-61.94315000,-50.43907000,-66.24950000,-28.03475000
0.05004883,-58.01190000,-46.42377000,-63.52783000,-24.03175000
0.05065918,-63.08578000,-51.46725000,-67.23550000,-29.03434000
0.05126953,-80.36254000,-68.90630000,-69.91285000,-46.10963000
0.05187988,-92.29759000,-90.39165000,-69.37379000,-66.49593000
0.05249023,-89.05074000,-90.65509000,-70.21144000,-64.77586000
0.05310059,-91.49253000,-89.02671000,-73.08348000,-62.46632000
0.05371094,-89.09241000,-93.60370000,-73.73816000,-63.91096000
0.05432129,-87.17447000,-97.92262000,-71.44006000,-72.84380000
0.05493164,-91.93181000,-91.37335000,-72.21924000,-64.85402000
0.05554199,-106.05900000,-85.96482000,-78.51759000,-62.97164000
0.05615234,-93.74305000,-82.98560000,-108.65890000,-62.17261000
0.05676270,-85.73976000,-83.34327000,-79.16633000,-60.06240000
0.05737305,-86.36656000,-92.96872000,-77.20348000,-72.72160000
0.05798340,-93.18900000,-84.38341000,-76.73716000,-61.27010000
0.05859375,-88.13973000,-88.69933000,-77.35095000,-62.53464000
0.05920410,-84.97563000,-70.24675000,-75.38609000,-44.41833000
0.05981445,-80.12188000,-61.77213000,-74.28366000,-36.26922000
0.06042480,-78.45816000,-63.40275000,-73.28816000,-37.79872000
0.06103516,-80.05676000,-74.57269000,-73.23395000,-48.46293000
0.06164551,-82.07365000,-82.24446000,-73.68732000,-58.18555000
0.06225586,-84.44390000,-78.49733000,-73.03972000,-56.36457000
0.06286621,-90.33313000,-79.92726000,-73.04076000,-58.73995000
0.06347656,-84.04857000,-89.82003000,-72.65584000,-63.24399000
0.06408691,-81.53772000,-85.13076000,-75.35239000,-57.87017000
0.06469727,-83.27136000,-84.73300000,-74.86752000,-58.22770000
0.06530762,-90.05664000,-99.65171000,-74.89836000,-84.94482000
0.06591797,-91.26344000,-88.40981000,-74.24059000,-60.41636000
0.06652832,-90.67175000,-87.10174000,-74.04572000,-60.41221000
0.06713867,-91.86852000,-85.72483000,-75.90520000,-59.77524000
0.06774902,-88.85280000,-84.12857000,-77.37771000,-57.41825000
0.06835938,-91.09463000,-86.06752000,-86.58088000,-59.27133000
0.06896973,-89.46974000,-99.29330000,-83.32008000,-70.95404000
0.06958008,-83.08524000,-83.29149000,-81.76469000,-60.33556000
0.07019043,-89.40060000,-81.10717000,-87.10120000,-56.89162000
0.07080078,-88.25548000,-83.50623000,-86.44281000,-60.48444000
0.07141113,-87.52053000,-85.43744000,-82.58498000,-64.52401000
0.07202148,-100.26680000,-91.73682000,-96.62052000,-75.39306000
0.07263184,-102.87350000,-92.47670000,-79.82040000,-65.81093000
0.07324219,-99.93340000,-88.32787000,-86.90009000,-62.70084000
0.07385254,-87.23881000,-93.65726000,-82.67195000,-66.42831000
0.07446289,-83.14590000,-98.18262000,-73.14826000,-70.47934000
0.07507324,-83.00406000,-90.86610000,-69.73651000,-66.27521000
0.07568359,-85.76356000,-98.07436000,-71.46010000,-65.53702000
0.07629395,-92.49954000,-95.57809000,-71.64283000,-66.74958000
0.07690430,-95.10940000,-92.31311000,-71.46498000,-63.03032000
0.07751465,-89.80248000,-95.43971000,-72.10191000,-63.49859000
0.07812500,-83.89903000,-93.62315000,-77.64070000,-64.01418000
0.07873535,-86.67192000,-92.35280000,-81.18759000,-67.06214000
0.07934570,-99.69051000,-98.39832000,-75.44966000,-74.91312000
0.07995605,-93.73390000,-89.77304000,-74.49950000,-64.39095000
0.08056641,-88.46780000,-93.90977000,-77.27065000,-66.26035000
0.08117676,-90.35195000,-87.78235000,-79.02132000,-67.98911000
0.08178711,-92.24381000,-86.31470000,-82.68196000,-69.30987000
0.08239746,-87.55721000,-88.55989000,-85.29556000,-69.37579000
0.08300781,-82.17078000,-89.78342000,-80.58154000,-77.74150000
0.08361816,-79.36421000,-84.98369000,-82.34914000,-67.31799000
0.08422852,-82.39536000,-90.25353000,-79.01898000,-70.98450000
0.08483887,-85.14857000,-89.64573000,-70.69738000,-71.55920000
0.08544922,-89.84683000,-94.90714000,-72.43727000,-69.14285000
0.08605957,-86.87314000,-97.60319000,-84.25404000,-68.40392000
0.08666992,-87.09428000,-113.11410000,-72.36839000,-64.73504000
0.08728027,-87.30843000,-104.70470000,-72.08376000,-69.65135000
0.08789063,-81.93910000,-109.30630000,-74.95985000,-87.67564000
0.08850098,-81.12788000,-84.22356000,-77.67470000,-59.71167000
0.08911133,-83.34395000,-61.05548000,-84.39713000,-36.56746000
0.08972168,-84.38371000,-52.40624000,-75.43566000,-27.73366000
