Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-44.17694000,-25.18720000,17.77633000,-2.12676900
0.00061035,-51.63444000,-32.66940000,10.25988000,-9.64367400
0.00122070,-67.33655000,-48.24212000,-5.66250100,-25.47527000
0.00183105,-86.42368000,-77.70287000,-63.30032000,-60.96632000
0.00244141,-83.35524000,-88.84751000,-64.20419000,-55.27254000
0.00305176,-83.03330000,-81.42067000,-68.99937000,-53.35104000
0.00366211,-82.03324000,-87.11340000,-69.42293000,-59.87757000
0.00427246,-83.50800000,-80.09564000,-67.64976000,-58.17048000
0.00488281,-90.87276000,-75.42264000,-72.38568000,-61.82581000
0.00549316,-85.13808000,-87.76173000,-68.47335000,-68.80322000
0.00610352,-89.30825000,-80.95740000,-67.43842000,-57.42956000
0.00671387,-120.60820000,-83.71667000,-87.53350000,-60.58403000
0.00732422,-96.68866000,-94.17143000,-68.22897000,-77.38354000
0.00793457,-100.75620000,-86.05792000,-69.11574000,-61.47416000
0.00854492,-91.84822000,-79.25137000,-72.57423000,-56.42252000
0.00915527,-94.49944000,-78.23897000,-70.73244000,-56.64178000
0.00976563,-91.95712000,-84.83094000,-73.04385000,-57.24802000
0.01037598,-88.81886000,-87.22893000,-73.35151000,-56.33806000
0.01098633,-91.78315000,-83.22758000,-70.66117000,-55.06206000
0.01159668,-86.63547000,-80.06932000,-73.89874000,-54.70412000
0.01220703,-83.09724000,-76.67692000,-74.56226000,-53.93230000
0.01281738,-91.29836000,-78.31583000,-78.52588000,-57.50025000
0.01342773,-87.56152000,-81.46941000,-70.61694000,-75.85896000
0.01403809,-84.37779000,-83.29886000,-67.17887000,-62.47678000
0.01464844,-87.53937000,-83.98856000,-70.35168000,-67.62437000
0.01525879,-88.38284000,-81.54068000,-68.71378000,-63.86646000
0.01586914,-86.24234000,-82.15390000,-65.76537000,-64.42529000
0.01647949,-89.22749000,-83.56483000,-65.18128000,-61.06850000
0.01708984,-91.35902000,-76.08822000,-66.06622000,-54.30006000
0.01770020,-91.23993000,-76.56841000,-70.11298000,-55.30914000
0.01831055,-93.59509000,-82.91621000,-68.08930000,-63.41778000
0.01892090,-103.27120000,-89.10424000,-69.83553000,-62.24507000
0.01953125,-92.64272000,-84.92914000,-77.99378000,-63.37370000
0.02014160,-86.14948000,-81.70227000,-74.77378000,-64.89608000
0.02075195,-89.23457000,-78.55043000,-68.37022000,-59.56032000
0.02136230,-87.74767000,-81.09903000,-67.71635000,-60.55578000
0.02197266,-87.70677000,-79.99415000,-67.05948000,-64.71935000
0.02258301,-86.96835000,-75.67342000,-66.01289000,-58.84823000
0.02319336,-81.30589000,-73.54445000,-66.37928000,-54.56907000
0.02380371,-84.66087000,-75.85016000,-67.62766000,-68.82044000
0.02441406,-96.91051000,-77.35518000,-69.75917000,-55.95063000
0.02502441,-89.46824000,-78.14717000,-72.89838000,-56.58105000
0.02563477,-90.60311000,-77.92494000,-79.36678000,-59.40213000
0.02624512,-90.08613000,-79.28336000,-76.32799000,-57.44819000
0.02685547,-88.61088000,-76.38579000,-74.20941000,-52.43030000
0.02746582,-96.36041000,-80.89323000,-73.95058000,-55.57744000
0.02807617,-83.94569000,-85.79078000,-73.93751000,-56.34648000
0.02868652,-66.99039000,-41.51634000,-76.30039000,-17.12974000
0.02929688,-46.87051000,-23.10207000,-78.97112000,1.27735400
0.02990723,-40.79671000,-17.16479000,-78.48754000,7.21615700
0.03051758,-43.88126000,-20.28502000,-78.60743000,4.09755000
0.03112793,-57.72082000,-34.04046000,-76.24801000,-9.66779300
0.03173828,-88.51970000,-73.11296000,-79.05331000,-51.36720000
0.03234863,-96.55202000,-73.08100000,-78.56682000,-49.94385000
0.03295898,-96.50769000,-96.39719000,-70.00318000,-66.77364000
0.03356934,-88.80748000,-85.65697000,-70.48301000,-64.58932000
0.03417969,-86.73484000,-86.26733000,-76.87728000,-59.42232000
0.03479004,-89.45955000,-80.67348000,-72.43485000,-56.75627000
0.03540039,-91.81281000,-83.84652000,-69.99833000,-64.53381000
0.03601074,-97.29119000,-87.51044000,-68.87548000,-60.72589000
0.03662109,-87.80038000,-86.99153000,-71.18944000,-61.86092000
0.03723145,-82.34583000,-82.06742000,-75.93826000,-54.53201000
0.03784180,-86.64471000,-94.99511000,-78.12537000,-59.05840000
0.03845215,-108.99880000,-85.69747000,-68.29572000,-63.47918000
0.03906250,-90.10582000,-85.15518000,-64.58788000,-58.74692000
0.03967285,-87.26198000,-83.42242000,-65.50204000,-61.84908000
0.04028320,-86.92290000,-76.66212000,-69.09863000,-60.67119000
0.04089355,-85.07575000,-79.80484000,-74.16177000,-61.31861000
0.04150391,-81.30112000,-89.21322000,-82.11345000,-62.21542000
0.04211426,-83.66073000,-95.28602000,-68.29961000,-59.38930000
0.04272461,-85.00842000,-85.00623000,-66.20248000,-60.27996000
0.04333496,-85.87066000,-82.64638000,-67.77192000,-65.15218000
0.04394531,-85.35522000,-79.29989000,-70.14714000,-66.89207000
0.04455566,-85.11456000,-75.32314000,-68.90502000,-71.79688000
0.04516602,-86.17649000,-75.00844000,-70.49476000,-86.40774000
0.04577637,-86.06752000,-79.99657000,-75.92132000,-64.46333000
0.04638672,-90.22073000,-85.85307000,-79.28578000,-61.52338000
0.04699707,-95.81040000,-91.06793000,-77.81172000,-65.94964000
0.04760742,-96.63516000,-84.47282000,-71.64176000,-63.38030000
0.04821777,-90.86610000,-79.81182000,-70.19739000,-59.48573000
0.04882813,-73.21476000,-58.51295000,-72.42806000,-35.49377000
0.04943848,-58.96725000,-43.34525000,-62.31907000,-20.69784000
0.05004883,-55.21730000,-39.53612000,-57.11041000,-17.01652000
0.05065918,-60.27762000,-44.69697000,-60.56669000,-22.37865000
0.05126953,-76.21701000,-61.12717000,-67.29301000,-39.65873000
0.05187988,-115.47280000,-79.75238000,-70.43848000,-62.14220000
0.05249023,-90.75746000,-83.81057000,-74.36974000,-62.39899000
0.05310059,-87.56249000,-88.91008000,-75.66029000,-60.47466000
0.05371094,-96.92458000,-90.24204000,-69.66910000,-61.39536000
0.05432129,-87.91833000,-81.14433000,-69.16185000,-59.64186000
0.05493164,-84.83693000,-79.84441000,-80.58754000,-60.75743000
0.05554199,-88.06801000,-81.91052000,-77.62930000,-72.23500000
0.05615234,-98.23557000,-92.39413000,-71.37216000,-63.86662000
0.05676270,-89.73091000,-83.44003000,-72.14928000,-62.07346000
0.05737305,-86.63364000,-78.47107000,-80.46442000,-60.51373000
0.05798340,-88.76199000,-80.52161000,-79.42798000,-60.10139000
0.05859375,-88.22784000,-86.19963000,-70.77076000,-57.94781000
0.05920410,-88.58837000,-74.98440000,-70.08986000,-55.06435000
0.05981445,-87.32378000,-73.00643000,-77.36210000,-50.64119000
0.06042480,-88.52947000,-76.76740000,-72.26413000,-53.26267000
0.06103516,-96.90439000,-84.06703000,-72.35410000,-65.25468000
0.06164551,-94.70184000,-92.44264000,-73.88750000,-71.40019000
0.06225586,-95.70187000,-92.50641000,-74.21624000,-66.20761000
0.06286621,-86.94160000,-84.25613000,-70.68915000,-71.32468000
0.06347656,-86.58852000,-85.20013000,-67.76299000,-75.50289000
0.06408691,-93.64658000,-88.80535000,-68.96464000,-71.90307000
0.06469727,-87.29248000,-88.62206000,-71.46567000,-67.09885000
0.06530762,-89.01981000,-86.13805000,-71.78806000,-62.71244000
0.06591797,-88.73239000,-83.33234000,-85.18887000,-63.68841000
0.06652832,-93.51165000,-90.25739000,-73.57201000,-76.82038000
0.06713867,-98.43129000,-91.19038000,-72.68592000,-76.26521000
0.06774902,-92.89841000,-85.33704000,-74.45012000,-65.80662000
0.06835938,-89.47993000,-80.06496000,-73.54057000,-63.12376000
0.06896973,-87.82851000,-82.14980000,-69.25098000,-68.07666000
0.06958008,-92.82805000,-74.96039000,-69.44627000,-53.46752000
0.07019043,-89.92665000,-71.85792000,-71.71761000,-52.27867000
0.07080078,-89.79799000,-74.26667000,-69.90366000,-62.70433000
0.07141113,-82.65659000,-79.93613000,-69.80356000,-72.26541000
0.07202148,-83.99277000,-82.77739000,-72.83375000,-80.81825000
0.07263184,-84.37424000,-83.64304000,-73.71420000,-84.45415000
0.07324219,-84.11696000,-84.59372000,-73.27397000,-65.96445000
0.07385254,-86.85590000,-83.44038000,-68.22500000,-60.71783000
0.07446289,-92.00925000,-87.67894000,-65.20622000,-63.02657000
0.07507324,-95.86593000,-85.48442000,-67.12731000,-67.53469000
0.07568359,-87.73962000,-76.81012000,-70.72457000,-61.76863000
0.07629395,-88.24901000,-74.12989000,-72.00418000,-61.55433000
0.07690430,-104.13360000,-76.71302000,-73.93825000,-65.44013000
0.07751465,-92.66190000,-80.00104000,-76.78931000,-65.98466000
0.07812500,-83.13248000,-82.23130000,-73.21659000,-64.26990000
0.07873535,-80.79582000,-85.76225000,-83.07455000,-69.62419000
0.07934570,-85.61002000,-88.73398000,-74.30978000,-64.02657000
0.07995605,-102.01920000,-85.09713000,-69.57734000,-55.69864000
0.08056641,-95.24843000,-79.95984000,-69.33246000,-55.65459000
0.08117676,-87.82943000,-78.27184000,-74.87881000,-56.93392000
0.08178711,-90.98663000,-81.99337000,-81.32682000,-58.26707000
0.08239746,-82.08939000,-89.53515000,-81.01360000,-66.77441000
0.08300781,-94.35338000,-82.03671000,-67.90363000,-64.49001000
0.08361816,-86.12643000,-81.97030000,-68.65843000,-66.59869000
0.08422852,-82.83823000,-81.10805000,-78.29584000,-77.70598000
0.08483887,-83.55785000,-83.38890000,-96.62859000,-67.80272000
0.08544922,-97.28725000,-93.58459000,-73.59292000,-63.45514000
0.08605957,-87.90551000,-90.85064000,-74.80277000,-63.88282000
0.08666992,-92.06809000,-82.57793000,-75.70876000,-67.92240000
0.08728027,-85.00900000,-79.75806000,-66.33868000,-67.26415000
0.08789063,-87.09403000,-79.91960000,-66.60248000,-65.39989000
0.08850098,-91.38931000,-78.20205000,-78.36293000,-62.93430000
0.08911133,-86.45065000,-74.06714000,-70.48444000,-48.06322000
0.08972168,-79.55025000,-67.74899000,-66.01780000,-40.27387000
