Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-44.23592000,-32.10589000,17.64170000,-7.49036800
0.00000763,-51.75070000,-39.60071000,10.12580000,-14.97610000
0.00001526,-67.80906000,-54.66010000,-5.78823400,-30.05995000
0.00002289,-92.22897000,-71.01777000,-66.07881000,-47.62971000
0.00003052,-98.96529000,-77.93519000,-68.19566000,-55.78063000
0.00003815,-88.40717000,-78.11559000,-68.98039000,-54.76482000
0.00004578,-82.55698000,-75.74275000,-67.37537000,-50.45450000
0.00005341,-84.67622000,-75.45792000,-68.41040000,-49.64613000
0.00006104,-89.84656000,-75.62689000,-73.34429000,-50.44670000
0.00006866,-92.17857000,-79.09324000,-77.91806000,-53.86759000
0.00007629,-96.18331000,-96.11113000,-81.65778000,-66.50357000
0.00008392,-96.51252000,-86.26922000,-73.90977000,-63.23824000
0.00009155,-95.71817000,-87.21603000,-71.88767000,-61.66483000
0.00009918,-92.82446000,-96.85070000,-75.72771000,-60.39331000
0.00010681,-94.64174000,-89.60336000,-78.68907000,-62.26781000
0.00011444,-84.98047000,-94.46708000,-68.21840000,-73.79797000
0.00012207,-81.00198000,-78.59840000,-66.03822000,-64.14980000
0.00012970,-81.16683000,-78.35409000,-68.94138000,-61.83269000
0.00013733,-89.95660000,-88.62906000,-74.90096000,-64.14233000
0.00014496,-87.63193000,-86.18417000,-75.28661000,-72.05582000
0.00015259,-85.39539000,-85.62523000,-73.67508000,-70.83115000
0.00016022,-89.66513000,-90.14253000,-80.58648000,-71.14018000
0.00016785,-87.82764000,-95.33504000,-76.12539000,-75.64317000
0.00017548,-89.26624000,-87.64553000,-77.97620000,-70.47171000
0.00018311,-90.74738000,-82.43061000,-76.09792000,-59.96583000
0.00019073,-88.87791000,-81.82000000,-75.35003000,-57.73516000
0.00019836,-92.43321000,-85.23876000,-81.69299000,-61.73519000
0.00020599,-103.27120000,-90.49453000,-89.04265000,-66.29655000
0.00021362,-95.99123000,-91.37335000,-78.58180000,-64.65562000
0.00022125,-99.77752000,-90.53464000,-73.91929000,-64.17968000
0.00022888,-91.81031000,-88.46693000,-75.98313000,-62.59346000
0.00023651,-88.44824000,-87.60529000,-82.31973000,-59.62091000
0.00024414,-91.45184000,-88.82774000,-87.19307000,-57.97051000
0.00025177,-89.83047000,-88.90123000,-82.16782000,-58.13420000
0.00025940,-91.64626000,-86.84015000,-87.97916000,-62.96725000
0.00026703,-93.69819000,-84.00755000,-84.11502000,-62.34724000
0.00027466,-103.27270000,-85.42505000,-77.58050000,-61.44563000
0.00028229,-99.74346000,-91.52574000,-75.84907000,-65.65446000
0.00028992,-93.41748000,-96.24806000,-74.65199000,-68.58772000
0.00029755,-93.82680000,-103.45550000,-82.58064000,-83.90845000
0.00030518,-98.65552000,-88.29710000,-79.32343000,-65.92068000
0.00031281,-104.10330000,-85.07167000,-73.77135000,-61.30233000
0.00032043,-97.95213000,-85.97169000,-73.19598000,-60.07707000
0.00032806,-100.96510000,-84.70859000,-76.72385000,-60.37737000
0.00033569,-119.66900000,-82.80031000,-79.75419000,-59.03461000
0.00034332,-105.36590000,-81.81050000,-91.45816000,-58.06995000
0.00035095,-94.41411000,-83.84201000,-78.32798000,-60.34263000
0.00035858,-89.80251000,-86.96117000,-76.13466000,-64.38712000
0.00036621,-87.73843000,-92.67086000,-77.55887000,-67.91322000
0.00037384,-87.95571000,-89.54087000,-80.63683000,-70.69597000
0.00038147,-92.17319000,-85.71578000,-79.72057000,-66.17412000
0.00038910,-97.49008000,-84.78694000,-75.49348000,-63.29742000
0.00039673,-97.33249000,-88.64360000,-75.58215000,-67.24515000
0.00040436,-98.62819000,-92.11799000,-81.28799000,-76.37506000
0.00041199,-97.96942000,-87.70023000,-95.14327000,-66.64590000
0.00041962,-92.34512000,-88.58069000,-84.08797000,-64.93900000
0.00042725,-87.02938000,-92.18667000,-79.06068000,-66.63618000
0.00043488,-86.89085000,-92.62673000,-82.12125000,-71.80942000
0.00044250,-90.20857000,-86.93139000,-90.43019000,-65.17690000
0.00045013,-88.84161000,-87.15855000,-105.93600000,-65.33141000
0.00045776,-89.02863000,-87.70427000,-85.35023000,-65.21803000
0.00046539,-90.33726000,-89.28410000,-86.76454000,-67.80372000
0.00047302,-89.77528000,-96.76445000,-77.95332000,-70.56758000
0.00048065,-88.25883000,-98.09062000,-79.13907000,-70.80614000
0.00048828,-89.90573000,-93.98651000,-86.80759000,-83.26436000
0.00049591,-98.84822000,-94.52042000,-82.87306000,-72.42810000
0.00050354,-96.98968000,-100.92840000,-79.47835000,-72.75460000
0.00051117,-93.44398000,-99.56941000,-73.75793000,-71.50873000
0.00051880,-103.51220000,-100.95640000,-79.25687000,-74.18343000
0.00052643,-102.43230000,-100.75200000,-86.70864000,-72.03859000
0.00053406,-94.85506000,-102.90320000,-82.83453000,-75.35724000
0.00054169,-91.90948000,-100.06460000,-79.75687000,-75.03680000
0.00054932,-92.49497000,-103.32930000,-77.63357000,-77.98461000
0.00055695,-91.34061000,-89.64079000,-87.52089000,-62.94133000
0.00056458,-95.29840000,-90.92735000,-97.08595000,-64.91461000
0.00057220,-102.58960000,-102.61190000,-80.36855000,-77.76025000
0.00057983,-102.64260000,-93.30170000,-76.54335000,-73.30505000
0.00058746,-93.29865000,-106.93260000,-78.70086000,-73.50684000
0.00059509,-95.32665000,-92.30986000,-93.57757000,-66.78490000
0.00060272,-100.93210000,-91.19316000,-82.83997000,-66.81940000
0.00061035,-91.84175000,-93.73929000,-84.44442000,-71.87547000
0.00061798,-90.37923000,-95.23456000,-92.53732000,-73.12263000
0.00062561,-94.21677000,-97.75281000,-90.17241000,-80.52922000
0.00063324,-102.37840000,-92.34830000,-83.99835000,-73.83811000
0.00064087,-105.70880000,-95.51495000,-76.91376000,-67.00425000
0.00064850,-93.14156000,-90.64290000,-80.68520000,-65.85263000
0.00065613,-87.74828000,-94.75323000,-85.54996000,-70.13509000
0.00066376,-87.23380000,-92.36771000,-81.37407000,-67.41233000
0.00067139,-89.74355000,-89.64284000,-78.63425000,-66.15656000
0.00067902,-90.45457000,-100.01360000,-79.17340000,-75.59047000
0.00068665,-91.84378000,-90.06709000,-76.44258000,-67.02934000
0.00069427,-96.56663000,-88.97057000,-84.06902000,-66.84137000
0.00070190,-99.10791000,-90.63163000,-82.27943000,-69.62946000
0.00070953,-97.97516000,-91.37950000,-87.55051000,-70.47073000
0.00071716,-93.65231000,-93.34369000,-79.31433000,-73.45842000
0.00072479,-91.49905000,-94.53247000,-75.21900000,-70.00475000
0.00073242,-94.82537000,-89.85072000,-76.31699000,-65.16633000
0.00074005,-98.62498000,-91.54323000,-77.90549000,-67.00726000
0.00074768,-101.39640000,-100.07670000,-77.67028000,-77.81091000
0.00075531,-101.70460000,-92.41251000,-76.19502000,-72.68419000
0.00076294,-101.46860000,-90.24413000,-84.94774000,-70.86200000
0.00077057,-98.21104000,-93.74747000,-83.95323000,-73.34108000
0.00077820,-104.04760000,-91.34429000,-82.82469000,-69.58441000
0.00078583,-96.33527000,-89.76501000,-83.53242000,-67.12697000
0.00079346,-95.86172000,-99.77682000,-89.77203000,-72.20622000
0.00080109,-100.28650000,-96.61274000,-84.57806000,-74.95742000
0.00080872,-100.48980000,-98.97856000,-79.60888000,-80.93243000
0.00081635,-94.09126000,-97.72917000,-83.68849000,-71.29956000
0.00082397,-108.46600000,-97.05269000,-90.75957000,-71.39523000
0.00083160,-87.28524000,-105.59300000,-81.98094000,-78.29819000
0.00083923,-85.03685000,-94.50475000,-81.96786000,-70.79088000
0.00084686,-82.82639000,-91.86600000,-86.47389000,-67.98614000
0.00085449,-82.81779000,-89.05426000,-101.61350000,-64.21468000
0.00086212,-87.11409000,-87.71497000,-85.28963000,-62.51637000
0.00086975,-94.13055000,-91.49376000,-78.28442000,-64.84345000
0.00087738,-98.48727000,-95.44452000,-74.21430000,-67.56203000
0.00088501,-95.74736000,-93.03947000,-74.22264000,-68.89739000
0.00089264,-90.79610000,-89.05570000,-78.03043000,-66.68517000
0.00090027,-92.23895000,-89.17281000,-75.79093000,-66.41746000
0.00090790,-89.75364000,-87.01123000,-77.13760000,-65.11325000
0.00091553,-87.79817000,-88.87885000,-81.41997000,-66.64694000
0.00092316,-90.85427000,-104.62870000,-78.20654000,-71.56869000
0.00093079,-101.27460000,-94.97517000,-75.31964000,-68.93114000
0.00093842,-106.07300000,-96.96759000,-75.82788000,-71.21007000
0.00094604,-98.37762000,-92.45012000,-77.59494000,-67.64754000
0.00095367,-96.13567000,-90.21614000,-77.66975000,-66.35635000
0.00096130,-102.44340000,-87.73077000,-81.02233000,-63.92802000
0.00096893,-104.35550000,-87.97245000,-81.89240000,-64.45699000
0.00097656,-98.46014000,-90.46489000,-84.55318000,-68.80820000
0.00098419,-95.32159000,-105.76170000,-94.92478000,-75.20477000
0.00099182,-101.26950000,-94.76582000,-85.49834000,-66.50518000
0.00099945,-102.41570000,-98.29459000,-84.49396000,-66.99284000
0.00100708,-91.94352000,-96.91617000,-84.28989000,-70.89182000
0.00101471,-90.68679000,-88.70617000,-85.97018000,-67.81785000
0.00102234,-94.62695000,-91.53802000,-84.00990000,-69.54386000
0.00102997,-96.47739000,-97.23904000,-81.46088000,-72.78687000
0.00103760,-93.87360000,-96.61758000,-83.11097000,-73.00300000
0.00104523,-91.85469000,-95.68748000,-85.24253000,-72.25724000
0.00105286,-93.41629000,-92.12623000,-86.62192000,-70.14318000
0.00106049,-98.73089000,-94.25724000,-86.40253000,-73.46483000
0.00106812,-96.92036000,-109.14610000,-84.54590000,-83.58440000
0.00107574,-93.26896000,-93.68774000,-83.99998000,-69.14317000
0.00108337,-91.80569000,-93.45763000,-80.89352000,-72.12539000
0.00109100,-92.65751000,-97.02893000,-80.70639000,-77.43709000
0.00109863,-97.72564000,-90.82847000,-82.68738000,-68.81519000
0.00110626,-102.47100000,-87.05554000,-93.09451000,-65.20316000
0.00111389,-95.31796000,-92.06577000,-98.20401000,-73.43644000
0.00112152,-89.94035000,-106.44880000,-85.66994000,-75.66244000
