Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-42.66091000,-26.81668000,17.66284000,-3.19162200
0.00000763,-50.18548000,-34.30652000,10.14631000,-10.66105000
0.00001526,-65.82805000,-50.11003000,-5.77319900,-26.30602000
0.00002289,-84.75893000,-78.08903000,-67.68155000,-57.62215000
0.00003052,-87.65633000,-78.55782000,-66.38198000,-56.99797000
0.00003815,-98.53659000,-85.16631000,-69.16035000,-61.12052000
0.00004578,-98.49023000,-84.87997000,-72.78649000,-63.43884000
0.00005341,-98.28429000,-80.99785000,-72.51392000,-60.07933000
0.00006104,-93.72700000,-82.74995000,-77.60373000,-60.50335000
0.00006866,-100.65760000,-84.95879000,-80.66161000,-62.82820000
0.00007629,-98.85570000,-86.23367000,-73.26760000,-62.24726000
0.00008392,-98.24403000,-83.65092000,-70.87707000,-58.47293000
0.00009155,-97.07475000,-80.99946000,-68.78975000,-56.91554000
0.00009918,-106.03340000,-82.30502000,-68.28261000,-59.00718000
0.00010681,-108.12220000,-82.82341000,-68.13335000,-58.99882000
0.00011444,-92.72954000,-84.53383000,-71.29275000,-58.76060000
0.00012207,-92.30851000,-84.11986000,-77.89631000,-58.73640000
0.00012970,-107.42630000,-85.32228000,-74.97897000,-62.33773000
0.00013733,-91.70401000,-95.36801000,-75.76691000,-66.60307000
0.00014496,-91.76588000,-91.71642000,-79.76308000,-71.42794000
0.00015259,-97.97128000,-86.94610000,-76.15283000,-69.02002000
0.00016022,-93.96195000,-84.95132000,-82.07483000,-64.69958000
0.00016785,-96.54364000,-84.40787000,-76.71701000,-60.41225000
0.00017548,-113.14370000,-85.98744000,-73.14359000,-60.89009000
0.00018311,-97.73247000,-86.93356000,-77.17666000,-64.51495000
0.00019073,-94.88799000,-87.66926000,-74.04044000,-65.34468000
0.00019836,-93.24652000,-86.33004000,-73.80804000,-62.99639000
0.00020599,-97.51176000,-86.73657000,-76.41216000,-64.75575000
0.00021362,-96.02439000,-85.08177000,-82.48520000,-73.09486000
0.00022125,-86.84768000,-83.87918000,-84.46675000,-70.70868000
0.00022888,-86.09291000,-88.77175000,-78.66923000,-67.50395000
0.00023651,-84.46960000,-81.57703000,-71.06911000,-67.87172000
0.00024414,-74.82165000,-77.04426000,-66.60338000,-64.91935000
0.00025177,-70.60059000,-95.14346000,-66.48026000,-66.19981000
0.00025940,-72.11846000,-77.99540000,-68.39874000,-68.27093000
0.00026703,-75.44473000,-74.53585000,-71.29978000,-72.56004000
0.00027466,-74.56583000,-72.08398000,-75.82471000,-72.76677000
0.00028229,-77.03497000,-73.60533000,-81.35865000,-72.91826000
0.00028992,-86.41418000,-81.59997000,-77.75872000,-73.50058000
0.00029755,-83.42104000,-80.56296000,-75.07802000,-70.75765000
0.00030518,-82.59210000,-81.78429000,-70.40177000,-63.95214000
0.00031281,-81.47927000,-87.16470000,-70.53739000,-60.97123000
0.00032043,-78.21687000,-79.69455000,-73.26725000,-64.29309000
0.00032806,-82.97073000,-81.59694000,-74.90268000,-76.75749000
0.00033569,-95.46978000,-89.23840000,-76.00908000,-72.30676000
0.00034332,-87.74416000,-80.82751000,-74.20930000,-66.80159000
0.00035095,-97.66504000,-84.78682000,-76.54965000,-62.05160000
0.00035858,-93.20595000,-87.73029000,-82.78579000,-64.23782000
0.00036621,-89.20590000,-85.99929000,-76.95918000,-68.65456000
0.00037384,-94.39145000,-93.71889000,-75.76335000,-67.30437000
0.00038147,-88.58472000,-99.37672000,-76.00407000,-77.63419000
0.00038910,-95.44547000,-91.28499000,-78.43649000,-71.25639000
0.00039673,-95.53497000,-89.57356000,-81.27968000,-71.10926000
0.00040436,-88.25916000,-88.15289000,-87.02022000,-73.68879000
0.00041199,-90.44496000,-88.90186000,-80.87141000,-66.33649000
0.00041962,-96.34831000,-106.44870000,-82.21447000,-65.19806000
0.00042725,-88.82813000,-95.74916000,-80.63376000,-66.71475000
0.00043488,-91.30012000,-88.07240000,-86.54075000,-68.04214000
0.00044250,-93.76141000,-94.08158000,-83.77182000,-73.16738000
0.00045013,-90.80792000,-94.63318000,-89.78074000,-79.42639000
0.00045776,-93.89058000,-90.54167000,-83.27185000,-69.78936000
0.00046539,-93.16096000,-94.72962000,-78.39893000,-69.17113000
0.00047302,-92.68918000,-97.31892000,-74.65768000,-70.62603000
0.00048065,-89.93478000,-93.24879000,-72.97691000,-70.52964000
0.00048828,-93.37453000,-92.77249000,-76.09370000,-68.66483000
0.00049591,-96.93813000,-94.97606000,-79.80392000,-70.30095000
0.00050354,-97.22498000,-99.47794000,-77.54515000,-73.04584000
0.00051117,-111.18160000,-95.57305000,-79.44998000,-69.87108000
0.00051880,-103.01900000,-95.60585000,-77.41212000,-72.21153000
0.00052643,-96.86639000,-98.19897000,-86.97875000,-79.49888000
0.00053406,-93.38739000,-98.74207000,-85.65088000,-82.31235000
0.00054169,-108.94080000,-99.75602000,-88.06321000,-82.53592000
0.00054932,-98.94667000,-105.21130000,-88.21945000,-81.65335000
0.00055695,-96.00813000,-104.42090000,-83.62186000,-83.48306000
0.00056458,-99.34787000,-114.69010000,-87.48017000,-86.34781000
0.00057220,-104.72450000,-93.79134000,-81.18831000,-74.66111000
0.00057983,-95.54948000,-88.43961000,-85.14317000,-63.00465000
0.00058746,-92.17920000,-88.34434000,-82.08350000,-61.90957000
0.00059509,-94.24571000,-98.37816000,-76.02204000,-72.98314000
0.00060272,-102.52350000,-89.37846000,-73.58308000,-67.33524000
0.00061035,-91.56666000,-88.21311000,-74.76160000,-64.83649000
0.00061798,-91.19008000,-89.55754000,-80.14349000,-67.68131000
0.00062561,-99.82933000,-90.86043000,-89.05183000,-69.97862000
0.00063324,-96.43655000,-92.73743000,-85.14212000,-71.44880000
0.00064087,-94.18372000,-92.51097000,-84.31123000,-69.39963000
0.00064850,-98.57637000,-95.60162000,-79.90520000,-71.99578000
0.00065613,-100.58450000,-93.79719000,-78.23607000,-73.50577000
0.00066376,-98.23891000,-89.86391000,-82.70336000,-68.48011000
0.00067139,-97.48818000,-91.05969000,-86.32945000,-66.03392000
0.00067902,-101.31840000,-93.19141000,-82.37083000,-68.36726000
0.00068665,-97.42480000,-96.35364000,-92.72803000,-79.56715000
0.00069427,-99.31542000,-99.80285000,-81.23264000,-68.22326000
0.00070190,-99.10699000,-97.07855000,-79.31958000,-66.91116000
0.00070953,-99.55940000,-95.33035000,-82.59283000,-90.16792000
0.00071716,-105.40710000,-91.84167000,-92.68394000,-72.74853000
0.00072479,-103.59890000,-97.50222000,-96.40288000,-73.51717000
0.00073242,-96.06609000,-90.41660000,-87.01646000,-65.09711000
0.00074005,-94.81757000,-89.13910000,-81.98631000,-64.37254000
0.00074768,-99.90221000,-88.93010000,-75.33968000,-64.38892000
0.00075531,-97.91251000,-92.93228000,-74.35439000,-67.39362000
0.00076294,-96.13164000,-94.92206000,-78.50307000,-71.36024000
0.00077057,-101.35050000,-95.36681000,-82.67002000,-75.29006000
0.00077820,-101.67540000,-98.51782000,-88.43314000,-70.10120000
0.00078583,-94.57909000,-103.83330000,-84.10367000,-67.96553000
0.00079346,-101.98870000,-101.03760000,-78.78404000,-70.76593000
0.00080109,-94.40344000,-93.02805000,-89.10013000,-69.80483000
0.00080872,-89.21339000,-92.03723000,-81.27136000,-71.31763000
0.00081635,-88.80992000,-96.48853000,-78.71558000,-76.51292000
0.00082397,-89.39822000,-93.09777000,-78.07889000,-76.99770000
0.00083160,-89.39912000,-90.51345000,-76.09341000,-72.63484000
0.00083923,-96.75597000,-95.44620000,-76.92088000,-73.12042000
0.00084686,-93.73386000,-98.55969000,-81.05743000,-78.50826000
0.00085449,-90.50450000,-94.53811000,-81.51849000,-69.91414000
0.00086212,-93.98996000,-93.89684000,-77.28822000,-67.90624000
0.00086975,-101.28470000,-95.99105000,-76.29256000,-73.82169000
0.00087738,-104.78310000,-98.54448000,-77.40374000,-74.21000000
0.00088501,-107.70530000,-97.87304000,-79.63133000,-71.60623000
0.00089264,-101.70450000,-100.92020000,-80.77948000,-73.79278000
0.00090027,-103.55690000,-104.83230000,-81.40755000,-74.28624000
0.00090790,-100.67680000,-108.69500000,-92.08580000,-87.30046000
0.00091553,-99.92436000,-98.86626000,-83.38995000,-70.52054000
0.00092316,-95.95878000,-94.63718000,-79.50334000,-69.34975000
0.00093079,-95.74452000,-91.06917000,-79.23256000,-65.29239000
0.00093842,-96.07795000,-93.79813000,-78.77032000,-66.47912000
0.00094604,-102.37340000,-92.15969000,-78.33810000,-64.98811000
0.00095367,-98.99214000,-86.86782000,-76.89987000,-62.84283000
0.00096130,-95.01522000,-88.24696000,-85.11832000,-64.79208000
0.00096893,-93.81808000,-94.12269000,-90.08562000,-68.24823000
0.00097656,-90.52245000,-99.06501000,-82.63921000,-73.18849000
0.00098419,-89.69641000,-95.95631000,-81.65383000,-75.27613000
0.00099182,-93.15411000,-125.70670000,-81.29696000,-78.06070000
0.00099945,-98.98232000,-95.61993000,-77.95660000,-76.86683000
0.00100708,-106.01600000,-98.74020000,-82.71389000,-82.59177000
0.00101471,-101.52330000,-97.42118000,-83.68419000,-72.49140000
0.00102234,-92.21458000,-98.30280000,-90.70366000,-71.82092000
0.00102997,-94.01456000,-97.16417000,-96.61971000,-74.81828000
0.00103760,-101.24760000,-92.64636000,-87.34216000,-74.10210000
0.00104523,-91.94978000,-94.59698000,-94.24686000,-76.03819000
0.00105286,-93.50098000,-102.26750000,-85.92651000,-80.16837000
0.00106049,-93.61146000,-105.11170000,-84.42584000,-78.06714000
0.00106812,-89.82936000,-95.20421000,-85.13782000,-70.84359000
0.00107574,-92.18237000,-90.53318000,-81.45371000,-68.78259000
0.00108337,-93.84367000,-89.97372000,-86.49338000,-66.74200000
0.00109100,-88.43159000,-88.66896000,-82.13828000,-64.96294000
0.00109863,-91.85120000,-88.21305000,-82.68086000,-66.99947000
0.00110626,-105.06580000,-90.19264000,-86.07718000,-68.26175000
0.00111389,-100.61310000,-91.86679000,-81.84777000,-69.36229000
0.00112152,-105.50860000,-98.64023000,-84.07256000,-75.25784000
