Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-43.95336000,-32.69136000,17.58502000,-7.98938300
0.00000763,-51.46989000,-40.15819000,10.06850000,-15.43985000
0.00001526,-67.00318000,-55.77746000,-5.84977200,-30.92383000
0.00002289,-88.94604000,-87.21955000,-73.70547000,-63.56958000
0.00003052,-94.57739000,-78.66648000,-71.08823000,-54.37023000
0.00003815,-101.76700000,-81.02271000,-70.68958000,-55.22215000
0.00004578,-89.08321000,-80.60843000,-70.24792000,-56.13142000
0.00005341,-91.54026000,-80.73000000,-72.95338000,-55.97765000
0.00006104,-95.06191000,-79.57974000,-89.22711000,-55.10776000
0.00006866,-96.80012000,-80.33372000,-80.99564000,-57.18937000
0.00007629,-95.48339000,-80.69717000,-76.24120000,-58.24380000
0.00008392,-107.74550000,-83.29648000,-73.04221000,-60.99688000
0.00009155,-100.54240000,-93.89899000,-70.99696000,-73.38196000
0.00009918,-100.44710000,-91.09687000,-74.88485000,-70.63653000
0.00010681,-100.77380000,-92.89059000,-74.30174000,-66.60797000
0.00011444,-97.11478000,-85.91140000,-72.76212000,-59.70543000
0.00012207,-102.77270000,-87.64419000,-72.85088000,-62.15028000
0.00012970,-92.83654000,-97.13100000,-74.42833000,-75.13322000
0.00013733,-92.53155000,-96.31252000,-75.11046000,-74.86505000
0.00014496,-95.62775000,-81.59107000,-73.96033000,-59.37899000
0.00015259,-99.53027000,-77.13992000,-75.54244000,-54.77170000
0.00016022,-105.49220000,-78.70437000,-87.81317000,-56.72543000
0.00016785,-101.25880000,-82.54948000,-81.80072000,-61.84483000
0.00017548,-94.58386000,-83.36041000,-86.67839000,-63.31743000
0.00018311,-93.28574000,-81.75517000,-77.46492000,-59.71314000
0.00019073,-96.29767000,-80.80286000,-75.56371000,-57.34909000
0.00019836,-99.94643000,-82.20465000,-79.95771000,-59.19597000
0.00020599,-101.63130000,-84.74807000,-98.07041000,-64.54076000
0.00021362,-101.95570000,-93.88190000,-77.65385000,-69.34913000
0.00022125,-102.74170000,-89.08049000,-81.47938000,-64.85817000
0.00022888,-90.61478000,-87.00604000,-76.65554000,-60.30574000
0.00023651,-90.37064000,-87.10837000,-71.89458000,-60.65152000
0.00024414,-90.49373000,-88.44530000,-73.32767000,-69.43729000
0.00025177,-83.01671000,-82.70250000,-77.63673000,-66.94287000
0.00025940,-84.15639000,-81.99667000,-86.72665000,-61.93853000
0.00026703,-90.38467000,-80.87051000,-84.01223000,-60.64428000
0.00027466,-85.64867000,-83.64226000,-78.23456000,-62.74728000
0.00028229,-86.71864000,-88.67831000,-78.66184000,-67.94994000
0.00028992,-88.62590000,-90.26989000,-87.55280000,-68.49587000
0.00029755,-90.45722000,-90.79948000,-85.94631000,-66.18913000
0.00030518,-93.54018000,-87.61272000,-87.21347000,-64.05461000
0.00031281,-92.40208000,-87.97365000,-82.36832000,-67.84795000
0.00032043,-91.92004000,-92.23569000,-79.77701000,-63.82180000
0.00032806,-88.95535000,-91.25269000,-77.49807000,-63.58349000
0.00033569,-84.33270000,-88.89346000,-74.57425000,-62.04644000
0.00034332,-83.37815000,-86.21861000,-74.94067000,-62.46807000
0.00035095,-86.28582000,-83.72628000,-79.48528000,-69.97049000
0.00035858,-88.98131000,-85.17013000,-83.64772000,-74.17693000
0.00036621,-97.45911000,-91.73499000,-86.34652000,-67.65935000
0.00037384,-89.92995000,-83.58916000,-103.99700000,-62.86899000
0.00038147,-85.24849000,-80.55416000,-81.80331000,-64.56486000
0.00038910,-87.73602000,-83.07212000,-80.25120000,-68.98421000
0.00039673,-111.79740000,-97.65026000,-84.79617000,-69.73460000
0.00040436,-89.42909000,-91.57458000,-87.91072000,-71.69257000
0.00041199,-87.47069000,-90.30761000,-82.25604000,-70.92377000
0.00041962,-91.92344000,-89.06070000,-80.11513000,-70.48297000
0.00042725,-105.35940000,-91.90788000,-94.44142000,-66.46888000
0.00043488,-107.24500000,-98.65802000,-88.90702000,-69.08443000
0.00044250,-115.76280000,-103.82440000,-85.57011000,-73.00795000
0.00045013,-101.05660000,-101.01910000,-78.94421000,-72.49852000
0.00045776,-100.32280000,-108.88390000,-80.17278000,-79.34270000
0.00046539,-98.75612000,-102.33450000,-78.41531000,-75.04578000
0.00047302,-94.60603000,-100.70370000,-76.53967000,-70.75925000
0.00048065,-96.73314000,-95.98609000,-77.05281000,-74.98145000
0.00048828,-109.49980000,-88.59000000,-84.62405000,-66.46142000
0.00049591,-100.93140000,-87.30235000,-88.77158000,-63.94242000
0.00050354,-105.39840000,-87.81174000,-76.42387000,-63.55962000
0.00051117,-108.22670000,-91.02156000,-72.78349000,-65.48378000
0.00051880,-101.31700000,-96.37837000,-76.76326000,-70.13118000
0.00052643,-97.65122000,-94.63437000,-78.46548000,-68.39765000
0.00053406,-102.08470000,-88.96649000,-79.87712000,-62.21313000
0.00054169,-102.95460000,-85.04457000,-82.09911000,-59.77699000
0.00054932,-101.91970000,-84.85859000,-78.10265000,-60.53409000
0.00055695,-108.24980000,-92.57455000,-76.45867000,-66.41331000
0.00056458,-107.61330000,-97.21076000,-79.68196000,-84.11755000
0.00057220,-99.95548000,-88.66165000,-88.44209000,-67.36292000
0.00057983,-99.18586000,-89.69216000,-87.52000000,-68.49467000
0.00058746,-106.30510000,-90.10033000,-78.95251000,-67.23611000
0.00059509,-110.38970000,-92.74995000,-81.81049000,-69.83511000
0.00060272,-111.70040000,-100.05300000,-95.10532000,-76.55006000
0.00061035,-102.54850000,-97.39356000,-94.40434000,-72.01562000
0.00061798,-97.59018000,-95.83658000,-87.09671000,-68.85828000
0.00062561,-95.52680000,-91.38115000,-86.46513000,-66.46935000
0.00063324,-102.15930000,-92.72734000,-88.75821000,-69.91050000
0.00064087,-113.24660000,-104.36710000,-92.59666000,-75.86122000
0.00064850,-99.22685000,-104.45750000,-84.93156000,-73.68874000
0.00065613,-93.06876000,-102.03040000,-83.18592000,-70.86022000
0.00066376,-95.12016000,-91.72852000,-79.55770000,-64.42834000
0.00067139,-104.74620000,-91.18267000,-78.29495000,-64.21144000
0.00067902,-99.99771000,-98.56597000,-80.90305000,-71.64706000
0.00068665,-98.25176000,-94.66171000,-82.77813000,-72.23426000
0.00069427,-97.20502000,-89.72560000,-84.71332000,-67.03519000
0.00070190,-96.83832000,-91.16217000,-79.22419000,-66.47379000
0.00070953,-100.34070000,-100.82080000,-78.68788000,-72.04648000
0.00071716,-101.93580000,-102.00790000,-81.80597000,-80.11659000
0.00072479,-101.96110000,-96.17829000,-85.67727000,-73.54603000
0.00073242,-102.24060000,-93.98433000,-79.30579000,-72.02138000
0.00074005,-94.51829000,-89.66453000,-78.80670000,-67.69557000
0.00074768,-91.99044000,-90.05622000,-80.53697000,-67.62692000
0.00075531,-93.86847000,-94.06520000,-80.94223000,-73.70925000
0.00076294,-96.45303000,-93.49263000,-83.95668000,-73.69910000
0.00077057,-96.33582000,-92.19505000,-92.50075000,-69.61728000
0.00077820,-98.24830000,-93.33986000,-91.30222000,-68.37498000
0.00078583,-104.79000000,-98.23159000,-81.08364000,-75.50275000
0.00079346,-111.82750000,-93.32755000,-82.15160000,-74.77272000
0.00080109,-108.17340000,-92.35104000,-85.68286000,-68.27566000
0.00080872,-122.89020000,-92.69059000,-85.45338000,-67.13771000
0.00081635,-106.70760000,-93.52203000,-86.01128000,-72.27801000
0.00082397,-100.44820000,-92.90779000,-87.38519000,-77.74699000
0.00083160,-99.85844000,-96.89796000,-87.49402000,-71.26530000
0.00083923,-109.22390000,-89.02970000,-83.85881000,-65.52893000
0.00084686,-102.59180000,-90.51621000,-80.92813000,-67.63811000
0.00085449,-99.89641000,-89.94095000,-78.92770000,-66.09715000
0.00086212,-101.06330000,-87.96661000,-76.92998000,-64.14246000
0.00086975,-113.89510000,-91.71709000,-75.76604000,-67.76242000
0.00087738,-99.54489000,-101.96460000,-77.32080000,-74.78435000
0.00088501,-95.54122000,-100.36660000,-83.32025000,-77.38229000
0.00089264,-95.00226000,-99.68469000,-84.64530000,-74.95284000
0.00090027,-95.97931000,-94.87816000,-79.32249000,-69.53604000
0.00090790,-95.08240000,-93.66019000,-81.72548000,-71.79477000
0.00091553,-100.16380000,-97.75220000,-82.10886000,-79.69074000
0.00092316,-98.57861000,-98.99298000,-81.88247000,-87.58414000
0.00093079,-100.63570000,-99.06801000,-82.07506000,-71.60411000
0.00093842,-106.37360000,-97.34364000,-83.83004000,-77.61114000
0.00094604,-105.61490000,-96.60275000,-89.08585000,-71.88173000
0.00095367,-101.41460000,-105.70010000,-85.52518000,-75.44499000
0.00096130,-101.04330000,-99.95632000,-82.69221000,-80.64432000
0.00096893,-104.14310000,-95.68417000,-84.18125000,-77.23146000
0.00097656,-103.88100000,-105.99810000,-83.54839000,-85.59647000
0.00098419,-99.43832000,-99.28211000,-87.10445000,-71.81882000
0.00099182,-96.32184000,-97.64854000,-85.20332000,-72.47281000
0.00099945,-92.09154000,-99.28051000,-79.69983000,-74.92686000
0.00100708,-84.33765000,-95.54846000,-80.39364000,-70.52543000
0.00101471,-82.77329000,-91.00945000,-80.54636000,-65.63418000
0.00102234,-89.70581000,-88.54291000,-78.85726000,-63.06996000
0.00102997,-106.58160000,-89.55992000,-81.15013000,-63.88277000
0.00103760,-99.95792000,-95.62222000,-87.14814000,-69.42119000
0.00104523,-101.53410000,-97.01461000,-83.36796000,-88.73552000
0.00105286,-110.14310000,-98.23523000,-81.91734000,-84.72884000
0.00106049,-103.20230000,-103.66290000,-81.85098000,-73.58328000
0.00106812,-99.53540000,-101.96000000,-80.13306000,-73.87254000
0.00107574,-97.08068000,-92.81789000,-85.93240000,-68.26369000
0.00108337,-99.32713000,-91.63789000,-86.11149000,-66.29528000
0.00109100,-99.29410000,-95.50561000,-83.74249000,-69.02736000
0.00109863,-103.21560000,-97.72169000,-84.06230000,-73.42133000
0.00110626,-104.12050000,-95.27366000,-79.64983000,-70.07500000
0.00111389,-107.28230000,-95.17467000,-82.19305000,-68.26070000
0.00112152,-101.57680000,-98.19287000,-87.16483000,-71.48889000
