Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-45.17697000,-29.14692000,17.79636000,-6.03106300
0.00000763,-52.63787000,-36.68757000,10.28452000,-13.57562000
0.00001526,-68.06551000,-52.74979000,-5.58646200,-29.64067000
0.00002289,-90.76003000,-86.52409000,-52.67678000,-67.38564000
0.00003052,-92.65092000,-91.89767000,-63.07264000,-60.75565000
0.00003815,-94.53353000,-86.58645000,-54.89571000,-60.82169000
0.00004578,-96.33275000,-79.25520000,-55.38599000,-55.04455000
0.00005341,-93.44201000,-78.82477000,-60.49469000,-54.97196000
0.00006104,-87.99221000,-80.31885000,-67.65691000,-55.94261000
0.00006866,-89.46680000,-78.62440000,-68.36635000,-53.51306000
0.00007629,-93.02670000,-81.40129000,-71.76752000,-54.52576000
0.00008392,-98.43011000,-87.62344000,-65.63031000,-64.77675000
0.00009155,-101.25080000,-84.96253000,-66.09420000,-78.13968000
0.00009918,-97.53908000,-84.30750000,-65.80894000,-66.66718000
0.00010681,-93.28142000,-86.56721000,-54.85787000,-65.79182000
0.00011444,-91.23786000,-97.80457000,-53.58995000,-76.05497000
0.00012207,-96.86802000,-89.30482000,-57.31272000,-65.96668000
0.00012970,-98.58719000,-89.47938000,-61.79323000,-69.20035000
0.00013733,-91.62685000,-86.97566000,-61.81540000,-78.85641000
0.00014496,-89.77461000,-85.77354000,-61.10392000,-70.00407000
0.00015259,-94.98032000,-91.99960000,-60.33910000,-69.30183000
0.00016022,-89.15656000,-83.71227000,-61.42841000,-67.99102000
0.00016785,-83.85789000,-79.18884000,-67.80425000,-67.27500000
0.00017548,-79.32442000,-77.22052000,-90.95379000,-68.31001000
0.00018311,-79.44972000,-75.47023000,-67.46658000,-66.22227000
0.00019073,-80.93227000,-76.06262000,-61.04025000,-67.45067000
0.00019836,-82.58015000,-78.41528000,-64.49002000,-63.55602000
0.00020599,-82.96056000,-79.06762000,-67.15247000,-66.83853000
0.00021362,-77.82027000,-74.99443000,-66.40277000,-91.45669000
0.00022125,-79.41122000,-75.05985000,-63.47534000,-70.62257000
0.00022888,-82.26035000,-74.63857000,-70.84568000,-64.32678000
0.00023651,-80.66745000,-71.71178000,-71.15354000,-61.82385000
0.00024414,-76.16725000,-71.58512000,-63.21894000,-59.56226000
0.00025177,-72.64967000,-77.90450000,-62.30604000,-61.36143000
0.00025940,-76.96600000,-83.61266000,-66.20950000,-69.19577000
0.00026703,-86.23964000,-87.94448000,-71.49844000,-71.37923000
0.00027466,-87.03352000,-88.41783000,-81.90517000,-71.56539000
0.00028229,-85.51797000,-83.40660000,-83.30090000,-65.89561000
0.00028992,-86.19814000,-81.61246000,-72.52902000,-60.48883000
0.00029755,-93.23544000,-83.78488000,-71.62927000,-59.73714000
0.00030518,-97.01784000,-91.39027000,-72.76887000,-61.63584000
0.00031281,-87.89948000,-100.38880000,-71.60611000,-67.49744000
0.00032043,-87.86127000,-92.91261000,-68.34018000,-72.62092000
0.00032806,-93.72014000,-90.13760000,-69.35889000,-67.24326000
0.00033569,-96.23335000,-89.40720000,-83.36791000,-64.32059000
0.00034332,-93.32671000,-92.09431000,-69.65128000,-62.15082000
0.00035095,-92.46844000,-98.69891000,-71.89126000,-68.58576000
0.00035858,-96.79829000,-90.16906000,-72.53684000,-74.13342000
0.00036621,-99.00845000,-89.73896000,-79.85480000,-68.97825000
0.00037384,-101.37900000,-93.97885000,-75.69436000,-70.96545000
0.00038147,-110.33370000,-93.39676000,-70.35751000,-66.71065000
0.00038910,-96.46125000,-87.86660000,-64.44463000,-65.30344000
0.00039673,-96.05202000,-86.61424000,-65.10363000,-64.23663000
0.00040436,-92.40311000,-91.31348000,-65.72858000,-68.06226000
0.00041199,-92.53743000,-104.89740000,-68.63393000,-84.22412000
0.00041962,-115.92540000,-96.99897000,-81.34495000,-67.13251000
0.00042725,-102.50700000,-90.33111000,-72.88716000,-61.94990000
0.00043488,-110.49240000,-97.30384000,-67.50446000,-64.86354000
0.00044250,-97.64706000,-88.43438000,-67.35891000,-66.57556000
0.00045013,-91.38976000,-88.02390000,-70.69682000,-73.74033000
0.00045776,-89.60143000,-86.02139000,-74.50356000,-63.86086000
0.00046539,-91.22021000,-86.69128000,-79.14542000,-62.47892000
0.00047302,-96.01197000,-89.75776000,-84.71108000,-67.07899000
0.00048065,-96.57327000,-87.91338000,-77.83530000,-68.87885000
0.00048828,-92.75176000,-91.61992000,-77.16772000,-75.50197000
0.00049591,-93.45977000,-99.17190000,-81.30241000,-67.64523000
0.00050354,-99.27774000,-102.46790000,-80.43367000,-71.24624000
0.00051117,-95.48647000,-94.96513000,-71.60065000,-75.22211000
0.00051880,-96.85796000,-89.16962000,-73.90276000,-66.99190000
0.00052643,-98.85209000,-92.11058000,-77.98985000,-68.26822000
0.00053406,-105.11160000,-92.70374000,-76.32117000,-68.40619000
0.00054169,-104.37250000,-91.00500000,-74.50867000,-68.35037000
0.00054932,-103.62670000,-94.18092000,-71.01506000,-74.28356000
0.00055695,-102.70990000,-96.34436000,-70.02982000,-75.06610000
0.00056458,-95.43678000,-95.43441000,-72.03770000,-71.13672000
0.00057220,-91.88911000,-102.86150000,-74.27213000,-76.74979000
0.00057983,-91.91354000,-98.20996000,-73.72635000,-70.63557000
0.00058746,-92.51974000,-91.14992000,-71.50155000,-65.94754000
0.00059509,-90.05355000,-90.50549000,-77.60914000,-70.68892000
0.00060272,-88.35309000,-91.74608000,-77.01598000,-70.67310000
0.00061035,-84.69763000,-94.94293000,-71.32392000,-67.24107000
0.00061798,-82.52554000,-108.10150000,-73.91044000,-70.47030000
0.00062561,-83.11293000,-94.95460000,-87.86457000,-71.12584000
0.00063324,-84.10079000,-89.12431000,-78.42740000,-65.65269000
0.00064087,-88.32076000,-86.73091000,-76.78833000,-62.74227000
0.00064850,-103.27280000,-91.33907000,-74.36674000,-67.30781000
0.00065613,-104.23520000,-98.71400000,-79.44980000,-74.56244000
0.00066376,-101.66080000,-88.96768000,-82.69481000,-66.35410000
0.00067139,-98.13717000,-88.43555000,-72.29160000,-69.52414000
0.00067902,-99.24030000,-92.30885000,-72.96442000,-67.71003000
0.00068665,-101.97890000,-91.74936000,-85.55160000,-64.77283000
0.00069427,-98.82755000,-94.16531000,-78.57080000,-68.10025000
0.00070190,-95.67764000,-96.52861000,-82.40280000,-72.28736000
0.00070953,-91.84729000,-91.09450000,-83.22544000,-67.88567000
0.00071716,-92.68962000,-88.56885000,-81.63123000,-65.27602000
0.00072479,-102.33970000,-93.89032000,-76.91285000,-69.78679000
0.00073242,-98.25623000,-92.75293000,-73.14952000,-70.12595000
0.00074005,-107.75360000,-91.89709000,-74.40892000,-69.76988000
0.00074768,-108.50470000,-94.11297000,-76.15028000,-69.54391000
0.00075531,-98.42393000,-95.13840000,-72.19628000,-67.00781000
0.00076294,-97.45033000,-93.36423000,-71.52038000,-64.18359000
0.00077057,-102.76310000,-90.13213000,-75.87364000,-62.91996000
0.00077820,-97.32899000,-88.52415000,-82.29199000,-65.24509000
0.00078583,-92.11590000,-89.37271000,-89.71967000,-75.14330000
0.00079346,-92.38209000,-96.33088000,-77.79713000,-70.39161000
0.00080109,-97.55629000,-103.08020000,-83.48800000,-68.97211000
0.00080872,-101.27650000,-94.00266000,-79.22314000,-73.47974000
0.00081635,-93.82103000,-91.15038000,-79.26338000,-88.86127000
0.00082397,-92.70683000,-89.13144000,-88.94032000,-72.18114000
0.00083160,-95.40244000,-92.55606000,-88.81293000,-71.03810000
0.00083923,-94.02739000,-109.00980000,-76.92781000,-81.66436000
0.00084686,-92.86563000,-101.78840000,-74.62193000,-71.33946000
0.00085449,-97.57162000,-103.61750000,-80.63075000,-73.23518000
0.00086212,-95.47736000,-94.24188000,-75.49421000,-71.46761000
0.00086975,-100.55050000,-94.20648000,-73.57852000,-67.72811000
0.00087738,-102.33140000,-97.06732000,-73.52061000,-75.89526000
0.00088501,-98.56312000,-88.83003000,-82.16782000,-64.63370000
0.00089264,-94.77444000,-91.70075000,-83.70765000,-66.36617000
0.00090027,-95.94277000,-100.48100000,-79.83267000,-91.47237000
0.00090790,-99.16413000,-101.20970000,-76.39467000,-69.18378000
0.00091553,-107.60350000,-95.94464000,-74.10709000,-69.91479000
0.00092316,-99.08772000,-93.23515000,-74.44483000,-78.69594000
0.00093079,-100.36740000,-92.97015000,-77.58574000,-73.90141000
0.00093842,-100.11620000,-93.43453000,-81.65276000,-73.90416000
0.00094604,-102.06640000,-96.11252000,-72.34290000,-74.94135000
0.00095367,-108.16220000,-98.96790000,-69.95196000,-72.65154000
0.00096130,-110.07330000,-95.92256000,-69.96848000,-70.82828000
0.00096893,-106.89950000,-114.08870000,-71.17772000,-77.82826000
0.00097656,-104.26890000,-107.74100000,-76.39430000,-74.83723000
0.00098419,-105.12280000,-94.95461000,-90.52517000,-68.08736000
0.00099182,-101.45360000,-89.88370000,-85.67272000,-66.57670000
0.00099945,-95.24200000,-93.20505000,-79.80953000,-78.23985000
0.00100708,-94.66252000,-96.29018000,-78.16605000,-69.29496000
0.00101471,-95.70241000,-94.81430000,-74.12157000,-66.79549000
0.00102234,-99.24220000,-99.25163000,-74.22775000,-67.02628000
0.00102997,-112.09630000,-97.83342000,-83.00813000,-69.39211000
0.00103760,-109.99500000,-96.60048000,-76.61250000,-71.11518000
0.00104523,-104.87430000,-99.50191000,-72.95640000,-74.29757000
0.00105286,-110.98440000,-94.61597000,-72.32446000,-72.44334000
0.00106049,-104.77340000,-89.46969000,-76.57885000,-67.47469000
0.00106812,-99.47766000,-89.18789000,-80.94100000,-68.25645000
0.00107574,-99.27766000,-92.21444000,-81.50348000,-70.69562000
0.00108337,-99.80737000,-96.51279000,-78.74477000,-71.83659000
0.00109100,-104.93950000,-97.52718000,-79.37985000,-80.66479000
0.00109863,-99.48170000,-97.26540000,-76.24113000,-71.79221000
0.00110626,-98.40927000,-92.70451000,-72.42977000,-70.08992000
0.00111389,-100.71910000,-91.44470000,-76.04002000,-73.29192000
0.00112152,-97.32242000,-93.62827000,-79.79601000,-69.32603000
