Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,2000
Base Time Seconds,1765886923
Base Time Fractional,.381470820
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-8.918444243049e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002696454525,Volt DC,10,T,2W,F,F,12/16/2025,12:08:43,.381470820
2,-8.915178680614e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002684980631,Volt DC,10,T,2W,F,F,12/16/2025,12:08:43,.464096440
3,-8.917293164817e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002627015114,Volt DC,10,T,2W,F,F,12/16/2025,12:08:43,.546706500
4,-8.915533025929e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002707704902,Volt DC,10,T,2W,F,F,12/16/2025,12:08:43,.629312560
5,-8.913794049675e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002661660314,Volt DC,10,T,2W,F,F,12/16/2025,12:08:43,.711915380
6,-8.909761364584e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002684831619,Volt DC,10,T,2W,F,F,12/16/2025,12:08:43,.794514420
7,-8.909170800491e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002661883831,Volt DC,10,T,2W,F,F,12/16/2025,12:08:43,.877136020
8,-8.914364035443e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002673357725,Volt DC,10,T,2W,F,F,12/16/2025,12:08:43,.959734420
9,-8.905234537643e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002650335431,Volt DC,10,T,2W,F,F,12/16/2025,12:08:44,.042336440
10,-8.912071253613e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002650558949,Volt DC,10,T,2W,F,F,12/16/2025,12:08:44,.124937960
11,-8.917921880969e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002753898501,Volt DC,10,T,2W,F,F,12/16/2025,12:08:44,.207544300
12,-8.918823767642e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002673506737,Volt DC,10,T,2W,F,F,12/16/2025,12:08:44,.290158700
13,-8.915458731084e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002684682608,Volt DC,10,T,2W,F,F,12/16/2025,12:08:44,.372761440
14,-8.912450612663e-07,Watt DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1002615988255,Volt DC,10,T,2W,F,F,12/16/2025,12:08:44,.455366400
