Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,5600
Base Time Seconds,1765889698
Base Time Fractional,.422170540
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.01165740962288,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0003874301910,Volt DC,10,T,2W,F,F,12/16/2025,12:54:58,.422170540
2,-0.01163537066938,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0003993511200,Volt DC,10,T,2W,F,F,12/16/2025,12:54:58,.504767160
3,-0.01163648328378,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0004010200500,Volt DC,10,T,2W,F,F,12/16/2025,12:54:58,.587362280
4,-0.01166176230149,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0003950595856,Volt DC,10,T,2W,F,F,12/16/2025,12:54:58,.669940520
5,-0.01165333348943,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0003972053528,Volt DC,10,T,2W,F,F,12/16/2025,12:54:58,.752532260
6,-0.01165246981279,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0004019737244,Volt DC,10,T,2W,F,F,12/16/2025,12:54:58,.835130500
7,-0.01165258704645,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0003926753998,Volt DC,10,T,2W,F,F,12/16/2025,12:54:58,.917713780
8,-0.01165236229966,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0003998279572,Volt DC,10,T,2W,F,F,12/16/2025,12:54:59,.000300880
9,-0.01164095331798,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0003964900970,Volt DC,10,T,2W,F,F,12/16/2025,12:54:59,.082876220
10,-0.01163823526993,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0004053115845,Volt DC,10,T,2W,F,F,12/16/2025,12:54:59,.165466960
11,-0.0116551573161,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0003991127014,Volt DC,10,T,2W,F,F,12/16/2025,12:54:59,.248057820
12,-0.01163742920073,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0004017353058,Volt DC,10,T,2W,F,F,12/16/2025,12:54:59,.330635460
13,-0.01165605620568,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0003995895386,Volt DC,10,T,2W,F,F,12/16/2025,12:54:59,.413237200
14,-0.01164980029926,Watt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0004093647003,Volt DC,10,T,2W,F,F,12/16/2025,12:54:59,.495823720
