Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,6000
Base Time Seconds,1764247556
Base Time Fractional,.251566800
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.350640386343,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000035583973,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.251566800
2,-0.3506316542625,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000035285950,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.334181920
3,-0.3506251573563,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000011444092,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.416785860
4,-0.3506159484386,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000046610832,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.499388260
5,-0.3506102859974,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000012934208,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.581989100
6,-0.3506061136723,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999977767467,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.664591560
7,-0.3505991995335,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000000715256,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.747199560
8,-0.3505969047546,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000046908855,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.829800500
9,-0.3505865633488,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000036180019,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.912399680
10,-0.3505810201168,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999952733517,Volt DC,10,T,4W,F,F,11/27/2025,12:45:56,.994997460
11,-0.3505706787109,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000045418739,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.077592600
12,-0.3505688011646,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000009953976,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.160195280
13,-0.350561439991,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000091910362,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.242791700
14,-0.3505568802357,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000035285950,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.325385720
15,-0.3505522012711,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000000119209,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.407978760
16,-0.3505464494228,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000080883503,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.490570660
17,-0.3505411148071,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000045418739,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.573163160
18,-0.3505320549011,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000058531761,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.655752800
19,-0.3505273163319,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000069558620,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.738351560
20,-0.3505226373672,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000069260597,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.820941480
21,-0.3505167365074,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000022172928,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.903530840
22,-0.3505139350891,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000068962574,Volt DC,10,T,4W,F,F,11/27/2025,12:45:57,.986118040
23,-0.3505080342293,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000033199787,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.068706480
24,-0.3505017459393,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999999523163,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.151300600
25,-0.3504983186722,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999930977821,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.233889600
26,-0.3504964411259,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000010251999,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.316475740
27,-0.3504889905453,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000034093857,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.399059480
28,-0.3504861295223,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999976873398,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.481664320
29,-0.350478798151,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000047504902,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.564275280
30,-0.3504773974419,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000045418739,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.646878640
31,-0.3504734039307,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000034689903,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.729482800
32,-0.35047057271,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000035285950,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.812084540
33,-0.3504670858383,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000046908855,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.894687540
34,-0.3504635989666,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999954819679,Volt DC,10,T,4W,F,F,11/27/2025,12:45:58,.977296360
35,-0.3504618108273,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000023066998,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.059899300
36,-0.3504589498043,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999977469444,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.142500660
37,-0.3504520356655,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000046908855,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.225099840
38,-0.3504525721073,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999988794327,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.307700580
39,-0.3504485785961,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000001013279,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.390309660
40,-0.3504451811314,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999932467937,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.472909740
41,-0.3504429757595,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000013828278,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.555508620
42,-0.3504428565502,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999989986420,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.638107440
43,-0.3504392206669,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000034689903,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.720706000
44,-0.3504375815392,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000001013279,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.803312240
45,-0.350437104702,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000047802925,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.885911380
46,-0.3504312336445,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000012636185,Volt DC,10,T,4W,F,F,11/27/2025,12:45:59,.968507700
47,-0.3504335284233,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000046908855,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.051103400
48,-0.3504295349121,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000012636185,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.133701320
49,-0.3504271805286,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999932169914,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.216305700
50,-0.3504229485989,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999999821186,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.298902180
51,-0.350420743227,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000012338161,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.381496440
52,-0.3504195809364,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000023663044,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.464092760
53,-0.3504219353199,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999978065491,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.546685500
54,-0.3504196405411,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000023961067,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.629289020
55,-0.3504190146923,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000081181526,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.711885660
56,-0.3504202067852,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000001013279,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.794482360
57,-0.3504213094711,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999966144562,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.877077960
58,-0.3504202365875,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000023961067,Volt DC,10,T,4W,F,F,11/27/2025,12:46:00,.959675380
59,-0.3504178524017,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3000081181526,Volt DC,10,T,4W,F,F,11/27/2025,12:46:01,.042278780
60,-0.3504195809364,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2999989092350,Volt DC,10,T,4W,F,F,11/27/2025,12:46:01,.124876180
