Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,6400
Base Time Seconds,1763470387
Base Time Fractional,.830275220
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.3621098101139,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000117897987,Volt DC,1,T,4W,F,F,11/18/2025,12:53:07,.830275220
2,-0.3621126413345,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000116556883,Volt DC,1,T,4W,F,F,11/18/2025,12:53:07,.912887360
3,-0.3621107935905,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000114619732,Volt DC,1,T,4W,F,F,11/18/2025,12:53:07,.995492540
4,-0.3621120452881,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000125497580,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.078096040
5,-0.3621144294739,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000121027231,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.160700120
6,-0.3621127903461,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000120431185,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.243311040
7,-0.362113147974,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000120282173,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.325915420
8,-0.3621167838573,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000121325254,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.408520820
9,-0.3621178865433,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000125497580,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.491124440
10,-0.3621218502522,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000115811825,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.573729000
11,-0.3621241152287,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000118196011,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.656342520
12,-0.362127661705,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000120729208,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.738949460
13,-0.3621306717396,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000119984150,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.821565760
14,-0.3621313273907,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000120431185,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.904173360
15,-0.3621340692043,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000125497580,Volt DC,1,T,4W,F,F,11/18/2025,12:53:08,.986780620
16,-0.3621387481689,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000126689672,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.069394940
17,-0.3621410727501,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000130265951,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.152002320
18,-0.3621451258659,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000130265951,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.234610340
19,-0.3621480762959,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000132799149,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.317218560
20,-0.3621509969234,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000134289265,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.399827800
21,-0.362156689167,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000125497580,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.482445880
22,-0.3621630370617,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000124305487,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.565056920
23,-0.3621675670147,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000128179789,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.647669580
24,-0.3621706068516,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000131309032,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.730280780
25,-0.3621770143509,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000125646591,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.812894700
26,-0.3621844351292,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000128477812,Volt DC,1,T,4W,F,F,11/18/2025,12:53:09,.895508020
