time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
2700,62.535156,33.000000,29.535156,63.000000,0.679688,0.805875,0.989343,0.000001775,
2800,62.535156,33.250000,29.285156,63.000000,0.679688,0.805875,0.996224,0.000001788,
2900,62.535156,33.250000,29.285156,63.000000,0.464844,0.855797,1.002441,0.000001815,
3000,62.642578,33.250000,29.392578,63.000000,0.464844,0.855797,1.008087,0.000001824,
3100,62.642578,33.250000,29.392578,63.000000,0.464844,0.855797,1.013137,0.000001843,
3200,62.642578,33.250000,29.392578,63.000000,0.464844,0.855797,1.017698,0.000001847,
3300,62.696289,33.250000,29.446289,63.000000,0.357422,0.879508,1.021810,0.000001863,
3400,62.696289,32.750000,29.946289,63.000000,0.357422,0.879508,1.025579,0.000001874,
3500,62.696289,32.750000,29.946289,63.000000,0.357422,0.879508,1.028942,0.000001875,
3600,62.848145,32.750000,30.098145,63.000000,0.357422,0.879508,1.031989,0.000001882,
3700,62.848145,32.750000,30.098145,63.000000,0.151855,0.930203,1.034766,0.000001889,
3800,62.848145,32.750000,30.098145,63.000000,0.151855,0.930203,1.037278,0.000001861,
3900,62.799072,32.750000,30.049072,63.000000,0.151855,0.930203,1.039547,0.000001860,
4000,62.799072,33.000000,29.799072,63.000000,0.151855,0.930203,1.041642,0.000001856,
4100,62.799072,33.000000,29.799072,63.000000,0.200928,0.915730,1.043530,0.000001872,
4200,62.774536,33.000000,29.774536,63.000000,0.200928,0.915730,1.045232,0.000001874,
4300,62.774536,33.000000,29.774536,63.000000,0.200928,0.915730,1.046739,0.000001870,
4400,62.774536,33.000000,29.774536,63.000000,0.200928,0.915730,1.048091,0.000001877,
4500,62.762268,33.000000,29.762268,63.000000,0.225464,0.907243,1.049364,0.000001889,
4600,62.762268,33.250000,29.512268,63.000000,0.225464,0.907243,1.050441,0.000001892,
4700,62.762268,33.250000,29.512268,63.000000,0.225464,0.907243,1.051410,0.000001876,
4800,62.756134,33.250000,29.506134,63.000000,0.225464,0.907243,1.052310,0.000001884,
4900,62.756134,33.250000,29.506134,63.000000,0.243866,0.900130,1.053092,0.000001888,
5000,62.756134,33.250000,29.506134,63.000000,0.243866,0.900130,1.053857,0.000001891,
5100,62.753067,33.250000,29.503067,63.000000,0.243866,0.900130,1.054568,0.000001902,
5200,62.753067,33.250000,29.503067,63.000000,0.243866,0.900130,1.055135,0.000001906,
5300,62.753067,33.250000,29.503067,63.000000,0.246933,0.896882,1.055660,0.000001925,
5400,62.751534,33.250000,29.501534,63.000000,0.246933,0.896882,1.056099,0.000001938,
5500,62.751534,33.000000,29.751534,63.000000,0.246933,0.896882,1.056548,0.000001954,
5600,62.751534,33.000000,29.751534,63.000000,0.246933,0.896882,1.056935,0.000001964,
5700,62.750767,33.000000,29.750767,63.000000,0.248466,0.894007,1.057330,0.000001952,
5800,62.750767,33.000000,29.750767,63.000000,0.248466,0.894007,1.057667,0.000001950,
5900,62.750767,33.000000,29.750767,63.000000,0.248466,0.894007,1.057894,0.000001952,
6000,62.625381,33.000000,29.625381,63.000000,0.248466,0.894007,1.058091,0.000001946,
6100,62.625381,33.250000,29.375381,63.000000,0.374619,0.858219,1.058317,0.000001964,
6200,62.625381,33.250000,29.375381,63.000000,0.374619,0.858219,1.058478,0.000001951,
6300,62.437691,33.250000,29.187691,63.000000,0.374619,0.858219,1.058656,0.000001949,
6400,62.437691,33.000000,29.437691,63.000000,0.374619,0.858219,1.058751,0.000001967,
6500,62.437691,33.000000,29.437691,63.000000,0.562309,0.804922,1.058901,0.000001966,
6600,62.218845,33.000000,29.218845,63.000000,0.562309,0.804922,1.058987,0.000001951,
6700,62.218845,33.000000,29.218845,63.000000,0.562309,0.804922,1.059031,0.000001952,
6800,62.218845,33.000000,29.218845,63.000000,0.562309,0.804922,1.059109,0.000001954,
6900,62.359421,33.000000,29.359421,63.000000,0.781155,0.741524,1.059205,0.000001951,
7000,62.359421,33.000000,29.359421,63.000000,0.781155,0.741524,1.059283,0.000001954,
7100,62.359421,33.000000,29.359421,63.000000,0.781155,0.741524,1.059332,0.000001944,
7200,62.554710,33.000000,29.554710,63.000000,0.781155,0.741524,1.059378,0.000001941,
7300,62.554710,32.750000,29.804710,63.000000,0.445290,0.822381,1.059359,0.000001930,
7400,62.554710,32.750000,29.804710,63.000000,0.445290,0.822381,1.059406,0.000001917,
7500,62.527355,32.750000,29.777355,63.000000,0.445290,0.822381,1.059322,0.000001932,
7600,62.527355,33.250000,29.277355,63.000000,0.445290,0.822381,1.059303,0.000001935,
7700,62.527355,33.250000,29.277355,63.000000,0.472645,0.810706,1.059327,0.000001941,
7800,62.638680,33.250000,29.388680,63.000000,0.472645,0.810706,1.059354,0.000001943,
7900,62.638680,33.250000,29.388680,63.000000,0.472645,0.810706,1.059311,0.000001944,
8000,62.638680,33.250000,29.388680,63.000000,0.472645,0.810706,1.059287,0.000001942,
8100,62.444340,33.250000,29.194340,63.000000,0.361320,0.835369,1.059212,0.000001950,
8200,62.444340,33.250000,29.194340,63.000000,0.361320,0.835369,1.059184,0.000001939,
8300,62.444340,33.250000,29.194340,63.000000,0.361320,0.835369,1.059124,0.000001926,
8400,62.222168,33.250000,28.972168,63.000000,0.361320,0.835369,1.059044,0.000001921,
8500,62.222168,33.000000,29.222168,63.000000,0.777832,0.721797,1.058927,0.000001921,
8600,62.222168,33.000000,29.222168,63.000000,0.777832,0.721797,1.058853,0.000001905,
8700,62.486084,33.000000,29.486084,63.000000,0.777832,0.721797,1.058881,0.000001924,
8800,62.486084,33.250000,29.236084,63.000000,0.777832,0.721797,1.058781,0.000001933,
8900,62.486084,33.250000,29.236084,63.000000,0.513916,0.783692,1.058722,0.000001957,
9000,62.618042,33.250000,29.368042,63.000000,0.513916,0.783692,1.058630,0.000001966,
9100,62.618042,32.750000,29.868042,63.000000,0.513916,0.783692,1.058616,0.000001962,
9200,62.618042,32.750000,29.868042,63.000000,0.513916,0.783692,1.058551,0.000001978,
9300,62.309021,32.750000,29.559021,63.000000,0.381958,0.813390,1.058450,0.000001985,
9400,62.309021,32.750000,29.559021,63.000000,0.381958,0.813390,1.058359,0.000001964,
9500,62.309021,32.750000,29.559021,63.000000,0.381958,0.813390,1.058291,0.000001937,
9600,62.279510,32.750000,29.529510,63.000000,0.381958,0.813390,1.058192,0.000001935,
9700,62.279510,33.250000,29.029510,63.000000,0.720490,0.804412,1.058081,0.000001936,
