time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
4356900,119.453880,43.250000,76.203880,120.000000,0.546120,0.063104,2.592207,0.001914444,
4357000,119.453880,43.250000,76.203880,120.000000,0.546120,0.063104,2.592193,0.001914480,
4357100,119.226944,43.250000,75.976944,120.000000,0.546120,0.063104,2.592212,0.001914458,
4357200,119.226944,43.250000,75.976944,120.000000,0.546120,0.063104,2.592233,0.001914624,
4357300,119.226944,43.250000,75.976944,120.000000,0.773056,0.000000,2.592226,0.001914497,
4357400,119.363472,43.250000,76.113472,120.000000,0.773056,0.000000,2.592220,0.001914317,
4357500,119.363472,43.000000,76.363472,120.000000,0.773056,0.000000,2.592202,0.001914206,
4357600,119.363472,43.000000,76.363472,120.000000,0.773056,0.000000,2.592225,0.001914156,
4357700,119.306732,43.000000,76.306732,120.000000,0.636528,0.000000,2.592245,0.001914057,
4357800,119.306732,43.250000,76.056732,120.000000,0.636528,0.000000,2.592278,0.001914221,
4357900,119.306732,43.250000,76.056732,120.000000,0.636528,0.000000,2.592288,0.001914348,
4358000,119.403366,43.250000,76.153366,120.000000,0.636528,0.000000,2.592287,0.001914574,
4358100,119.403366,43.500000,75.903366,120.000000,0.596634,0.022693,2.592313,0.001913688,
4358200,119.403366,43.500000,75.903366,120.000000,0.596634,0.022693,2.592325,0.001913593,
4358300,119.451683,43.500000,75.951683,120.000000,0.596634,0.022693,2.592279,0.001913121,
4358400,119.451683,43.500000,75.951683,120.000000,0.596634,0.022693,2.592264,0.001913091,
4358500,119.451683,43.500000,75.951683,120.000000,0.548317,0.061346,2.592267,0.001913521,
4358600,119.475845,43.500000,75.975845,120.000000,0.548317,0.061346,2.592288,0.001913732,
4358700,119.475845,43.250000,76.225845,120.000000,0.548317,0.061346,2.592248,0.001913744,
4358800,119.475845,43.250000,76.225845,0.000000,0.548317,0.061346,2.592237,0.001913767,
4358900,119.612923,43.250000,76.362923,0.000000,-119.475845,1.000000,2.592269,0.001914421,
4359000,119.612923,43.000000,76.612923,0.000000,-119.475845,1.000000,2.592300,0.001914566,
4359100,119.612923,43.000000,76.612923,0.000000,-119.475845,1.000000,2.592355,0.001914626,
4359200,119.306458,43.000000,76.306458,0.000000,-119.475845,1.000000,2.592423,0.001915003,
4359300,119.306458,42.750000,76.556458,0.000000,-119.306458,1.000000,2.592444,0.001915185,
4359400,119.306458,42.750000,76.556458,0.000000,-119.306458,1.000000,2.592478,0.001915390,
4359500,119.528229,42.750000,76.778229,0.000000,-119.306458,1.000000,2.592483,0.001915604,
4359600,119.528229,43.500000,76.028229,0.000000,-119.306458,1.000000,2.592493,0.001915809,
4359700,119.528229,43.500000,76.028229,0.000000,-119.528229,1.000000,2.592541,0.001915997,
4359800,119.514114,43.500000,76.014114,0.000000,-119.528229,1.000000,2.592612,0.001916177,
4359900,119.514114,42.750000,76.764114,0.000000,-119.528229,1.000000,2.592623,0.001915859,
4360000,119.514114,42.750000,76.764114,0.000000,-119.528229,1.000000,2.592692,0.001915702,
4360100,119.382057,42.750000,76.632057,0.000000,-119.514114,1.000000,2.592691,0.001915474,
4360200,119.382057,43.500000,75.882057,0.000000,-119.514114,1.000000,2.592701,0.001915577,
4360300,119.382057,43.500000,75.882057,0.000000,-119.514114,1.000000,2.592678,0.001915703,
4360400,119.441025,43.500000,75.941025,0.000000,-119.514114,1.000000,2.592622,0.001915551,
4360500,119.441025,43.500000,75.941025,0.000000,-119.441025,1.000000,2.592606,0.001915642,
4360600,119.441025,43.500000,75.941025,0.000000,-119.441025,1.000000,2.592611,0.001915628,
4360700,119.470512,43.500000,75.970512,0.000000,-119.441025,1.000000,2.592680,0.001915680,
4360800,119.470512,43.000000,76.470512,0.000000,-119.441025,1.000000,2.592634,0.001915626,
4360900,119.470512,43.000000,76.470512,0.000000,-119.470512,1.000000,2.592654,0.001915666,
4361000,119.610260,43.000000,76.610260,0.000000,-119.470512,1.000000,2.592651,0.001915630,
4361100,119.610260,43.250000,76.360260,0.000000,-119.470512,1.000000,2.592613,0.001915378,
4361200,119.610260,43.250000,76.360260,0.000000,-119.470512,1.000000,2.592615,0.001915106,
4361300,119.680130,43.250000,76.430130,0.000000,-119.610260,1.000000,2.592646,0.001915093,
4361400,119.680130,43.250000,76.430130,0.000000,-119.610260,1.000000,2.592612,0.001914948,
4361500,119.680130,43.250000,76.430130,0.000000,-119.610260,1.000000,2.592567,0.001914850,
4361600,119.590065,43.250000,76.340065,0.000000,-119.610260,1.000000,2.592554,0.001914979,
4361700,119.590065,43.500000,76.090065,0.000000,-119.590065,1.000000,2.592502,0.001915031,
4361800,119.590065,43.500000,76.090065,0.000000,-119.590065,1.000000,2.592509,0.001914972,
4361900,119.670029,43.500000,76.170029,0.000000,-119.590065,1.000000,2.592479,0.001914843,
4362000,119.670029,43.500000,76.170029,0.000000,-119.590065,1.000000,2.592459,0.001914712,
4362100,119.670029,43.500000,76.170029,0.000000,-119.670029,1.000000,2.592458,0.001914722,
4362200,119.585014,43.500000,76.085014,0.000000,-119.670029,1.000000,2.592419,0.001914838,
4362300,119.585014,43.500000,76.085014,0.000000,-119.670029,1.000000,2.592356,0.001914759,
4362400,119.585014,43.500000,76.085014,0.000000,-119.670029,1.000000,2.592292,0.001914650,
4362500,119.292511,43.500000,75.792511,0.000000,-119.585014,1.000000,2.592225,0.001914552,
4362600,119.292511,43.250000,76.042511,0.000000,-119.585014,1.000000,2.592209,0.001914585,
4362700,119.292511,43.250000,76.042511,0.000000,-119.585014,1.000000,2.592098,0.001914380,
4362800,119.396255,43.250000,76.146255,0.000000,-119.585014,1.000000,2.592037,0.001914470,
4362900,119.396255,43.250000,76.146255,0.000000,-119.396255,1.000000,2.591974,0.001914492,
4363000,119.396255,43.250000,76.146255,0.000000,-119.396255,1.000000,2.591836,0.001914485,
4363100,119.323128,43.250000,76.073128,0.000000,-119.396255,1.000000,2.591720,0.001914172,
4363200,119.323128,43.250000,76.073128,0.000000,-119.396255,1.000000,2.591655,0.001914027,
4363300,119.323128,43.250000,76.073128,0.000000,-119.323128,1.000000,2.591618,0.001913846,
4363400,119.411560,43.250000,76.161560,0.000000,-119.323128,1.000000,2.591532,0.001913817,
4363500,119.411560,43.250000,76.161560,0.000000,-119.323128,1.000000,2.591468,0.001913732,
4363600,119.411560,43.250000,76.161560,0.000000,-119.323128,1.000000,2.591389,0.001913745,
4363700,119.455780,43.250000,76.205780,0.000000,-119.411560,1.000000,2.591242,0.001913477,
4363800,119.455780,43.750000,75.705780,0.000000,-119.411560,1.000000,2.591172,0.001913508,
