time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
3740700,129.437531,28.750000,100.687531,130.000000,0.624954,0.000037,2.553934,0.000001972,
3740800,129.437531,28.750000,100.687531,130.000000,0.624954,0.000037,2.553503,0.000001962,
3740900,129.468765,28.750000,100.718765,130.000000,0.562469,0.050024,2.553095,0.000001957,
3741000,129.468765,28.500000,100.968765,130.000000,0.562469,0.050024,2.552634,0.000001957,
3741100,129.468765,28.500000,100.968765,130.000000,0.562469,0.050024,2.552168,0.000001970,
3741200,129.484375,28.500000,100.984375,130.000000,0.562469,0.050024,2.551748,0.000001970,
3741300,129.484375,28.500000,100.984375,130.000000,0.515625,0.087500,2.551323,0.000001977,
3741400,129.484375,28.500000,100.984375,130.000000,0.515625,0.087500,2.550932,0.000001994,
3741500,129.242188,28.500000,100.742188,130.000000,0.515625,0.087500,2.550517,0.000001993,
3741600,129.242188,28.500000,100.742188,130.000000,0.515625,0.087500,2.550163,0.000001958,
3741700,129.242188,28.500000,100.742188,130.000000,0.757812,0.000000,2.549787,0.000001971,
3741800,129.371094,28.500000,100.871094,130.000000,0.757812,0.000000,2.549390,0.000001963,
3741900,129.371094,28.500000,100.871094,130.000000,0.757812,0.000000,2.549060,0.000001967,
3742000,129.371094,28.500000,100.871094,130.000000,0.757812,0.000000,2.548688,0.000001968,
3742100,129.310547,28.500000,100.810547,130.000000,0.628906,0.000000,2.548308,0.000001985,
3742200,129.310547,29.000000,100.310547,130.000000,0.628906,0.000000,2.547950,0.000001993,
3742300,129.310547,29.000000,100.310547,130.000000,0.628906,0.000000,2.547568,0.000001978,
3742400,129.405273,29.000000,100.405273,130.000000,0.628906,0.000000,2.547207,0.000001948,
3742500,129.405273,28.250000,101.155273,130.000000,0.594727,0.024219,2.546832,0.000001949,
3742600,129.405273,28.250000,101.155273,130.000000,0.594727,0.024219,2.546487,0.000001949,
3742700,129.202637,28.250000,100.952637,130.000000,0.594727,0.024219,2.546120,0.000001930,
3742800,129.202637,28.500000,100.702637,130.000000,0.594727,0.024219,2.545749,0.000001960,
3742900,129.202637,28.500000,100.702637,130.000000,0.797363,0.000000,2.545419,0.000001942,
3743000,129.226318,28.500000,100.726318,130.000000,0.797363,0.000000,2.545069,0.000001935,
3743100,129.226318,28.500000,100.726318,130.000000,0.797363,0.000000,2.544758,0.000001899,
3743200,129.226318,28.500000,100.726318,130.000000,0.797363,0.000000,2.544439,0.000001897,
3743300,129.238159,28.500000,100.738159,130.000000,0.773682,0.000000,2.544055,0.000001913,
3743400,129.238159,28.500000,100.738159,130.000000,0.773682,0.000000,2.543702,0.000001898,
