time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
1200,112.218750,44.500000,67.718750,0.000000,-89.625000,1.000000,1.808156,0.001345406,
1300,112.218750,44.500000,67.718750,0.000000,-112.218750,1.000000,1.883249,0.001400710,
1400,112.218750,44.500000,67.718750,0.000000,-112.218750,1.000000,1.950543,0.001450150,
1500,115.859375,44.500000,71.359375,0.000000,-112.218750,1.000000,2.011492,0.001494830,
1600,115.859375,44.500000,71.359375,0.000000,-112.218750,1.000000,2.066671,0.001535280,
1700,115.859375,44.500000,71.359375,0.000000,-115.859375,1.000000,2.116646,0.001571741,
1800,117.804688,44.500000,73.304688,0.000000,-115.859375,1.000000,2.162361,0.001605390,
1900,117.804688,44.500000,73.304688,0.000000,-115.859375,1.000000,2.203699,0.001635832,
2000,117.804688,44.500000,73.304688,0.000000,-115.859375,1.000000,2.241101,0.001663318,
2100,118.652344,44.500000,74.152344,0.000000,-117.804688,1.000000,2.274600,0.001687914,
2200,118.652344,44.750000,73.902344,0.000000,-117.804688,1.000000,2.305273,0.001710440,
2300,118.652344,44.750000,73.902344,0.000000,-117.804688,1.000000,2.333038,0.001730602,
2400,119.201172,44.750000,74.451172,0.000000,-117.804688,1.000000,2.357831,0.001748716,
2500,119.201172,44.250000,74.951172,0.000000,-119.201172,1.000000,2.380283,0.001765082,
2600,119.201172,44.250000,74.951172,0.000000,-119.201172,1.000000,2.400804,0.001779998,
2700,119.350586,44.250000,75.100586,0.000000,-119.201172,1.000000,2.419205,0.001793553,
2800,119.350586,44.250000,75.100586,0.000000,-119.201172,1.000000,2.435967,0.001805961,
2900,119.350586,44.250000,75.100586,0.000000,-119.350586,1.000000,2.451145,0.001816980,
3000,119.300293,44.250000,75.050293,0.000000,-119.350586,1.000000,2.464758,0.001827133,
3100,119.300293,44.250000,75.050293,0.000000,-119.350586,1.000000,2.477100,0.001836269,
3200,119.300293,44.250000,75.050293,0.000000,-119.350586,1.000000,2.488212,0.001844352,
3300,119.150146,44.250000,74.900146,0.000000,-119.300293,1.000000,2.498258,0.001851440,
3400,119.150146,44.000000,75.150146,0.000000,-119.300293,1.000000,2.507427,0.001857926,
3500,119.150146,44.000000,75.150146,0.000000,-119.300293,1.000000,2.515619,0.001863887,
3600,119.450073,44.000000,75.450073,0.000000,-119.300293,1.000000,2.523031,0.001869177,
3700,119.450073,44.500000,74.950073,0.000000,-119.450073,1.000000,2.529798,0.001873819,
3800,119.450073,44.500000,74.950073,0.000000,-119.450073,1.000000,2.535938,0.001878195,
3900,119.475037,44.500000,74.975037,0.000000,-119.450073,1.000000,2.541446,0.001882026,
4000,119.475037,44.750000,74.725037,0.000000,-119.450073,1.000000,2.546365,0.001885226,
4100,119.475037,44.750000,74.725037,0.000000,-119.475037,1.000000,2.550838,0.001888403,
4200,119.362518,44.750000,74.612518,0.000000,-119.475037,1.000000,2.554888,0.001891206,
4300,119.362518,43.750000,75.612518,0.000000,-119.475037,1.000000,2.558496,0.001893566,
4400,119.362518,43.750000,75.612518,0.000000,-119.475037,1.000000,2.561764,0.001895671,
4500,119.306259,43.750000,75.556259,0.000000,-119.362518,1.000000,2.564680,0.001897526,
4600,119.306259,44.500000,74.806259,0.000000,-119.362518,1.000000,2.567344,0.001899145,
4700,119.306259,44.500000,74.806259,0.000000,-119.362518,1.000000,2.569718,0.001900549,
4800,119.278130,44.500000,74.778130,0.000000,-119.362518,1.000000,2.571819,0.001901707,
4900,119.278130,44.250000,75.028130,0.000000,-119.278130,1.000000,2.573717,0.001902922,
5000,119.278130,44.250000,75.028130,0.000000,-119.278130,1.000000,2.575449,0.001903851,
5100,119.264069,44.250000,75.014069,0.000000,-119.278130,1.000000,2.576971,0.001904806,
5200,119.264069,44.250000,75.014069,0.000000,-119.278130,1.000000,2.578378,0.001905466,
5300,119.264069,44.250000,75.014069,0.000000,-119.264069,1.000000,2.579596,0.001906233,
5400,119.132034,44.250000,74.882034,0.000000,-119.264069,1.000000,2.580661,0.001907022,
5500,119.132034,44.500000,74.632034,0.000000,-119.264069,1.000000,2.581620,0.001907509,
5600,119.132034,44.500000,74.632034,0.000000,-119.264069,1.000000,2.582485,0.001907914,
5700,119.316017,44.500000,74.816017,0.000000,-119.132034,1.000000,2.583220,0.001908399,
5800,119.316017,44.750000,74.566017,0.000000,-119.132034,1.000000,2.583869,0.001908887,
5900,119.316017,44.750000,74.566017,0.000000,-119.132034,1.000000,2.584430,0.001909202,
6000,119.408005,44.750000,74.658005,0.000000,-119.132034,1.000000,2.584882,0.001909520,
6100,119.408005,44.750000,74.658005,0.000000,-119.408005,1.000000,2.585318,0.001909822,
6200,119.408005,44.750000,74.658005,0.000000,-119.408005,1.000000,2.585663,0.001910035,
6300,119.329002,44.750000,74.579002,0.000000,-119.408005,1.000000,2.585998,0.001910242,
6400,119.329002,44.250000,75.079002,0.000000,-119.408005,1.000000,2.586212,0.001910217,
6500,119.329002,44.250000,75.079002,0.000000,-119.329002,1.000000,2.586409,0.001909897,
6700,119.289505,44.250000,75.039505,0.000000,-119.329002,1.000000,2.586654,0.001909285,
6800,119.289505,44.250000,75.039505,0.000000,-119.329002,1.000000,2.586718,0.001909347,
6900,119.144753,44.250000,74.894753,0.000000,-119.289505,1.000000,2.586785,0.001909333,
7000,119.144753,44.750000,74.394753,0.000000,-119.289505,1.000000,2.586764,0.001909391,
7100,119.144753,44.750000,74.394753,0.000000,-119.289505,1.000000,2.586765,0.001909282,
7200,119.072372,44.750000,74.322372,0.000000,-119.289505,1.000000,2.586741,0.001908803,
7300,119.072372,44.500000,74.572372,0.000000,-119.072372,1.000000,2.586675,0.001908266,
7400,119.072372,44.500000,74.572372,0.000000,-119.072372,1.000000,2.586581,0.001908087,
7500,118.911186,44.500000,74.411186,0.000000,-119.072372,1.000000,2.586498,0.001907789,
7600,118.911186,44.250000,74.661186,0.000000,-119.072372,1.000000,2.586362,0.001907450,
7700,118.911186,44.250000,74.661186,0.000000,-118.911186,1.000000,2.586216,0.001907061,
7800,119.080597,44.250000,74.830597,0.000000,-118.911186,1.000000,2.586011,0.001906940,
7900,119.080597,45.000000,74.080597,0.000000,-118.911186,1.000000,2.585850,0.001906664,
8000,119.080597,45.000000,74.080597,0.000000,-118.911186,1.000000,2.585626,0.001906642,
8100,119.040298,45.000000,74.040298,0.000000,-119.080597,1.000000,2.585423,0.001906461,
8200,119.040298,44.750000,74.290298,0.000000,-119.080597,1.000000,2.585232,0.001906016,
8300,119.040298,44.750000,74.290298,0.000000,-119.080597,1.000000,2.585013,0.001905871,
8400,118.895149,44.750000,74.145149,0.000000,-119.080597,1.000000,2.584768,0.001906038,
8500,118.895149,44.750000,74.145149,0.000000,-118.895149,1.000000,2.584520,0.001905708,
8600,118.895149,44.750000,74.145149,0.000000,-118.895149,1.000000,2.584291,0.001905301,
8700,118.697571,44.750000,73.947571,0.000000,-118.895149,1.000000,2.584047,0.001904866,
8800,118.697571,45.000000,73.697571,0.000000,-118.895149,1.000000,2.583772,0.001904372,
8900,118.697571,45.000000,73.697571,0.000000,-118.697571,1.000000,2.583525,0.001904200,
9000,118.598785,45.000000,73.598785,0.000000,-118.697571,1.000000,2.583243,0.001904673,
9100,118.598785,45.250000,73.348785,0.000000,-118.697571,1.000000,2.582871,0.001905626,
9200,118.598785,45.250000,73.348785,0.000000,-118.697571,1.000000,2.582583,0.001906043,
9300,118.674393,45.250000,73.424393,0.000000,-118.598785,1.000000,2.582296,0.001906219,
9400,118.674393,44.750000,73.924393,0.000000,-118.598785,1.000000,2.581934,0.001907671,
9500,118.674393,44.750000,73.924393,0.000000,-118.598785,1.000000,2.581693,0.001908056,
9600,118.712196,44.750000,73.962196,0.000000,-118.598785,1.000000,2.581390,0.001909534,
9700,118.712196,44.750000,73.962196,0.000000,-118.712196,1.000000,2.581113,0.001910268,
9800,118.712196,44.750000,73.962196,0.000000,-118.712196,1.000000,2.580786,0.001911923,
9900,118.606094,44.750000,73.856094,0.000000,-118.712196,1.000000,2.580500,0.001913378,
10000,118.606094,44.750000,73.856094,0.000000,-118.712196,1.000000,2.580225,0.001915612,
10100,118.606094,44.750000,73.856094,0.000000,-118.606094,1.000000,2.579845,0.001919492,
10200,118.553047,44.750000,73.803047,0.000000,-118.606094,1.000000,2.579515,0.001922437,
10300,118.553047,44.500000,74.053047,0.000000,-118.606094,1.000000,2.579170,0.001926061,
10400,118.553047,44.500000,74.053047,0.000000,-118.606094,1.000000,2.578828,0.001929459,
10500,118.276520,44.500000,73.776520,0.000000,-118.553047,1.000000,2.578441,0.001933526,
10600,118.276520,44.750000,73.526520,0.000000,-118.553047,1.000000,2.578096,0.001937292,
10700,118.276520,44.750000,73.526520,0.000000,-118.553047,1.000000,2.577729,0.001940796,
10800,118.513260,44.750000,73.763260,0.000000,-118.553047,1.000000,2.577340,0.001944794,
10900,118.513260,45.000000,73.513260,0.000000,-118.513260,1.000000,2.576967,0.001947968,
11000,118.513260,45.000000,73.513260,0.000000,-118.513260,1.000000,2.576647,0.001950725,
11100,118.131630,45.000000,73.131630,0.000000,-118.513260,1.000000,2.576263,0.001953657,
11200,118.131630,44.750000,73.381630,0.000000,-118.513260,1.000000,2.575819,0.001956478,
11300,118.131630,44.750000,73.381630,0.000000,-118.131630,1.000000,2.575478,0.001958957,
