time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
2329800,27.497255,24.500000,2.997255,0.000000,-27.497255,1.000000,0.062031,0.000001937,
2329900,27.623627,24.500000,3.123627,0.000000,-27.497255,1.000000,0.062005,0.000001926,
2330000,27.623627,25.250000,2.373627,0.000000,-27.497255,1.000000,0.061986,0.000001922,
2330100,27.623627,25.250000,2.373627,0.000000,-27.623627,1.000000,0.061946,0.000001885,
2330200,27.686813,25.250000,2.436813,0.000000,-27.623627,1.000000,0.061934,0.000001888,
2330300,27.686813,25.000000,2.686813,0.000000,-27.623627,1.000000,0.061934,0.000001856,
2330400,27.686813,25.000000,2.686813,0.000000,-27.623627,1.000000,0.061910,0.000001862,
2330500,27.593407,25.000000,2.593407,0.000000,-27.686813,1.000000,0.061924,0.000001850,
2330600,27.593407,25.250000,2.343407,0.000000,-27.686813,1.000000,0.061907,0.000001868,
2330700,27.593407,25.250000,2.343407,0.000000,-27.686813,1.000000,0.061901,0.000001873,
2330800,27.546703,25.250000,2.296703,0.000000,-27.686813,1.000000,0.061892,0.000001882,
2330900,27.546703,25.000000,2.546703,0.000000,-27.546703,1.000000,0.061835,0.000001842,
2331000,27.546703,25.000000,2.546703,0.000000,-27.546703,1.000000,0.061777,0.000001862,
2331100,27.273352,25.000000,2.273352,0.000000,-27.546703,1.000000,0.061737,0.000001885,
2331200,27.273352,24.750000,2.523352,0.000000,-27.546703,1.000000,0.061689,0.000001882,
2331300,27.273352,24.750000,2.523352,0.000000,-27.273352,1.000000,0.061662,0.000001876,
2331400,27.511677,24.750000,2.761677,0.000000,-27.273352,1.000000,0.061635,0.000001879,
2331500,27.511677,25.000000,2.511677,0.000000,-27.273352,1.000000,0.061578,0.000001927,
2331600,27.511677,25.000000,2.511677,0.000000,-27.273352,1.000000,0.061549,0.000001921,
2331700,27.505838,25.000000,2.505838,0.000000,-27.511677,1.000000,0.061479,0.000001911,
2331800,27.505838,24.750000,2.755838,0.000000,-27.511677,1.000000,0.061517,0.000001901,
2331900,27.505838,24.750000,2.755838,0.000000,-27.511677,1.000000,0.061481,0.000001908,
2332000,27.377918,24.750000,2.627918,0.000000,-27.511677,1.000000,0.061445,0.000001920,
2332100,27.377918,24.500000,2.877918,0.000000,-27.377918,1.000000,0.061433,0.000001943,
2332200,27.377918,24.500000,2.877918,0.000000,-27.377918,1.000000,0.061438,0.000001930,
2332300,27.438959,24.500000,2.938959,0.000000,-27.377918,1.000000,0.061426,0.000001923,
2332400,27.438959,25.000000,2.438959,0.000000,-27.377918,1.000000,0.061372,0.000001934,
2332500,27.438959,25.000000,2.438959,0.000000,-27.438959,1.000000,0.061360,0.000001951,
2332600,27.344479,25.000000,2.344479,0.000000,-27.438959,1.000000,0.061299,0.000001935,
2332700,27.344479,24.750000,2.594479,0.000000,-27.438959,1.000000,0.061283,0.000001957,
2332800,27.344479,24.750000,2.594479,0.000000,-27.438959,1.000000,0.061260,0.000001951,
2332900,27.422239,24.750000,2.672239,0.000000,-27.344479,1.000000,0.061248,0.000001953,
2333000,27.422239,24.500000,2.922239,0.000000,-27.344479,1.000000,0.061190,0.000001950,
2333100,27.422239,24.500000,2.922239,0.000000,-27.344479,1.000000,0.061201,0.000001927,
2333200,27.211121,24.500000,2.711121,0.000000,-27.344479,1.000000,0.061177,0.000001932,
2333300,27.211121,25.250000,1.961121,130.000000,-27.211121,1.000000,0.061139,0.000001917,
2333400,27.211121,25.250000,1.961121,130.000000,-27.211121,1.000000,0.061107,0.000001884,
2333500,27.355560,25.250000,2.105560,130.000000,-27.211121,1.000000,0.061063,0.000001867,
2333600,27.355560,24.750000,2.605560,130.000000,-27.211121,1.000000,0.061088,0.000001862,
2333700,27.355560,24.750000,2.605560,130.000000,102.644440,0.000000,0.061084,0.000001870,
2333800,27.302780,24.750000,2.552780,130.000000,102.644440,0.000000,0.061052,0.000001839,
2333900,27.302780,25.250000,2.052780,130.000000,102.644440,0.000000,0.060969,0.000001835,
2334000,27.302780,25.250000,2.052780,130.000000,102.644440,0.000000,0.060988,0.000001858,
2334100,27.151390,25.250000,1.901390,130.000000,102.697220,0.000000,0.060915,0.000001868,
2334200,27.151390,25.000000,2.151390,130.000000,102.697220,0.000000,0.060882,0.000001872,
2334300,27.151390,25.000000,2.151390,130.000000,102.697220,0.000000,0.060843,0.000001885,
2334400,27.450695,25.000000,2.450695,130.000000,102.697220,0.000000,0.060822,0.000001860,
2334500,27.450695,25.000000,2.450695,130.000000,102.549301,0.000000,0.060821,0.000001841,
2334600,27.450695,25.000000,2.450695,130.000000,102.549301,0.000000,0.060804,0.000001832,
2334700,27.100348,25.000000,2.100348,130.000000,102.549301,0.000000,0.060781,0.000001833,
2334800,27.100348,25.000000,2.100348,130.000000,102.549301,0.000000,0.060801,0.000001802,
2334900,27.100348,25.000000,2.100348,130.000000,102.899651,0.000000,0.060759,0.000001816,
2335000,27.300175,25.000000,2.300175,130.000000,102.899651,0.000000,0.060718,0.000001806,
2335100,27.300175,24.750000,2.550175,130.000000,102.899651,0.000000,0.060620,0.000001818,
2335200,27.300175,24.750000,2.550175,130.000000,102.899651,0.000000,0.060593,0.000001820,
2335300,27.150087,24.750000,2.400087,130.000000,102.699829,0.000000,0.060557,0.000001810,
2335400,27.150087,25.250000,1.900087,130.000000,102.699829,0.000000,0.060544,0.000001812,
