time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
4098100,98.490540,28.000000,70.490540,98.500000,0.018929,0.485061,1.785994,0.000001932,
4098200,98.490540,27.500000,70.990540,98.500000,0.018929,0.485061,1.785966,0.000001942,
4098300,98.490540,27.500000,70.990540,98.500000,0.018929,0.485061,1.786016,0.000001940,
4098400,98.120270,27.500000,70.620270,98.500000,0.018929,0.485061,1.786034,0.000001940,
4098500,98.120270,28.000000,70.120270,98.500000,0.379730,0.196216,1.786079,0.000001941,
4098600,98.120270,28.000000,70.120270,98.500000,0.379730,0.196216,1.786108,0.000001934,
4098700,98.435135,28.000000,70.435135,98.500000,0.379730,0.196216,1.786113,0.000001919,
4098800,98.435135,27.750000,70.685135,98.500000,0.379730,0.196216,1.786082,0.000001892,
4098900,98.435135,27.750000,70.685135,98.500000,0.064865,0.448108,1.786072,0.000001901,
4099000,98.342567,27.750000,70.592567,98.500000,0.064865,0.448108,1.786046,0.000001884,
4099100,98.342567,28.250000,70.092567,98.500000,0.064865,0.448108,1.786023,0.000001912,
4099200,98.342567,28.250000,70.092567,98.500000,0.064865,0.448108,1.786037,0.000001908,
4099300,98.421280,28.250000,70.171280,98.500000,0.157433,0.374054,1.786063,0.000001930,
4099400,98.421280,28.000000,70.421280,98.500000,0.157433,0.374054,1.786050,0.000001920,
4099500,98.421280,28.000000,70.421280,98.500000,0.157433,0.374054,1.786029,0.000001952,
4099600,98.585640,28.000000,70.585640,98.500000,0.157433,0.374054,1.785990,0.000001935,
4099700,98.585640,28.000000,70.585640,98.500000,-0.085640,0.568628,1.785952,0.000001917,
4099800,98.585640,28.000000,70.585640,98.500000,-0.085640,0.568628,1.785922,0.000001934,
4099900,98.667816,28.000000,70.667816,98.500000,-0.085640,0.568628,1.785934,0.000001926,
4100000,98.667816,28.000000,70.667816,98.500000,-0.085640,0.568628,1.785931,0.000001958,
4100100,98.667816,28.000000,70.667816,98.500000,-0.167816,0.634595,1.785993,0.000001948,
4100200,98.458908,28.000000,70.458908,98.500000,-0.167816,0.634595,1.785960,0.000001949,
4100300,98.458908,28.000000,70.458908,98.500000,-0.167816,0.634595,1.785947,0.000001939,
4100400,98.458908,28.000000,70.458908,98.500000,-0.167816,0.634595,1.785960,0.000001922,
4100500,98.604454,28.000000,70.604454,98.500000,0.041092,0.467413,1.785958,0.000001923,
4100600,98.604454,27.750000,70.854454,98.500000,0.041092,0.467413,1.785924,0.000001932,
4100700,98.604454,27.750000,70.854454,98.500000,0.041092,0.467413,1.785882,0.000001948,
4100800,98.427231,27.750000,70.677231,98.500000,0.041092,0.467413,1.785844,0.000001933,
4100900,98.427231,28.000000,70.427231,98.500000,0.072769,0.441973,1.785859,0.000001949,
4101000,98.427231,28.000000,70.427231,98.500000,0.072769,0.441973,1.785765,0.000001950,
4101100,98.588615,28.000000,70.588615,98.500000,0.072769,0.441973,1.785736,0.000001943,
4101200,98.588615,27.500000,71.088615,98.500000,0.072769,0.441973,1.785724,0.000001977,
4101300,98.588615,27.500000,71.088615,98.500000,-0.088615,0.571200,1.785674,0.000001983,
4101400,98.419312,27.500000,70.919312,98.500000,-0.088615,0.571200,1.785640,0.000001980,
4101500,98.419312,27.500000,70.919312,98.500000,-0.088615,0.571200,1.785657,0.000001989,
4101600,98.419312,27.500000,70.919312,98.500000,-0.088615,0.571200,1.785597,0.000001978,
4101700,98.584656,27.500000,71.084656,98.500000,0.080688,0.435648,1.785632,0.000001979,
4101800,98.584656,28.250000,70.334656,98.500000,0.080688,0.435648,1.785598,0.000001943,
4101900,98.584656,28.250000,70.334656,98.500000,0.080688,0.435648,1.785524,0.000001922,
4102000,98.542328,28.250000,70.292328,98.500000,0.080688,0.435648,1.785545,0.000001914,
4102100,98.542328,28.250000,70.292328,98.500000,-0.042328,0.534119,1.785602,0.000001925,
4102200,98.542328,28.250000,70.292328,98.500000,-0.042328,0.534119,1.785625,0.000001936,
4102300,98.396164,28.250000,70.146164,98.500000,-0.042328,0.534119,1.785593,0.000001960,
4102400,98.396164,28.250000,70.146164,98.500000,-0.042328,0.534119,1.785628,0.000001974,
4102500,98.396164,28.250000,70.146164,98.500000,0.103836,0.417047,1.785590,0.000001973,
4102600,98.323082,28.250000,70.073082,98.500000,0.103836,0.417047,1.785542,0.000001957,
4102700,98.323082,28.000000,70.323082,98.500000,0.103836,0.417047,1.785548,0.000001956,
4102800,98.323082,28.000000,70.323082,98.500000,0.103836,0.417047,1.785553,0.000001965,
4102900,98.286545,28.000000,70.286545,98.500000,0.176918,0.358466,1.785500,0.000001968,
4103000,98.286545,27.750000,70.536545,98.500000,0.176918,0.358466,1.785461,0.000001951,
4103100,98.286545,27.750000,70.536545,98.500000,0.176918,0.358466,1.785378,0.000001938,
4103200,98.268272,27.750000,70.518272,98.500000,0.176918,0.358466,1.785311,0.000001964,
4103300,98.268272,27.750000,70.518272,98.500000,0.231728,0.314618,1.785314,0.000001932,
4103400,98.268272,27.750000,70.518272,98.500000,0.231728,0.314618,1.785297,0.000001934,
4103500,98.259140,27.750000,70.509140,98.500000,0.231728,0.314618,1.785283,0.000001955,
4103600,98.259140,27.750000,70.509140,98.500000,0.231728,0.314618,1.785264,0.000001951,
4103700,98.259140,27.750000,70.509140,98.500000,0.240860,0.307312,1.785215,0.000001955,
4103800,98.254570,27.750000,70.504570,98.500000,0.240860,0.307312,1.785169,0.000001952,
4103900,98.254570,28.000000,70.254570,98.500000,0.240860,0.307312,1.785147,0.000001956,
4104000,98.254570,28.000000,70.254570,98.500000,0.240860,0.307312,1.785119,0.000001942,
4104100,98.377289,28.000000,70.377289,98.500000,0.245430,0.303656,1.785086,0.000001932,
4104200,98.377289,28.250000,70.127289,98.500000,0.245430,0.303656,1.785065,0.000001926,
4104300,98.377289,28.250000,70.127289,98.500000,0.245430,0.303656,1.785044,0.000001916,
4104400,98.438644,28.250000,70.188644,98.500000,0.245430,0.303656,1.785022,0.000001926,
4104500,98.438644,27.500000,70.938644,98.500000,0.061356,0.450916,1.784995,0.000001905,
4104600,98.438644,27.500000,70.938644,98.500000,0.061356,0.450916,1.785011,0.000001913,
4104700,98.469322,27.500000,70.969322,98.500000,0.061356,0.450916,1.784971,0.000001926,
4104800,98.469322,28.250000,70.219322,98.500000,0.061356,0.450916,1.784983,0.000001942,
4104900,98.469322,28.250000,70.219322,98.500000,0.030678,0.475458,1.784945,0.000001966,
4105000,98.359665,28.250000,70.109665,98.500000,0.030678,0.475458,1.784938,0.000001934,
4105100,98.359665,28.000000,70.359665,98.500000,0.030678,0.475458,1.784948,0.000001926,
4105200,98.359665,28.000000,70.359665,98.500000,0.030678,0.475458,1.784896,0.000001931,
4105300,98.429832,28.000000,70.429832,98.500000,0.140335,0.387732,1.784884,0.000001905,
4105400,98.429832,28.500000,69.929832,98.500000,0.140335,0.387732,1.784838,0.000001888,
4105500,98.429832,28.500000,69.929832,98.500000,0.140335,0.387732,1.784809,0.000001889,
4105600,98.589920,28.500000,70.089920,98.500000,0.140335,0.387732,1.784751,0.000001895,
4105700,98.589920,28.000000,70.589920,98.500000,-0.089920,0.572057,1.784774,0.000001921,
4105800,98.589920,28.000000,70.589920,98.500000,-0.089920,0.572057,1.784762,0.000001958,
4105900,98.419960,28.000000,70.419960,98.500000,-0.089920,0.572057,1.784714,0.000001950,
4106000,98.419960,28.250000,70.169960,98.500000,-0.089920,0.572057,1.784722,0.000001944,
4106100,98.419960,28.250000,70.169960,98.500000,0.080040,0.435981,1.784700,0.000001937,
4106200,98.209976,28.250000,69.959976,98.500000,0.080040,0.435981,1.784655,0.000001935,
4106300,98.209976,28.000000,70.209976,98.500000,0.080040,0.435981,1.784618,0.000001935,
4106400,98.209976,28.000000,70.209976,98.500000,0.080040,0.435981,1.784632,0.000001927,
4106500,98.229988,28.000000,70.229988,98.500000,0.290024,0.267981,1.784564,0.000001921,
4106600,98.229988,28.250000,69.979988,98.500000,0.290024,0.267981,1.784584,0.000001903,
4106700,98.229988,28.250000,69.979988,98.500000,0.290024,0.267981,1.784485,0.000001901,
4106800,98.364990,28.250000,70.114990,98.500000,0.290024,0.267981,1.784471,0.000001905,
4106900,98.364990,28.000000,70.364990,98.500000,0.135010,0.391992,1.784495,0.000001927,
4107000,98.364990,28.000000,70.364990,98.500000,0.135010,0.391992,1.784483,0.000001935,
4107100,98.432495,28.000000,70.432495,98.500000,0.135010,0.391992,1.784449,0.000001931,
4107200,98.432495,27.500000,70.932495,98.500000,0.135010,0.391992,1.784409,0.000001905,
4107300,98.432495,27.500000,70.932495,98.500000,0.067505,0.445996,1.784321,0.000001875,
4107400,98.466248,27.500000,70.966248,98.500000,0.067505,0.445996,1.784251,0.000001890,
4107500,98.466248,27.750000,70.716248,98.500000,0.067505,0.445996,1.784231,0.000001865,
4107600,98.466248,27.750000,70.716248,98.500000,0.067505,0.445996,1.784212,0.000001877,
4107700,98.483124,27.750000,70.733124,98.500000,0.033752,0.472998,1.784217,0.000001851,
4107800,98.483124,28.000000,70.483124,98.500000,0.033752,0.472998,1.784151,0.000001879,
4107900,98.483124,28.000000,70.483124,98.500000,0.033752,0.472998,1.784101,0.000001906,
4108000,98.241562,28.000000,70.241562,98.500000,0.033752,0.472998,1.784108,0.000001909,
4108100,98.241562,27.750000,70.491562,98.500000,0.258438,0.293249,1.784164,0.000001925,
4108200,98.241562,27.750000,70.491562,98.500000,0.258438,0.293249,1.784143,0.000001920,
4108300,98.370781,27.750000,70.620781,98.500000,0.258438,0.293249,1.784132,0.000001882,
4108400,98.370781,28.500000,69.870781,98.500000,0.258438,0.293249,1.784092,0.000001885,
4108500,98.370781,28.500000,69.870781,98.500000,0.129219,0.396625,1.784053,0.000001927,
4108600,98.435394,28.500000,69.935394,98.500000,0.129219,0.396625,1.784038,0.000001928,
4108700,98.435394,28.000000,70.435394,98.500000,0.129219,0.396625,1.784046,0.000001920,
4108800,98.435394,28.000000,70.435394,98.500000,0.129219,0.396625,1.783968,0.000001935,
4108900,98.342697,28.000000,70.342697,98.500000,0.064606,0.448315,1.783969,0.000001973,
4109000,98.342697,28.000000,70.342697,98.500000,0.064606,0.448315,1.783979,0.000001938,
4109100,98.342697,28.000000,70.342697,98.500000,0.064606,0.448315,1.783950,0.000001923,
4109200,98.421349,28.000000,70.421349,98.500000,0.064606,0.448315,1.783898,0.000001904,
4109300,98.421349,28.000000,70.421349,98.500000,0.078651,0.437079,1.783845,0.000001921,
4109400,98.421349,28.000000,70.421349,98.500000,0.078651,0.437079,1.783846,0.000001899,
4109500,98.210678,28.000000,70.210678,98.500000,0.078651,0.437079,1.783853,0.000001927,
