time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
6202900,129.732162,30.500000,99.232162,130.000000,0.267838,0.285730,2.519737,0.000001991,
6203000,129.741089,30.500000,99.241089,130.000000,0.267838,0.285730,2.519752,0.000001990,
6203100,129.741089,30.500000,99.241089,130.000000,0.267838,0.285730,2.519752,0.000001981,
6203200,129.741089,30.500000,99.241089,130.000000,0.267838,0.285730,2.519711,0.000001976,
6203300,129.745544,30.500000,99.245544,130.000000,0.258911,0.292871,2.519696,0.000001960,
6203400,129.745544,30.750000,98.995544,130.000000,0.258911,0.292871,2.519674,0.000001971,
6203500,129.745544,30.750000,98.995544,130.000000,0.258911,0.292871,2.519636,0.000001993,
6203600,129.497772,30.750000,98.747772,130.000000,0.258911,0.292871,2.519619,0.000001989,
6203700,129.497772,30.750000,98.747772,130.000000,0.502228,0.098218,2.519574,0.000001997,
6203800,129.497772,30.750000,98.747772,130.000000,0.502228,0.098218,2.519526,0.000001967,
6203900,129.623886,30.750000,98.873886,130.000000,0.502228,0.098218,2.519539,0.000001978,
6204000,129.623886,30.250000,99.373886,130.000000,0.502228,0.098218,2.519531,0.000001972,
6204100,129.623886,30.250000,99.373886,130.000000,0.376114,0.199109,2.519514,0.000001964,
6204200,129.686951,30.250000,99.436951,130.000000,0.376114,0.199109,2.519505,0.000001963,
6204300,129.686951,30.750000,98.936951,130.000000,0.376114,0.199109,2.519511,0.000001939,
6204400,129.686951,30.750000,98.936951,130.000000,0.376114,0.199109,2.519527,0.000001924,
6204500,129.593475,30.750000,98.843475,130.000000,0.313049,0.249561,2.519524,0.000001918,
6204600,129.593475,30.750000,98.843475,130.000000,0.313049,0.249561,2.519506,0.000001899,
6204700,129.593475,30.750000,98.843475,130.000000,0.313049,0.249561,2.519474,0.000001877,
6204800,129.421738,30.750000,98.671738,130.000000,0.313049,0.249561,2.519467,0.000001855,
6204900,129.421738,30.750000,98.671738,130.000000,0.578262,0.037390,2.519457,0.000001845,
6205000,129.421738,30.750000,98.671738,130.000000,0.578262,0.037390,2.519416,0.000001842,
6205100,129.585876,30.750000,98.835876,130.000000,0.578262,0.037390,2.519423,0.000001828,
6205200,129.585876,30.500000,99.085876,130.000000,0.578262,0.037390,2.519423,0.000001829,
6205300,129.585876,30.500000,99.085876,130.000000,0.414124,0.168701,2.519468,0.000001818,
6205400,129.667938,30.500000,99.167938,130.000000,0.414124,0.168701,2.519434,0.000001801,
6205500,129.667938,30.750000,98.917938,130.000000,0.414124,0.168701,2.519424,0.000001809,
6205600,129.667938,30.750000,98.917938,130.000000,0.414124,0.168701,2.519429,0.000001826,
6205700,129.583969,30.750000,98.833969,130.000000,0.332062,0.234351,2.519420,0.000001828,
6205800,129.583969,30.750000,98.833969,130.000000,0.332062,0.234351,2.519406,0.000001810,
6205900,129.583969,30.750000,98.833969,130.000000,0.332062,0.234351,2.519414,0.000001822,
6206000,129.666992,30.750000,98.916992,130.000000,0.332062,0.234351,2.519417,0.000001823,
6206100,129.666992,31.000000,98.666992,130.000000,0.333008,0.233594,2.519406,0.000001847,
6206200,129.666992,31.000000,98.666992,0.000000,0.333008,0.233594,2.519392,0.000001876,
6206300,129.708496,31.000000,98.708496,0.000000,0.333008,0.233594,2.519349,0.000001892,
6206400,129.708496,30.750000,98.958496,0.000000,0.333008,0.233594,2.519318,0.000001908,
6206500,129.708496,30.750000,98.958496,0.000000,-129.708496,1.000000,2.519327,0.000001928,
6206600,129.604248,30.750000,98.854248,0.000000,-129.708496,1.000000,2.519356,0.000001955,
6206700,129.604248,30.750000,98.854248,0.000000,-129.708496,1.000000,2.519387,0.000001957,
6206800,129.604248,30.750000,98.854248,0.000000,-129.708496,1.000000,2.519389,0.000001973,
6206900,129.677124,30.750000,98.927124,0.000000,-129.604248,1.000000,2.519403,0.000001967,
6207000,129.677124,31.250000,98.427124,0.000000,-129.604248,1.000000,2.519422,0.000001970,
6207100,129.677124,31.250000,98.427124,0.000000,-129.604248,1.000000,2.519399,0.000001979,
6207200,129.713562,31.250000,98.463562,0.000000,-129.604248,1.000000,2.519365,0.000001964,
6207300,129.713562,30.750000,98.963562,0.000000,-129.713562,1.000000,2.519341,0.000001972,
6207400,129.713562,30.750000,98.963562,0.000000,-129.713562,1.000000,2.519308,0.000001958,
