time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
8246800,129.529724,31.000000,98.529724,130.000000,0.381134,0.195093,2.518521,0.000001953,
8246900,129.529724,30.750000,98.779724,130.000000,0.470276,0.123779,2.518492,0.000001967,
8247000,129.529724,30.750000,98.779724,130.000000,0.470276,0.123779,2.518510,0.000001986,
8247100,129.389862,30.750000,98.639862,130.000000,0.470276,0.123779,2.518482,0.000001974,
8247200,129.389862,30.750000,98.639862,130.000000,0.470276,0.123779,2.518520,0.000001962,
8247300,129.389862,30.750000,98.639862,130.000000,0.610138,0.011890,2.518532,0.000001953,
8247400,129.694931,30.750000,98.944931,130.000000,0.610138,0.011890,2.518539,0.000001938,
8247500,129.694931,31.000000,98.694931,130.000000,0.610138,0.011890,2.518539,0.000001945,
8247600,129.694931,31.000000,98.694931,130.000000,0.610138,0.011890,2.518490,0.000001940,
8247700,129.597473,31.000000,98.597473,130.000000,0.305069,0.255945,2.518440,0.000001967,
8247800,129.597473,30.750000,98.847473,130.000000,0.305069,0.255945,2.518424,0.000001964,
8247900,129.597473,30.750000,98.847473,130.000000,0.305069,0.255945,2.518393,0.000001948,
8248000,129.423737,30.750000,98.673737,130.000000,0.305069,0.255945,2.518387,0.000001987,
8248100,129.423737,30.750000,98.673737,130.000000,0.576263,0.038989,2.518367,0.000001985,
8248200,129.423737,30.750000,98.673737,130.000000,0.576263,0.038989,2.518342,0.000002002,
8248300,129.461868,30.750000,98.711868,130.000000,0.576263,0.038989,2.518355,0.000001990,
8248400,129.461868,30.250000,99.211868,130.000000,0.576263,0.038989,2.518363,0.000001971,
8248500,129.461868,30.250000,99.211868,130.000000,0.538132,0.069495,2.518355,0.000001946,
8248600,129.480927,30.250000,99.230927,130.000000,0.538132,0.069495,2.518399,0.000001920,
8248700,129.480927,30.750000,98.730927,130.000000,0.538132,0.069495,2.518424,0.000001910,
8248800,129.480927,30.750000,98.730927,130.000000,0.538132,0.069495,2.518413,0.000001924,
8248900,129.490463,30.750000,98.740463,130.000000,0.519073,0.084741,2.518410,0.000001893,
8249000,129.490463,31.000000,98.490463,130.000000,0.519073,0.084741,2.518376,0.000001873,
8249100,129.490463,31.000000,98.490463,130.000000,0.519073,0.084741,2.518363,0.000001870,
8249200,129.620239,31.000000,98.620239,130.000000,0.519073,0.084741,2.518368,0.000001873,
8249300,129.620239,30.750000,98.870239,130.000000,0.379761,0.196191,2.518337,0.000001898,
8249400,129.620239,30.750000,98.870239,130.000000,0.379761,0.196191,2.518309,0.000001882,
8249500,129.685120,30.750000,98.935120,130.000000,0.379761,0.196191,2.518325,0.000001887,
8249600,129.685120,31.000000,98.685120,130.000000,0.379761,0.196191,2.518349,0.000001918,
8249700,129.685120,31.000000,98.685120,130.000000,0.314880,0.248096,2.518330,0.000001915,
8249800,129.717560,31.000000,98.717560,130.000000,0.314880,0.248096,2.518337,0.000001883,
8249900,129.717560,31.000000,98.717560,130.000000,0.314880,0.248096,2.518346,0.000001873,
8250000,129.717560,31.000000,98.717560,0.000000,0.314880,0.248096,2.518328,0.000001875,
8250100,129.733780,31.000000,98.733780,0.000000,-129.717560,1.000000,2.518362,0.000001919,
8250200,129.733780,31.000000,98.733780,0.000000,-129.717560,1.000000,2.518382,0.000001935,
8250300,129.733780,31.000000,98.733780,0.000000,-129.717560,1.000000,2.518389,0.000001952,
8250400,129.491882,31.000000,98.491882,0.000000,-129.717560,1.000000,2.518368,0.000001965,
8250500,129.491882,30.250000,99.241882,0.000000,-129.491882,1.000000,2.518474,0.000001964,
8250600,129.491882,30.250000,99.241882,0.000000,-129.491882,1.000000,2.518538,0.000001947,
8250700,129.620941,30.250000,99.370941,0.000000,-129.491882,1.000000,2.518576,0.000001976,
8250800,129.620941,31.000000,98.620941,0.000000,-129.491882,1.000000,2.518615,0.000001992,
8250900,129.620941,31.000000,98.620941,0.000000,-129.620941,1.000000,2.518597,0.000002017,
8251000,129.560471,31.000000,98.560471,0.000000,-129.620941,1.000000,2.518595,0.000002034,
8251100,129.560471,30.750000,98.810471,0.000000,-129.620941,1.000000,2.518651,0.000002032,
8251200,129.560471,30.750000,98.810471,0.000000,-129.620941,1.000000,2.518677,0.000002033,
8251300,129.530243,30.750000,98.780243,0.000000,-129.560471,1.000000,2.518651,0.000002054,
8251400,129.530243,30.500000,99.030243,0.000000,-129.560471,1.000000,2.518683,0.000002049,
8251500,129.530243,30.500000,99.030243,0.000000,-129.560471,1.000000,2.518716,0.000002051,
8251600,129.515121,30.500000,99.015121,0.000000,-129.560471,1.000000,2.518708,0.000002043,
8251700,129.515121,30.750000,98.765121,0.000000,-129.515121,1.000000,2.518674,0.000002051,
8251800,129.515121,30.750000,98.765121,0.000000,-129.515121,1.000000,2.518705,0.000002048,
8251900,129.507568,30.750000,98.757568,0.000000,-129.515121,1.000000,2.518755,0.000002033,
8252000,129.507568,30.750000,98.757568,0.000000,-129.515121,1.000000,2.518777,0.000002038,
8252100,129.507568,30.750000,98.757568,0.000000,-129.507568,1.000000,2.518780,0.000002030,
8252200,129.503784,30.750000,98.753784,0.000000,-129.507568,1.000000,2.518784,0.000002027,
8252300,129.503784,30.750000,98.753784,0.000000,-129.507568,1.000000,2.518740,0.000002017,
8252400,129.503784,30.750000,98.753784,0.000000,-129.507568,1.000000,2.518735,0.000002008,
