time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
1282600,129.309586,28.750000,100.559586,130.000000,0.690414,0.000000,2.572454,0.000001913,
1282700,129.404785,28.750000,100.654785,130.000000,0.690414,0.000000,2.572468,0.000001886,
1282800,129.404785,28.500000,100.904785,130.000000,0.690414,0.000000,2.572484,0.000001877,
1282900,129.404785,28.500000,100.904785,130.000000,0.595215,0.023828,2.572450,0.000001867,
1283000,129.452393,28.500000,100.952393,130.000000,0.595215,0.023828,2.572475,0.000001874,
1283100,129.452393,28.750000,100.702393,130.000000,0.595215,0.023828,2.572541,0.000001852,
1283200,129.452393,28.750000,100.702393,130.000000,0.595215,0.023828,2.572537,0.000001848,
1283300,129.476196,28.750000,100.726196,130.000000,0.547607,0.061914,2.572577,0.000001844,
1283400,129.476196,28.500000,100.976196,130.000000,0.547607,0.061914,2.572578,0.000001844,
1283500,129.476196,28.500000,100.976196,130.000000,0.547607,0.061914,2.572650,0.000001870,
1283600,129.488098,28.500000,100.988098,130.000000,0.547607,0.061914,2.572679,0.000001850,
1283700,129.488098,28.750000,100.738098,130.000000,0.511902,0.090479,2.572694,0.000001869,
1283800,129.488098,28.750000,100.738098,130.000000,0.511902,0.090479,2.572711,0.000001869,
1283900,129.494049,28.750000,100.744049,130.000000,0.511902,0.090479,2.572745,0.000001847,
1284000,129.494049,28.500000,100.994049,130.000000,0.511902,0.090479,2.572750,0.000001870,
1284100,129.494049,28.500000,100.994049,130.000000,0.505951,0.095239,2.572827,0.000001896,
1284200,129.622025,28.500000,101.122025,130.000000,0.505951,0.095239,2.572930,0.000001897,
1284300,129.622025,28.500000,101.122025,130.000000,0.505951,0.095239,2.572964,0.000001895,
1284400,129.622025,28.500000,101.122025,130.000000,0.505951,0.095239,2.573001,0.000001937,
1284500,129.436005,28.500000,100.936005,130.000000,0.377975,0.197620,2.573033,0.000001963,
1284600,129.436005,28.750000,100.686005,130.000000,0.377975,0.197620,2.573108,0.000001960,
1284700,129.436005,28.750000,100.686005,130.000000,0.377975,0.197620,2.573120,0.000001978,
1284800,129.468002,28.750000,100.718002,130.000000,0.377975,0.197620,2.573124,0.000001970,
1284900,129.468002,28.250000,101.218002,130.000000,0.531998,0.074402,2.573151,0.000001959,
1285000,129.468002,28.250000,101.218002,130.000000,0.531998,0.074402,2.573179,0.000001957,
1285100,129.484009,28.250000,101.234009,0.000000,0.531998,0.074402,2.573178,0.000001962,
1285200,129.484009,28.750000,100.734009,0.000000,0.531998,0.074402,2.573214,0.000001958,
1285300,129.484009,28.750000,100.734009,0.000000,-129.484009,1.000000,2.573278,0.000001988,
1285400,129.367004,28.750000,100.617004,0.000000,-129.484009,1.000000,2.573356,0.000001998,
1285500,129.367004,28.750000,100.617004,0.000000,-129.484009,1.000000,2.573398,0.000001988,
1285600,129.367004,28.750000,100.617004,0.000000,-129.484009,1.000000,2.573449,0.000002008,
1285700,129.558502,28.750000,100.808502,0.000000,-129.367004,1.000000,2.573541,0.000002026,
1285800,129.558502,29.000000,100.558502,0.000000,-129.367004,1.000000,2.573618,0.000002029,
1285900,129.558502,29.000000,100.558502,0.000000,-129.367004,1.000000,2.573635,0.000002023,
1286000,129.654251,29.000000,100.654251,0.000000,-129.367004,1.000000,2.573716,0.000002026,
1286100,129.654251,28.750000,100.904251,0.000000,-129.654251,1.000000,2.573740,0.000002044,
1286200,129.654251,28.750000,100.904251,0.000000,-129.654251,1.000000,2.573837,0.000002074,
1286300,129.702118,28.750000,100.952118,0.000000,-129.654251,1.000000,2.573877,0.000002064,
1286400,129.702118,28.750000,100.952118,0.000000,-129.654251,1.000000,2.573896,0.000002057,
1286500,129.702118,28.750000,100.952118,0.000000,-129.702118,1.000000,2.573919,0.000002066,
1286600,129.476059,28.750000,100.726059,0.000000,-129.702118,1.000000,2.573949,0.000002054,
1286700,129.476059,28.750000,100.726059,0.000000,-129.702118,1.000000,2.573973,0.000002043,
1286800,129.476059,28.750000,100.726059,0.000000,-129.702118,1.000000,2.574009,0.000002038,
1286900,129.613037,28.750000,100.863037,0.000000,-129.476059,1.000000,2.574050,0.000002063,
1287000,129.613037,28.750000,100.863037,0.000000,-129.476059,1.000000,2.574101,0.000002084,
1287100,129.613037,28.750000,100.863037,0.000000,-129.476059,1.000000,2.574172,0.000002077,
1287200,129.556519,28.750000,100.806519,0.000000,-129.476059,1.000000,2.574175,0.000002072,
1287300,129.556519,28.250000,101.306519,0.000000,-129.556519,1.000000,2.574248,0.000002048,
