time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
5786700,129.196716,28.750000,100.446716,130.000000,0.856567,0.000000,2.554063,0.000001962,
5786800,129.223358,28.750000,100.473358,130.000000,0.856567,0.000000,2.553648,0.000001966,
5786900,129.223358,28.250000,100.973358,130.000000,0.776642,0.000000,2.553207,0.000001977,
5787000,129.223358,28.250000,100.973358,130.000000,0.776642,0.000000,2.552852,0.000002000,
5787100,129.361679,28.250000,101.111679,130.000000,0.776642,0.000000,2.552472,0.000001975,
5787200,129.361679,28.750000,100.611679,130.000000,0.776642,0.000000,2.552084,0.000001961,
5787300,129.361679,28.750000,100.611679,130.000000,0.638321,0.000000,2.551702,0.000001967,
5787400,129.305847,28.750000,100.555847,130.000000,0.638321,0.000000,2.551338,0.000001967,
5787500,129.305847,28.250000,101.055847,130.000000,0.638321,0.000000,2.551001,0.000001958,
5787600,129.305847,28.250000,101.055847,130.000000,0.638321,0.000000,2.550654,0.000001976,
5787700,129.277924,28.250000,101.027924,130.000000,0.694153,0.000000,2.550327,0.000001963,
5787800,129.277924,28.750000,100.527924,130.000000,0.694153,0.000000,2.549998,0.000001968,
5787900,129.277924,28.750000,100.527924,130.000000,0.694153,0.000000,2.549678,0.000001957,
5788000,129.013962,28.750000,100.263962,130.000000,0.694153,0.000000,2.549330,0.000001945,
5788100,129.013962,28.750000,100.263962,130.000000,0.986038,0.000000,2.548945,0.000001968,
5788200,129.013962,28.750000,100.263962,130.000000,0.986038,0.000000,2.548609,0.000001952,
5788300,129.006989,28.750000,100.256989,130.000000,0.986038,0.000000,2.548296,0.000001943,
5788400,129.006989,28.500000,100.506989,130.000000,0.986038,0.000000,2.547991,0.000001929,
5788500,129.006989,28.500000,100.506989,130.000000,0.993011,0.000000,2.547659,0.000001932,
5788600,128.628494,28.500000,100.128494,130.000000,0.993011,0.000000,2.547365,0.000001946,
5788700,128.628494,28.250000,100.378494,130.000000,0.993011,0.000000,2.547103,0.000001938,
5788800,128.628494,28.250000,100.378494,130.000000,0.993011,0.000000,2.546769,0.000001923,
5788900,128.689240,28.250000,100.439240,130.000000,1.371506,0.000000,2.546455,0.000001924,
5789000,128.689240,28.750000,99.939240,130.000000,1.371506,0.000000,2.546104,0.000001929,
5789100,128.689240,28.750000,99.939240,130.000000,1.371506,0.000000,2.545774,0.000001942,
5789200,128.844620,28.750000,100.094620,130.000000,1.371506,0.000000,2.545486,0.000001949,
5789300,128.844620,28.500000,100.344620,130.000000,1.155380,0.000000,2.545150,0.000001960,
