time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
1326600,129.563400,29.000000,100.563400,130.000000,0.373199,0.201440,2.563403,0.000001996,
1326700,129.563400,29.000000,100.563400,130.000000,0.373199,0.201440,2.563388,0.000002006,
1326800,129.563400,29.000000,100.563400,130.000000,0.373199,0.201440,2.563373,0.000001976,
1326900,129.406708,29.000000,100.406708,130.000000,0.436600,0.150720,2.563375,0.000001993,
1327000,129.406708,28.750000,100.656708,130.000000,0.436600,0.150720,2.563399,0.000002023,
1327100,129.406708,28.750000,100.656708,130.000000,0.436600,0.150720,2.563434,0.000002007,
1327200,129.578354,28.750000,100.828354,130.000000,0.436600,0.150720,2.563410,0.000001995,
1327300,129.578354,28.500000,101.078354,130.000000,0.421646,0.162683,2.563406,0.000001995,
1327400,129.578354,28.500000,101.078354,130.000000,0.421646,0.162683,2.563394,0.000001985,
1327500,129.664185,28.500000,101.164185,130.000000,0.421646,0.162683,2.563422,0.000001975,
1327600,129.664185,28.500000,101.164185,130.000000,0.421646,0.162683,2.563465,0.000001969,
1327700,129.664185,28.500000,101.164185,130.000000,0.335815,0.231348,2.563527,0.000001989,
1327800,129.707092,28.500000,101.207092,130.000000,0.335815,0.231348,2.563584,0.000002005,
1327900,129.707092,29.000000,100.707092,130.000000,0.335815,0.231348,2.563606,0.000001963,
1328000,129.707092,29.000000,100.707092,130.000000,0.335815,0.231348,2.563655,0.000001950,
1328100,129.728546,29.000000,100.728546,130.000000,0.292908,0.265674,2.563671,0.000001937,
1328200,129.728546,29.000000,100.728546,130.000000,0.292908,0.265674,2.563673,0.000001960,
1328300,129.728546,29.000000,100.728546,130.000000,0.292908,0.265674,2.563741,0.000001974,
1328400,129.739273,29.000000,100.739273,130.000000,0.292908,0.265674,2.563733,0.000001996,
1328500,129.739273,29.000000,100.739273,130.000000,0.260727,0.291418,2.563747,0.000001998,
1328600,129.739273,29.000000,100.739273,130.000000,0.260727,0.291418,2.563754,0.000002007,
1328700,129.744629,29.000000,100.744629,130.000000,0.260727,0.291418,2.563782,0.000001977,
1328800,129.744629,29.250000,100.494629,130.000000,0.260727,0.291418,2.563850,0.000001975,
1328900,129.744629,29.250000,100.494629,130.000000,0.255371,0.295703,2.563893,0.000001975,
1329000,129.747314,29.250000,100.497314,130.000000,0.255371,0.295703,2.563895,0.000001991,
1329100,129.747314,29.000000,100.747314,130.000000,0.255371,0.295703,2.563929,0.000001969,
1329200,129.747314,29.000000,100.747314,0.000000,0.255371,0.295703,2.563913,0.000001955,
1329300,129.748657,29.000000,100.748657,0.000000,-129.747314,1.000000,2.563915,0.000001963,
1329400,129.748657,29.000000,100.748657,0.000000,-129.747314,1.000000,2.563925,0.000001997,
1329500,129.748657,29.000000,100.748657,0.000000,-129.747314,1.000000,2.563987,0.000001997,
1329600,129.624329,29.000000,100.624329,0.000000,-129.747314,1.000000,2.564046,0.000002013,
1329700,129.624329,28.750000,100.874329,0.000000,-129.624329,1.000000,2.564077,0.000002020,
1329800,129.624329,28.750000,100.874329,0.000000,-129.624329,1.000000,2.564108,0.000002023,
1329900,129.562164,28.750000,100.812164,0.000000,-129.624329,1.000000,2.564132,0.000002039,
1330000,129.562164,29.000000,100.562164,0.000000,-129.624329,1.000000,2.564091,0.000002043,
1330100,129.562164,29.000000,100.562164,0.000000,-129.562164,1.000000,2.564079,0.000002046,
1330200,129.656082,29.000000,100.656082,0.000000,-129.562164,1.000000,2.564116,0.000002078,
1330300,129.656082,29.250000,100.406082,0.000000,-129.562164,1.000000,2.564127,0.000002094,
1330400,129.656082,29.250000,100.406082,0.000000,-129.562164,1.000000,2.564128,0.000002101,
1330500,129.578033,29.250000,100.328033,0.000000,-129.656082,1.000000,2.564173,0.000002125,
1330600,129.578033,29.250000,100.328033,0.000000,-129.656082,1.000000,2.564174,0.000002116,
1330700,129.578033,29.250000,100.328033,0.000000,-129.656082,1.000000,2.564213,0.000002126,
1330800,129.414017,29.250000,100.164017,0.000000,-129.656082,1.000000,2.564229,0.000002133,
1330900,129.414017,29.000000,100.414017,0.000000,-129.414017,1.000000,2.564260,0.000002130,
1331000,129.414017,29.000000,100.414017,0.000000,-129.414017,1.000000,2.564242,0.000002126,
1331100,129.582001,29.000000,100.582001,0.000000,-129.414017,1.000000,2.564246,0.000002132,
1331200,129.666000,29.000000,100.666000,0.000000,-129.414017,1.000000,2.564264,0.000002163,
1331300,129.666000,28.750000,100.916000,0.000000,-129.666000,1.000000,2.564304,0.000002176,
1331400,129.666000,28.750000,100.916000,0.000000,-129.666000,1.000000,2.564339,0.000002179,
1331500,129.708008,28.750000,100.958008,0.000000,-129.666000,1.000000,2.564354,0.000002161,
1331600,129.708008,29.250000,100.458008,0.000000,-129.666000,1.000000,2.564345,0.000002164,
1331700,129.708008,29.250000,100.458008,0.000000,-129.708008,1.000000,2.564330,0.000002153,
1331800,129.604004,29.250000,100.354004,0.000000,-129.708008,1.000000,2.564344,0.000002172,
1331900,129.604004,29.000000,100.604004,0.000000,-129.708008,1.000000,2.564349,0.000002153,
1332000,129.604004,29.000000,100.604004,0.000000,-129.708008,1.000000,2.564342,0.000002167,
1332100,129.677002,29.000000,100.677002,0.000000,-129.604004,1.000000,2.564333,0.000002157,
1332200,129.677002,29.000000,100.677002,0.000000,-129.604004,1.000000,2.564292,0.000002156,
1332300,129.677002,29.000000,100.677002,0.000000,-129.604004,1.000000,2.564205,0.000002158,
1332400,129.588501,29.000000,100.588501,0.000000,-129.604004,1.000000,2.564110,0.000002146,
1332500,129.588501,29.000000,100.588501,0.000000,-129.588501,1.000000,2.564092,0.000002180,
1332600,129.588501,29.000000,100.588501,0.000000,-129.588501,1.000000,2.564062,0.000002179,
1332700,129.419250,29.000000,100.419250,0.000000,-129.588501,1.000000,2.564037,0.000002165,
1332800,129.419250,29.000000,100.419250,0.000000,-129.588501,1.000000,2.564032,0.000002133,
1332900,129.419250,29.000000,100.419250,0.000000,-129.419250,1.000000,2.563950,0.000002118,
1333000,129.584625,29.000000,100.584625,0.000000,-129.419250,1.000000,2.563920,0.000002139,
1333100,129.584625,29.000000,100.584625,0.000000,-129.419250,1.000000,2.563804,0.000002142,
1333200,129.584625,29.000000,100.584625,0.000000,-129.419250,1.000000,2.563753,0.000002175,
1333300,129.542313,29.000000,100.542313,0.000000,-129.584625,1.000000,2.563703,0.000002184,
1333400,129.542313,29.000000,100.542313,0.000000,-129.584625,1.000000,2.563584,0.000002185,
1333500,129.542313,29.000000,100.542313,0.000000,-129.584625,1.000000,2.563512,0.000002166,
1333600,129.396149,29.000000,100.396149,0.000000,-129.584625,1.000000,2.563390,0.000002174,
1333700,129.396149,28.750000,100.646149,0.000000,-129.396149,1.000000,2.563386,0.000002159,
1333800,129.396149,28.750000,100.646149,0.000000,-129.396149,1.000000,2.563314,0.000002144,
1333900,129.448074,28.750000,100.698074,0.000000,-129.396149,1.000000,2.563230,0.000002140,
1334000,129.448074,29.500000,99.948074,0.000000,-129.396149,1.000000,2.563106,0.000002115,
1334100,129.448074,29.500000,99.948074,0.000000,-129.448074,1.000000,2.562981,0.000002102,
1334200,129.474030,29.500000,99.974030,0.000000,-129.448074,1.000000,2.562804,0.000002086,
