time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
5049100,29.539007,26.750000,2.789007,0.000000,-29.578014,1.000000,0.062269,0.000001857,
5049200,29.519505,26.750000,2.769505,0.000000,-29.578014,1.000000,0.062269,0.000001857,
5049300,29.519505,27.000000,2.519505,0.000000,-29.519505,1.000000,0.062253,0.000001836,
5049400,29.519505,27.000000,2.519505,0.000000,-29.519505,1.000000,0.062223,0.000001835,
5049500,29.384752,27.000000,2.384752,0.000000,-29.519505,1.000000,0.062211,0.000001855,
5049600,29.384752,26.750000,2.634752,0.000000,-29.519505,1.000000,0.062210,0.000001861,
5049700,29.384752,26.750000,2.634752,0.000000,-29.384752,1.000000,0.062218,0.000001875,
5049800,29.317375,26.750000,2.567375,0.000000,-29.384752,1.000000,0.062198,0.000001875,
5049900,29.317375,27.000000,2.317375,0.000000,-29.384752,1.000000,0.062214,0.000001873,
5050000,29.317375,27.000000,2.317375,0.000000,-29.384752,1.000000,0.062162,0.000001888,
5050100,29.408688,27.000000,2.408688,0.000000,-29.317375,1.000000,0.062156,0.000001905,
5050200,29.408688,27.250000,2.158688,0.000000,-29.317375,1.000000,0.062116,0.000001917,
5050300,29.408688,27.250000,2.158688,0.000000,-29.317375,1.000000,0.062122,0.000001937,
5050400,29.454344,27.250000,2.204344,0.000000,-29.317375,1.000000,0.062146,0.000001941,
5050500,29.454344,27.000000,2.454344,0.000000,-29.454344,1.000000,0.062118,0.000001927,
5050600,29.454344,27.000000,2.454344,0.000000,-29.454344,1.000000,0.062147,0.000001926,
5050700,29.352173,27.000000,2.352173,0.000000,-29.454344,1.000000,0.062105,0.000001919,
5050800,29.352173,26.750000,2.602173,0.000000,-29.454344,1.000000,0.062090,0.000001945,
5050900,29.352173,26.750000,2.602173,0.000000,-29.352173,1.000000,0.062127,0.000001939,
5051000,29.426086,26.750000,2.676086,0.000000,-29.352173,1.000000,0.062106,0.000001962,
5051100,29.426086,27.000000,2.426086,0.000000,-29.352173,1.000000,0.062105,0.000001959,
5051200,29.426086,27.000000,2.426086,0.000000,-29.352173,1.000000,0.062047,0.000001962,
5051300,29.463043,27.000000,2.463043,0.000000,-29.426086,1.000000,0.062068,0.000001982,
5051400,29.463043,26.750000,2.713043,0.000000,-29.426086,1.000000,0.062049,0.000001958,
5051500,29.463043,26.750000,2.713043,0.000000,-29.426086,1.000000,0.062017,0.000001944,
5051600,29.481522,26.750000,2.731522,0.000000,-29.426086,1.000000,0.061999,0.000001968,
5051700,29.481522,26.500000,2.981522,0.000000,-29.481522,1.000000,0.062016,0.000001957,
5051800,29.481522,26.500000,2.981522,0.000000,-29.481522,1.000000,0.061988,0.000001951,
5051900,29.490761,26.500000,2.990761,0.000000,-29.481522,1.000000,0.061964,0.000001973,
5052000,29.490761,27.000000,2.490761,0.000000,-29.481522,1.000000,0.061973,0.000001970,
5052100,29.490761,27.000000,2.490761,0.000000,-29.490761,1.000000,0.061987,0.000001954,
5052200,29.495380,27.000000,2.495380,0.000000,-29.490761,1.000000,0.061997,0.000001950,
5052300,29.495380,26.750000,2.745380,0.000000,-29.490761,1.000000,0.061972,0.000001928,
5052400,29.495380,26.750000,2.745380,0.000000,-29.490761,1.000000,0.061922,0.000001915,
5052500,29.247690,26.750000,2.497690,0.000000,-29.495380,1.000000,0.061916,0.000001908,
5052600,29.247690,26.250000,2.997690,0.000000,-29.495380,1.000000,0.061893,0.000001918,
5052700,29.247690,26.250000,2.997690,0.000000,-29.495380,1.000000,0.061890,0.000001944,
5052800,29.373844,26.250000,3.123844,0.000000,-29.495380,1.000000,0.061873,0.000001952,
5052900,29.373844,27.000000,2.373844,0.000000,-29.373844,1.000000,0.061847,0.000001950,
5053000,29.373844,27.000000,2.373844,0.000000,-29.373844,1.000000,0.061828,0.000001936,
5053100,29.311922,27.000000,2.311922,0.000000,-29.373844,1.000000,0.061828,0.000001913,
5053200,29.311922,27.000000,2.311922,130.000000,-29.373844,1.000000,0.061817,0.000001908,
5053300,29.311922,27.000000,2.311922,130.000000,100.688080,0.000000,0.061811,0.000001909,
5053400,29.280960,27.000000,2.280960,130.000000,100.688080,0.000000,0.061811,0.000001905,
5053500,29.280960,27.000000,2.280960,130.000000,100.688080,0.000000,0.061807,0.000001876,
5053600,29.280960,27.000000,2.280960,130.000000,100.688080,0.000000,0.061797,0.000001875,
5053700,29.515480,27.000000,2.515480,130.000000,100.719040,0.000000,0.061747,0.000001888,
5053800,29.515480,26.250000,3.265480,130.000000,100.719040,0.000000,0.061771,0.000001869,
5053900,29.515480,26.250000,3.265480,130.000000,100.719040,0.000000,0.061699,0.000001852,
5054000,29.507740,26.250000,3.257740,130.000000,100.719040,0.000000,0.061669,0.000001844,
5054100,29.507740,27.000000,2.507740,130.000000,100.492264,0.000000,0.061659,0.000001839,
5054200,29.507740,27.000000,2.507740,130.000000,100.492264,0.000000,0.061637,0.000001833,
5054300,29.503870,27.000000,2.503870,130.000000,100.492264,0.000000,0.061640,0.000001807,
5054400,29.503870,27.000000,2.503870,130.000000,100.492264,0.000000,0.061609,0.000001816,
5054500,29.503870,27.000000,2.503870,130.000000,100.496132,0.000000,0.061553,0.000001815,
5054600,29.376934,27.000000,2.376934,130.000000,100.496132,0.000000,0.061574,0.000001804,
5054700,29.376934,26.750000,2.626934,130.000000,100.496132,0.000000,0.061519,0.000001810,
5054800,29.376934,26.750000,2.626934,130.000000,100.496132,0.000000,0.061534,0.000001818,
5054900,29.563467,26.750000,2.813467,130.000000,100.623062,0.000000,0.061560,0.000001801,
5055000,29.563467,27.000000,2.563467,130.000000,100.623062,0.000000,0.061565,0.000001790,
5055100,29.563467,27.000000,2.563467,130.000000,100.623062,0.000000,0.061570,0.000001794,
5055200,29.531734,27.000000,2.531734,130.000000,100.623062,0.000000,0.061565,0.000001790,
5055300,29.531734,26.750000,2.781734,130.000000,100.468262,0.000000,0.061587,0.000001785,
5055400,29.531734,26.750000,2.781734,130.000000,100.468262,0.000000,0.061578,0.000001777,
5055500,29.515867,26.750000,2.765867,130.000000,100.468262,0.000000,0.061588,0.000001791,
5055600,29.515867,26.500000,3.015867,130.000000,100.468262,0.000000,0.061581,0.000001785,
5055700,29.515867,26.500000,3.015867,130.000000,100.484131,0.000000,0.061560,0.000001798,
5055800,29.382935,26.500000,2.882935,130.000000,100.484131,0.000000,0.061586,0.000001810,
5055900,29.382935,26.750000,2.632935,130.000000,100.484131,0.000000,0.061596,0.000001768,
5056000,29.382935,26.750000,2.632935,130.000000,100.484131,0.000000,0.061654,0.000001770,
5056100,29.316467,26.750000,2.566467,130.000000,100.617065,0.000000,0.061702,0.000001750,
5056200,29.316467,27.000000,2.316467,130.000000,100.617065,0.000000,0.061761,0.000001758,
5056300,29.316467,27.000000,2.316467,130.000000,100.617065,0.000000,0.061829,0.000001750,
5056400,29.408234,27.000000,2.408234,130.000000,100.617065,0.000000,0.061850,0.000001738,
5056500,29.408234,27.000000,2.408234,130.000000,100.591766,0.000000,0.061976,0.000001771,
