time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
7172500,30.964989,27.750000,3.214989,0.000000,-30.929977,1.000000,0.080990,0.000001820,
7172600,30.964989,27.500000,3.464989,0.000000,-30.929977,1.000000,0.080932,0.000001817,
7172700,30.964989,27.500000,3.464989,0.000000,-30.929977,1.000000,0.080907,0.000001794,
7172800,30.857494,27.500000,3.357494,0.000000,-30.929977,1.000000,0.080881,0.000001795,
7172900,30.857494,27.500000,3.357494,0.000000,-30.857494,1.000000,0.080870,0.000001812,
7173000,30.857494,27.500000,3.357494,0.000000,-30.857494,1.000000,0.080843,0.000001827,
7173100,30.803747,27.500000,3.303747,0.000000,-30.857494,1.000000,0.080833,0.000001854,
7173200,30.803747,27.250000,3.553747,0.000000,-30.857494,1.000000,0.080808,0.000001854,
7173300,30.803747,27.250000,3.553747,0.000000,-30.803747,1.000000,0.080782,0.000001860,
7173400,30.776875,27.250000,3.526875,0.000000,-30.803747,1.000000,0.080794,0.000001835,
7173500,30.776875,27.750000,3.026875,0.000000,-30.803747,1.000000,0.080764,0.000001825,
7173600,30.776875,27.750000,3.026875,0.000000,-30.803747,1.000000,0.080745,0.000001832,
7173700,30.513437,27.750000,2.763437,0.000000,-30.776875,1.000000,0.080692,0.000001873,
7173800,30.513437,27.250000,3.263437,0.000000,-30.776875,1.000000,0.080653,0.000001880,
7173900,30.513437,27.250000,3.263437,0.000000,-30.776875,1.000000,0.080635,0.000001872,
7174000,30.756718,27.250000,3.506718,0.000000,-30.776875,1.000000,0.080606,0.000001890,
7174100,30.756718,27.250000,3.506718,0.000000,-30.756718,1.000000,0.080592,0.000001897,
7174200,30.756718,27.250000,3.506718,0.000000,-30.756718,1.000000,0.080590,0.000001924,
7174300,30.628359,27.250000,3.378359,0.000000,-30.756718,1.000000,0.080558,0.000001930,
7174400,30.628359,27.500000,3.128359,0.000000,-30.756718,1.000000,0.080569,0.000001921,
7174500,30.628359,27.500000,3.128359,0.000000,-30.628359,1.000000,0.080528,0.000001945,
7174600,30.814178,27.500000,3.314178,0.000000,-30.628359,1.000000,0.080526,0.000001961,
7174700,30.814178,27.500000,3.314178,0.000000,-30.628359,1.000000,0.080538,0.000001944,
7174800,30.814178,27.500000,3.314178,130.000000,-30.628359,1.000000,0.080514,0.000001954,
7174900,30.782089,27.500000,3.282089,130.000000,99.185822,0.000000,0.080462,0.000001938,
7175000,30.782089,27.250000,3.532089,130.000000,99.185822,0.000000,0.080423,0.000001911,
7175100,30.782089,27.250000,3.532089,130.000000,99.185822,0.000000,0.080408,0.000001901,
7175200,30.891045,27.250000,3.641045,130.000000,99.185822,0.000000,0.080385,0.000001893,
7175300,30.891045,27.500000,3.391045,130.000000,99.108955,0.000000,0.080337,0.000001865,
7175400,30.891045,27.500000,3.391045,130.000000,99.108955,0.000000,0.080289,0.000001831,
7175500,30.570522,27.500000,3.070522,130.000000,99.108955,0.000000,0.080271,0.000001826,
7175600,30.570522,27.250000,3.320522,130.000000,99.108955,0.000000,0.080249,0.000001785,
7175700,30.570522,27.250000,3.320522,130.000000,99.429474,0.000000,0.080217,0.000001780,
7175800,30.785261,27.250000,3.535261,130.000000,99.429474,0.000000,0.080181,0.000001780,
7175900,30.785261,27.750000,3.035261,130.000000,99.429474,0.000000,0.080131,0.000001777,
7176000,30.785261,27.750000,3.035261,130.000000,99.429474,0.000000,0.080156,0.000001764,
7176100,30.892632,27.750000,3.142632,130.000000,99.214737,0.000000,0.080169,0.000001744,
7176200,30.892632,27.500000,3.392632,130.000000,99.214737,0.000000,0.080158,0.000001740,
7176300,30.892632,27.500000,3.392632,130.000000,99.214737,0.000000,0.080129,0.000001735,
7176400,30.696316,27.500000,3.196316,130.000000,99.214737,0.000000,0.080134,0.000001727,
7176500,30.696316,27.250000,3.446316,130.000000,99.303680,0.000000,0.080137,0.000001717,
7176600,30.696316,27.250000,3.446316,130.000000,99.303680,0.000000,0.080109,0.000001724,
7176700,30.848158,27.250000,3.598158,130.000000,99.303680,0.000000,0.080073,0.000001724,
7176800,30.848158,27.000000,3.848158,130.000000,99.303680,0.000000,0.080082,0.000001731,
7176900,30.848158,27.000000,3.848158,130.000000,99.151840,0.000000,0.080075,0.000001729,
7177000,30.924080,27.000000,3.924080,130.000000,99.151840,0.000000,0.080095,0.000001732,
7177100,30.924080,27.750000,3.174080,130.000000,99.151840,0.000000,0.080121,0.000001752,
7177200,30.924080,27.750000,3.174080,130.000000,99.151840,0.000000,0.080097,0.000001786,
7177300,30.837040,27.750000,3.087040,130.000000,99.075920,0.000000,0.080080,0.000001764,
7177400,30.837040,27.250000,3.587040,130.000000,99.075920,0.000000,0.080084,0.000001750,
7177500,30.837040,27.250000,3.587040,130.000000,99.075920,0.000000,0.080111,0.000001748,
7177600,30.668520,27.250000,3.418520,130.000000,99.075920,0.000000,0.080124,0.000001746,
7177700,30.668520,27.250000,3.418520,130.000000,99.331482,0.000000,0.080127,0.000001733,
7177800,30.668520,27.250000,3.418520,130.000000,99.331482,0.000000,0.080114,0.000001734,
7177900,30.834259,27.250000,3.584259,130.000000,99.331482,0.000000,0.080142,0.000001725,
7178000,30.834259,27.750000,3.084259,130.000000,99.331482,0.000000,0.080197,0.000001737,
7178100,30.834259,27.750000,3.084259,130.000000,99.165741,0.000000,0.080192,0.000001742,
7178200,30.917130,27.750000,3.167130,130.000000,99.165741,0.000000,0.080238,0.000001755,
7178300,30.917130,26.750000,4.167130,130.000000,99.165741,0.000000,0.080294,0.000001773,
7178400,30.917130,26.750000,4.167130,130.000000,99.165741,0.000000,0.080373,0.000001773,
7178500,30.833565,26.750000,4.083565,130.000000,99.082870,0.000000,0.080399,0.000001778,
