time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
109100,24.215408,24.000000,0.215408,0.000000,-24.180819,1.000000,0.000218,0.000002006,
109200,24.215408,24.000000,0.215408,0.000000,-24.180819,1.000000,0.000209,0.000002002,
109300,23.982704,24.000000,-0.017296,0.000000,-24.215408,1.000000,0.000218,0.000001990,
109400,23.982704,24.000000,-0.017296,0.000000,-24.215408,1.000000,0.000269,0.000001983,
109500,23.982704,24.000000,-0.017296,0.000000,-24.215408,1.000000,0.000256,0.000001957,
109600,24.116352,24.000000,0.116352,0.000000,-24.215408,1.000000,0.000250,0.000001951,
109700,24.116352,24.000000,0.116352,0.000000,-24.116352,1.000000,0.000241,0.000001939,
109800,24.116352,24.000000,0.116352,0.000000,-24.116352,1.000000,0.000233,0.000001958,
109900,23.933176,24.000000,-0.066824,0.000000,-24.116352,1.000000,0.000229,0.000001957,
110000,23.933176,24.250000,-0.316824,0.000000,-24.116352,1.000000,0.000221,0.000001967,
110100,23.933176,24.250000,-0.316824,0.000000,-23.933176,1.000000,0.000203,0.000001946,
110200,24.091587,24.250000,-0.158413,0.000000,-23.933176,1.000000,0.000194,0.000001950,
110300,24.091587,24.000000,0.091587,0.000000,-23.933176,1.000000,0.000194,0.000001933,
110400,24.091587,24.000000,0.091587,0.000000,-23.933176,1.000000,0.000181,0.000001923,
110500,23.920794,24.000000,-0.079206,0.000000,-24.091587,1.000000,0.000185,0.000001901,
110600,23.920794,24.000000,-0.079206,0.000000,-24.091587,1.000000,0.000171,0.000001898,
110700,23.920794,24.000000,-0.079206,0.000000,-24.091587,1.000000,0.000176,0.000001910,
110800,23.835396,24.000000,-0.164604,0.000000,-24.091587,1.000000,0.000163,0.000001930,
110900,23.835396,23.500000,0.335396,0.000000,-23.835396,1.000000,0.000151,0.000001938,
111000,23.835396,23.500000,0.335396,0.000000,-23.835396,1.000000,0.000144,0.000001927,
111100,23.917698,23.500000,0.417698,0.000000,-23.835396,1.000000,0.000142,0.000001931,
111200,23.917698,23.750000,0.167698,0.000000,-23.835396,1.000000,0.000143,0.000001957,
111300,23.917698,23.750000,0.167698,0.000000,-23.917698,1.000000,0.000139,0.000001958,
111400,24.083849,23.750000,0.333849,0.000000,-23.917698,1.000000,0.000166,0.000001962,
111500,24.083849,24.000000,0.083849,0.000000,-23.917698,1.000000,0.000166,0.000001943,
111600,24.083849,24.000000,0.083849,0.000000,-23.917698,1.000000,0.000168,0.000001955,
111700,24.041924,24.000000,0.041924,0.000000,-24.083849,1.000000,0.000165,0.000001947,
111800,24.041924,23.750000,0.291924,0.000000,-24.083849,1.000000,0.000167,0.000001964,
111900,24.041924,23.750000,0.291924,0.000000,-24.083849,1.000000,0.000165,0.000002006,
112000,24.145962,23.750000,0.395962,0.000000,-24.083849,1.000000,0.000163,0.000002023,
112100,24.145962,23.500000,0.645962,0.000000,-24.145962,1.000000,0.000153,0.000002060,
112200,24.145962,23.500000,0.645962,130.000000,-24.145962,1.000000,0.000162,0.000002033,
112300,24.072981,23.500000,0.572981,130.000000,-24.145962,1.000000,0.000152,0.000002042,
112400,24.072981,23.750000,0.322981,130.000000,-24.145962,1.000000,0.000162,0.000002058,
112500,24.072981,23.750000,0.322981,130.000000,105.927017,0.000000,0.000153,0.000002027,
112600,24.036491,23.750000,0.286491,130.000000,105.927017,0.000000,0.000150,0.000002010,
112700,24.036491,23.500000,0.536491,130.000000,105.927017,0.000000,0.000189,0.000001975,
112800,24.036491,23.500000,0.536491,130.000000,105.927017,0.000000,0.000199,0.000001962,
112900,24.018246,23.500000,0.518246,130.000000,105.963509,0.000000,0.000190,0.000001950,
113000,24.018246,23.750000,0.268246,130.000000,105.963509,0.000000,0.000194,0.000001951,
113100,24.018246,23.750000,0.268246,130.000000,105.963509,0.000000,0.000188,0.000001924,
113200,24.009123,23.750000,0.259123,130.000000,105.963509,0.000000,0.000185,0.000001913,
113300,24.009123,24.000000,0.009123,130.000000,105.990875,0.000000,0.000171,0.000001930,
113400,24.009123,24.000000,0.009123,130.000000,105.990875,0.000000,0.000162,0.000001909,
113500,24.004562,24.000000,0.004562,130.000000,105.990875,0.000000,0.000168,0.000001887,
113600,24.004562,23.750000,0.254562,130.000000,105.990875,0.000000,0.000164,0.000001885,
113700,24.004562,23.750000,0.254562,130.000000,105.995438,0.000000,0.000151,0.000001851,
113800,24.127281,23.750000,0.377281,130.000000,105.995438,0.000000,0.000144,0.000001830,
113900,24.127281,24.000000,0.127281,130.000000,105.995438,0.000000,0.000144,0.000001826,
114000,24.127281,24.000000,0.127281,130.000000,105.995438,0.000000,0.000135,0.000001839,
114100,24.063641,24.000000,0.063641,130.000000,105.872719,0.000000,0.000130,0.000001810,
114200,24.063641,23.500000,0.563641,130.000000,105.872719,0.000000,0.000132,0.000001810,
114300,24.063641,23.500000,0.563641,130.000000,105.872719,0.000000,0.000131,0.000001792,
114400,23.656820,23.500000,0.156820,130.000000,105.872719,0.000000,0.000124,0.000001763,
114500,23.656820,24.000000,-0.343180,130.000000,106.343178,0.000000,0.000119,0.000001756,
114600,23.656820,24.000000,-0.343180,130.000000,106.343178,0.000000,0.000113,0.000001735,
114700,23.828411,24.000000,-0.171589,130.000000,106.343178,0.000000,0.000124,0.000001721,
114800,23.828411,23.750000,0.078411,130.000000,106.343178,0.000000,0.000140,0.000001722,
114900,23.828411,23.750000,0.078411,130.000000,106.171585,0.000000,0.000140,0.000001740,
115000,23.914206,23.750000,0.164206,130.000000,106.171585,0.000000,0.000135,0.000001752,
115100,23.914206,23.500000,0.414206,130.000000,106.171585,0.000000,0.000131,0.000001755,
115200,23.914206,23.500000,0.414206,130.000000,106.171585,0.000000,0.000151,0.000001740,
