time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
4740800,28.318512,25.250000,3.068512,0.000000,-28.274044,1.000000,0.077276,0.000001997,
4740900,28.318512,25.250000,3.068512,0.000000,-28.318512,1.000000,0.077287,0.000002006,
4741000,28.318512,25.250000,3.068512,0.000000,-28.318512,1.000000,0.077246,0.000001995,
4741100,28.409256,25.250000,3.159256,0.000000,-28.318512,1.000000,0.077278,0.000001984,
4741200,28.409256,25.000000,3.409256,0.000000,-28.318512,1.000000,0.077236,0.000001990,
4741300,28.409256,25.000000,3.409256,0.000000,-28.409256,1.000000,0.077220,0.000001978,
4741400,28.329628,25.000000,3.329628,0.000000,-28.409256,1.000000,0.077233,0.000001962,
4741500,28.329628,25.250000,3.079628,0.000000,-28.409256,1.000000,0.077209,0.000001943,
4741600,28.329628,25.250000,3.079628,0.000000,-28.409256,1.000000,0.077201,0.000001959,
4741700,28.289814,25.250000,3.039814,0.000000,-28.329628,1.000000,0.077212,0.000001973,
4741800,28.289814,25.250000,3.039814,0.000000,-28.329628,1.000000,0.077166,0.000002001,
4741900,28.289814,25.250000,3.039814,0.000000,-28.329628,1.000000,0.077137,0.000002001,
4742000,28.269907,25.250000,3.019907,0.000000,-28.329628,1.000000,0.077139,0.000002016,
4742100,28.269907,25.250000,3.019907,0.000000,-28.269907,1.000000,0.077156,0.000001980,
4742200,28.269907,25.250000,3.019907,0.000000,-28.269907,1.000000,0.077140,0.000001980,
4742300,28.259953,25.250000,3.009953,0.000000,-28.269907,1.000000,0.077122,0.000001968,
4742400,28.259953,24.750000,3.509953,0.000000,-28.269907,1.000000,0.077109,0.000001986,
4742500,28.259953,24.750000,3.509953,0.000000,-28.259953,1.000000,0.077092,0.000001959,
4742600,28.254976,24.750000,3.504976,0.000000,-28.259953,1.000000,0.077080,0.000001996,
4742700,28.254976,25.000000,3.254976,0.000000,-28.259953,1.000000,0.077079,0.000001991,
4742800,28.254976,25.000000,3.254976,0.000000,-28.259953,1.000000,0.077051,0.000002011,
4742900,28.252487,25.000000,3.252487,0.000000,-28.254976,1.000000,0.076997,0.000002016,
4743000,28.252487,25.000000,3.252487,0.000000,-28.254976,1.000000,0.076963,0.000002001,
4743100,28.252487,25.000000,3.252487,0.000000,-28.254976,1.000000,0.076900,0.000002006,
4743200,28.251244,25.000000,3.251244,0.000000,-28.254976,1.000000,0.076924,0.000002021,
4743300,28.251244,25.250000,3.001244,0.000000,-28.251244,1.000000,0.076903,0.000002007,
4743400,28.251244,25.250000,3.001244,0.000000,-28.251244,1.000000,0.076904,0.000001979,
4743500,28.125622,25.250000,2.875622,0.000000,-28.251244,1.000000,0.076865,0.000001962,
4743600,28.125622,25.250000,2.875622,0.000000,-28.251244,1.000000,0.076886,0.000001961,
4743700,28.125622,25.250000,2.875622,0.000000,-28.125622,1.000000,0.076836,0.000001944,
4743800,28.187811,25.250000,2.937811,0.000000,-28.125622,1.000000,0.076779,0.000001954,
4743900,28.187811,24.500000,3.687811,130.000000,-28.125622,1.000000,0.076766,0.000001962,
4744000,28.187811,24.500000,3.687811,130.000000,-28.125622,1.000000,0.076754,0.000001959,
4744100,28.218906,24.500000,3.718906,130.000000,101.812187,0.000000,0.076712,0.000001943,
4744200,28.218906,25.000000,3.218906,130.000000,101.812187,0.000000,0.076709,0.000001960,
4744300,28.218906,25.000000,3.218906,130.000000,101.812187,0.000000,0.076739,0.000001956,
4744400,28.234453,25.000000,3.234453,130.000000,101.812187,0.000000,0.076748,0.000001948,
4744500,28.234453,25.250000,2.984453,130.000000,101.765549,0.000000,0.076684,0.000001935,
4744600,28.234453,25.250000,2.984453,130.000000,101.765549,0.000000,0.076685,0.000001943,
4744700,28.117226,25.250000,2.867226,130.000000,101.765549,0.000000,0.076709,0.000001910,
4744800,28.117226,25.250000,2.867226,130.000000,101.765549,0.000000,0.076751,0.000001885,
4744900,28.117226,25.250000,2.867226,130.000000,101.882774,0.000000,0.076733,0.000001875,
4745000,28.308613,25.250000,3.058613,130.000000,101.882774,0.000000,0.076713,0.000001876,
4745100,28.308613,25.250000,3.058613,130.000000,101.882774,0.000000,0.076693,0.000001888,
4745200,28.308613,25.250000,3.058613,130.000000,101.882774,0.000000,0.076669,0.000001885,
4745300,28.404306,25.250000,3.154306,130.000000,101.691391,0.000000,0.076692,0.000001880,
4745400,28.404306,25.250000,3.154306,130.000000,101.691391,0.000000,0.076699,0.000001868,
4745500,28.404306,25.250000,3.154306,130.000000,101.691391,0.000000,0.076680,0.000001867,
4745600,28.327152,25.250000,3.077152,130.000000,101.691391,0.000000,0.076648,0.000001858,
4745700,28.327152,25.250000,3.077152,130.000000,101.672852,0.000000,0.076636,0.000001888,
4745800,28.327152,25.250000,3.077152,130.000000,101.672852,0.000000,0.076615,0.000001884,
4745900,28.288576,25.250000,3.038576,130.000000,101.672852,0.000000,0.076550,0.000001876,
4746000,28.288576,24.750000,3.538576,130.000000,101.672852,0.000000,0.076557,0.000001860,
4746100,28.288576,24.750000,3.538576,130.000000,101.711426,0.000000,0.076596,0.000001844,
4746200,28.269287,24.750000,3.519287,130.000000,101.711426,0.000000,0.076578,0.000001825,
4746300,28.269287,25.500000,2.769287,130.000000,101.711426,0.000000,0.076595,0.000001805,
4746400,28.269287,25.500000,2.769287,130.000000,101.711426,0.000000,0.076613,0.000001815,
4746500,28.384644,25.500000,2.884644,130.000000,101.730713,0.000000,0.076657,0.000001789,
4746600,28.384644,25.500000,2.884644,130.000000,101.730713,0.000000,0.076658,0.000001780,
4746700,28.384644,25.500000,2.884644,130.000000,101.730713,0.000000,0.076680,0.000001756,
4746800,28.442322,25.500000,2.942322,130.000000,101.730713,0.000000,0.076719,0.000001753,
4746900,28.442322,24.750000,3.692322,130.000000,101.557678,0.000000,0.076757,0.000001773,
4747000,28.442322,24.750000,3.692322,130.000000,101.557678,0.000000,0.076749,0.000001757,
4747100,28.221161,24.750000,3.471161,130.000000,101.557678,0.000000,0.076784,0.000001743,
4747200,28.221161,24.750000,3.471161,130.000000,101.557678,0.000000,0.076833,0.000001734,
4747300,28.221161,24.750000,3.471161,130.000000,101.778839,0.000000,0.076864,0.000001727,
4747400,28.235580,24.750000,3.485580,130.000000,101.778839,0.000000,0.076919,0.000001760,
4747500,28.235580,25.000000,3.235580,130.000000,101.778839,0.000000,0.077006,0.000001765,
4747600,28.235580,25.000000,3.235580,130.000000,101.778839,0.000000,0.077109,0.000001759,
4747700,28.242790,25.000000,3.242790,130.000000,101.764420,0.000000,0.077159,0.000001766,
4747800,28.242790,25.250000,2.992790,130.000000,101.764420,0.000000,0.077219,0.000001810,
4747900,28.242790,25.250000,2.992790,130.000000,101.764420,0.000000,0.077258,0.000001810,
4748000,28.246395,25.250000,2.996395,130.000000,101.764420,0.000000,0.077376,0.000001778,
4748100,28.246395,25.250000,2.996395,130.000000,101.753601,0.000000,0.077533,0.000001764,
4748200,28.246395,25.250000,2.996395,130.000000,101.753601,0.000000,0.077621,0.000001786,
4748300,28.248198,25.250000,2.998198,130.000000,101.753601,0.000000,0.077721,0.000001749,
4748400,28.248198,25.250000,2.998198,130.000000,101.753601,0.000000,0.077811,0.000001746,
4748500,28.248198,25.250000,2.998198,130.000000,101.751801,0.000000,0.077883,0.000001744,
4748600,28.499100,25.250000,3.249100,130.000000,101.751801,0.000000,0.077993,0.000001798,
4748700,28.499100,24.750000,3.749100,130.000000,101.751801,0.000000,0.078100,0.000001815,
4748800,28.499100,24.750000,3.749100,130.000000,101.751801,0.000000,0.078238,0.000001819,
4748900,28.249550,24.750000,3.499550,130.000000,101.500900,0.000000,0.078362,0.000001829,
4749000,28.249550,24.750000,3.499550,130.000000,101.500900,0.000000,0.078491,0.000001802,
4749100,28.249550,24.750000,3.499550,130.000000,101.500900,0.000000,0.078669,0.000001796,
4749200,28.249775,24.750000,3.499775,130.000000,101.500900,0.000000,0.078792,0.000001793,
4749300,28.249775,24.500000,3.749775,130.000000,101.750229,0.000000,0.078936,0.000001815,
4749400,28.249775,24.500000,3.749775,130.000000,101.750229,0.000000,0.079080,0.000001812,
4749500,28.249887,24.500000,3.749887,130.000000,101.750229,0.000000,0.079241,0.000001834,
4749600,28.249887,25.000000,3.249887,130.000000,101.750229,0.000000,0.079401,0.000001825,
4749700,28.249887,25.000000,3.249887,130.000000,101.750114,0.000000,0.079601,0.000001825,
4749800,28.374943,25.000000,3.374943,130.000000,101.750114,0.000000,0.079806,0.000001836,
4749900,28.374943,24.250000,4.124943,130.000000,101.750114,0.000000,0.080016,0.000001818,
4750000,28.374943,24.250000,4.124943,130.000000,101.750114,0.000000,0.080158,0.000001782,
4750100,28.312471,24.250000,4.062471,130.000000,101.625061,0.000000,0.080407,0.000001788,
4750200,28.312471,24.500000,3.812471,130.000000,101.625061,0.000000,0.080652,0.000001781,
