time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
5517700,41.826008,33.500000,8.326008,0.000000,-41.826008,1.000000,0.061118,0.000059407,
5517800,41.913002,33.500000,8.413002,0.000000,-41.826008,1.000000,0.061169,0.000059504,
5517900,41.913002,33.750000,8.163002,0.000000,-41.826008,1.000000,0.061176,0.000059618,
5518000,41.913002,33.750000,8.163002,0.000000,-41.826008,1.000000,0.061261,0.000059742,
5518100,41.956501,33.750000,8.206501,0.000000,-41.913002,1.000000,0.061370,0.000059840,
5518200,41.956501,34.000000,7.956501,0.000000,-41.913002,1.000000,0.061500,0.000059936,
5518300,41.956501,34.000000,7.956501,0.000000,-41.913002,1.000000,0.061522,0.000060007,
5518400,42.103249,34.000000,8.103249,0.000000,-41.913002,1.000000,0.061581,0.000060111,
5518500,42.103249,34.000000,8.103249,0.000000,-42.103249,1.000000,0.061660,0.000060154,
5518600,42.103249,34.000000,8.103249,0.000000,-42.103249,1.000000,0.061720,0.000060247,
5518700,42.176624,34.000000,8.176624,0.000000,-42.103249,1.000000,0.061770,0.000060257,
5518800,42.176624,33.750000,8.426624,0.000000,-42.103249,1.000000,0.061848,0.000060289,
5518900,42.176624,33.750000,8.426624,0.000000,-42.176624,1.000000,0.061939,0.000060421,
5519000,42.213310,33.750000,8.463310,0.000000,-42.176624,1.000000,0.062037,0.000060537,
5519100,42.213310,34.000000,8.213310,0.000000,-42.176624,1.000000,0.062147,0.000060588,
5519200,42.213310,34.000000,8.213310,0.000000,-42.176624,1.000000,0.062195,0.000060731,
5519300,42.106655,34.000000,8.106655,0.000000,-42.213310,1.000000,0.062220,0.000060819,
5519400,42.106655,33.750000,8.356655,0.000000,-42.213310,1.000000,0.062330,0.000060806,
5519500,42.106655,33.750000,8.356655,0.000000,-42.213310,1.000000,0.062474,0.000060930,
5519600,42.178329,33.750000,8.428329,0.000000,-42.213310,1.000000,0.062512,0.000061140,
5519700,42.178329,34.000000,8.178329,0.000000,-42.178329,1.000000,0.062600,0.000061251,
5519800,42.178329,34.000000,8.178329,0.000000,-42.178329,1.000000,0.062605,0.000061324,
