time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
287000,26.413040,26.250000,0.163040,0.000000,-26.326080,1.000000,0.002225,0.000363123,
287100,26.413040,27.000000,-0.586960,0.000000,-26.326080,1.000000,0.002217,0.000363578,
287200,26.413040,27.000000,-0.586960,0.000000,-26.326080,1.000000,0.002211,0.000363865,
287300,26.331520,27.000000,-0.668480,0.000000,-26.413040,1.000000,0.002267,0.000364086,
287400,26.331520,26.500000,-0.168480,0.000000,-26.413040,1.000000,0.002255,0.000363984,
287500,26.331520,26.500000,-0.168480,0.000000,-26.413040,1.000000,0.002222,0.000363639,
287600,26.290760,26.500000,-0.209240,0.000000,-26.413040,1.000000,0.002236,0.000363351,
287700,26.290760,26.750000,-0.459240,0.000000,-26.290760,1.000000,0.002216,0.000363053,
287800,26.290760,26.750000,-0.459240,0.000000,-26.290760,1.000000,0.002212,0.000362865,
287900,26.270380,26.750000,-0.479620,0.000000,-26.290760,1.000000,0.002235,0.000362446,
288000,26.270380,26.250000,0.020380,0.000000,-26.290760,1.000000,0.002257,0.000362432,
288100,26.270380,26.250000,0.020380,0.000000,-26.270380,1.000000,0.002258,0.000362371,
288200,26.260189,26.250000,0.010189,0.000000,-26.270380,1.000000,0.002246,0.000362375,
288300,26.260189,26.750000,-0.489811,0.000000,-26.270380,1.000000,0.002268,0.000362645,
288400,26.260189,26.750000,-0.489811,0.000000,-26.270380,1.000000,0.002239,0.000362777,
288500,26.380095,26.750000,-0.369905,0.000000,-26.260189,1.000000,0.002271,0.000363354,
288600,26.380095,26.500000,-0.119905,0.000000,-26.260189,1.000000,0.002244,0.000363671,
288700,26.380095,26.500000,-0.119905,0.000000,-26.260189,1.000000,0.002237,0.000363536,
288800,26.315048,26.500000,-0.184952,0.000000,-26.260189,1.000000,0.002247,0.000362762,
288900,26.315048,26.750000,-0.434952,0.000000,-26.315048,1.000000,0.002242,0.000361315,
289000,26.315048,26.750000,-0.434952,0.000000,-26.315048,1.000000,0.002230,0.000358300,
289100,26.282524,26.750000,-0.467476,0.000000,-26.315048,1.000000,0.002220,0.000357550,
289200,26.282524,26.750000,-0.467476,0.000000,-26.315048,1.000000,0.002236,0.000356765,
289300,26.282524,26.750000,-0.467476,0.000000,-26.282524,1.000000,0.002262,0.000356309,
289400,26.391262,26.750000,-0.358738,0.000000,-26.282524,1.000000,0.002266,0.000356380,
289500,26.391262,26.500000,-0.108738,0.000000,-26.282524,1.000000,0.002269,0.000354692,
289600,26.391262,26.500000,-0.108738,0.000000,-26.282524,1.000000,0.002273,0.000352663,
289700,26.445631,26.500000,-0.054369,0.000000,-26.391262,1.000000,0.002296,0.000355873,
289800,26.445631,26.500000,-0.054369,0.000000,-26.391262,1.000000,0.002322,0.000358256,
289900,26.445631,26.500000,-0.054369,0.000000,-26.391262,1.000000,0.002349,0.000360284,
290000,26.347816,26.500000,-0.152184,0.000000,-26.391262,1.000000,0.002299,0.000360972,
290100,26.347816,26.750000,-0.402184,0.000000,-26.347816,1.000000,0.002310,0.000356908,
290200,26.347816,26.750000,-0.402184,0.000000,-26.347816,1.000000,0.002368,0.000353219,
290300,26.298908,26.750000,-0.451092,0.000000,-26.347816,1.000000,0.002374,0.000354497,
290400,26.298908,26.500000,-0.201092,0.000000,-26.347816,1.000000,0.002377,0.000357404,
290500,26.298908,26.500000,-0.201092,0.000000,-26.298908,1.000000,0.002409,0.000359658,
290600,26.274454,26.500000,-0.225546,0.000000,-26.298908,1.000000,0.002408,0.000361188,
290700,26.274454,26.500000,-0.225546,0.000000,-26.298908,1.000000,0.002377,0.000362718,
290800,26.274454,26.500000,-0.225546,0.000000,-26.298908,1.000000,0.002346,0.000363495,
290900,26.387226,26.500000,-0.112774,0.000000,-26.274454,1.000000,0.002334,0.000363962,
291000,26.387226,26.000000,0.387226,0.000000,-26.274454,1.000000,0.002314,0.000364579,
291100,26.387226,26.000000,0.387226,0.000000,-26.274454,1.000000,0.002368,0.000364712,
291200,26.318613,26.000000,0.318613,0.000000,-26.274454,1.000000,0.002360,0.000364904,
291300,26.318613,26.750000,-0.431387,0.000000,-26.318613,1.000000,0.002360,0.000364955,
