Frequency,Channel B,Channel D
(kHz),(dBu),(dBu)

0.00000000,-39.85681000,-11.24275000
0.00061035,-47.41970000,-18.77615000
0.00122070,-63.21877000,-34.59741000
0.00183105,-71.76693000,-47.58505000
0.00244141,-73.17781000,-49.28546000
0.00305176,-80.55132000,-57.46319000
0.00366211,-83.74915000,-63.23747000
0.00427246,-86.85393000,-65.98129000
0.00488281,-93.58788000,-68.95227000
0.00549316,-91.07571000,-68.51900000
0.00610352,-84.40350000,-100.50930000
0.00671387,-83.90483000,-67.52991000
0.00732422,-79.36367000,-57.90920000
0.00793457,-76.15665000,-55.09275000
0.00854492,-77.77541000,-58.58541000
0.00915527,-74.90741000,-55.39659000
0.00976563,-72.13698000,-50.72693000
0.01037598,-77.95653000,-57.01566000
0.01098633,-85.03190000,-76.69511000
0.01159668,-82.14610000,-75.17522000
0.01220703,-83.91057000,-60.83374000
0.01281738,-77.78915000,-55.31857000
0.01342773,-78.04471000,-57.18985000
0.01403809,-84.19483000,-57.15076000
0.01464844,-82.00427000,-56.26459000
0.01525879,-80.07718000,-57.43200000
0.01586914,-90.15015000,-68.92905000
0.01647949,-82.68318000,-60.48523000
0.01708984,-82.05117000,-57.64688000
0.01770020,-83.33725000,-56.07421000
0.01831055,-103.83380000,-67.03883000
0.01892090,-80.36516000,-57.60278000
0.01953125,-78.69392000,-55.52582000
0.02014160,-80.80107000,-56.50492000
0.02075195,-84.87543000,-61.93277000
0.02136230,-81.98274000,-61.93988000
0.02197266,-91.27080000,-66.07077000
0.02258301,-87.57198000,-71.88085000
0.02319336,-82.76630000,-60.50995000
0.02380371,-84.72231000,-59.73093000
0.02441406,-79.79276000,-57.14833000
0.02502441,-84.13456000,-62.18714000
0.02563477,-86.41837000,-71.43214000
0.02624512,-81.86245000,-55.75521000
0.02685547,-96.14890000,-64.70866000
0.02746582,-80.74131000,-56.11589000
0.02807617,-79.53306000,-59.02836000
0.02868652,-41.47341000,-17.46552000
0.02929688,-23.03572000,0.93964030
0.02990723,-17.09160000,6.88200200
0.03051758,-20.20710000,3.76699000
0.03112793,-33.94757000,-9.98145800
0.03173828,-74.41403000,-51.86171000
0.03234863,-75.58964000,-52.26357000
0.03295898,-84.43571000,-56.42095000
0.03356934,-85.82161000,-59.63465000
0.03417969,-90.46609000,-67.65217000
0.03479004,-84.29005000,-69.00784000
0.03540039,-94.38040000,-61.08821000
0.03601074,-86.76925000,-62.52116000
0.03662109,-86.43257000,-63.25306000
0.03723145,-84.84474000,-58.17360000
0.03784180,-85.71463000,-61.22553000
0.03845215,-86.31028000,-60.86127000
0.03906250,-89.55888000,-62.05271000
0.03967285,-84.63731000,-59.98210000
0.04028320,-80.53008000,-57.77806000
0.04089355,-79.48111000,-55.01741000
0.04150391,-85.15900000,-57.03249000
0.04211426,-94.49643000,-65.53838000
0.04272461,-90.20309000,-67.59342000
0.04333496,-82.35048000,-60.02962000
0.04394531,-83.86970000,-62.87706000
0.04455566,-87.26535000,-64.76412000
0.04516602,-91.46995000,-70.37197000
0.04577637,-94.16231000,-78.30595000
0.04638672,-89.95934000,-70.63564000
0.04699707,-96.95427000,-64.94148000
0.04760742,-95.68195000,-64.33009000
0.04821777,-100.83280000,-71.45273000
0.04882813,-65.39712000,-42.78181000
0.04943848,-51.18365000,-28.81974000
0.05004883,-47.71087000,-25.42263000
0.05065918,-53.39843000,-31.15195000
0.05126953,-72.75391000,-50.73174000
0.05187988,-94.21368000,-67.97593000
0.05249023,-87.29311000,-68.05547000
0.05310059,-86.21840000,-64.17714000
0.05371094,-87.18318000,-61.70372000
0.05432129,-91.21971000,-64.66720000
0.05493164,-91.65552000,-66.65263000
0.05554199,-88.19640000,-64.41399000
0.05615234,-86.39020000,-63.77905000
0.05676270,-86.09706000,-63.55062000
0.05737305,-86.26836000,-64.07701000
0.05798340,-88.15698000,-63.77816000
0.05859375,-92.27544000,-63.37172000
0.05920410,-80.42554000,-56.96728000
0.05981445,-73.17433000,-47.36788000
0.06042480,-76.12206000,-49.06557000
0.06103516,-89.88226000,-61.01180000
0.06164551,-99.22296000,-91.04886000
0.06225586,-88.37166000,-78.90778000
0.06286621,-83.70642000,-62.19020000
0.06347656,-81.52260000,-58.71250000
0.06408691,-84.00931000,-61.99774000
0.06469727,-88.39851000,-64.31686000
0.06530762,-86.93879000,-63.48438000
0.06591797,-83.60634000,-63.86010000
0.06652832,-85.39588000,-64.11611000
0.06713867,-93.51136000,-69.76600000
0.06774902,-98.55991000,-70.96563000
0.06835938,-95.24079000,-78.54577000
0.06896973,-85.11364000,-66.74850000
0.06958008,-77.74227000,-55.92297000
0.07019043,-76.27676000,-54.27516000
0.07080078,-81.67001000,-61.11738000
0.07141113,-92.06486000,-73.05427000
0.07202148,-92.95866000,-70.68683000
0.07263184,-97.45908000,-78.08977000
0.07324219,-95.19861000,-74.20114000
0.07385254,-94.99780000,-75.48792000
0.07446289,-89.41264000,-61.51579000
0.07507324,-87.75379000,-59.86747000
0.07568359,-89.62639000,-63.50584000
0.07629395,-92.13190000,-75.23934000
0.07690430,-101.13530000,-75.10349000
0.07751465,-95.14518000,-71.17439000
0.07812500,-88.67641000,-65.24409000
0.07873535,-88.82811000,-65.45664000
0.07934570,-92.72633000,-71.97348000
0.07995605,-89.73299000,-70.25604000
0.08056641,-87.03632000,-64.35247000
0.08117676,-91.21491000,-68.45755000
0.08178711,-100.20690000,-70.48169000
0.08239746,-87.83569000,-63.08683000
0.08300781,-84.80651000,-62.10594000
0.08361816,-86.79816000,-64.22284000
0.08422852,-93.16804000,-69.25096000
0.08483887,-100.11090000,-69.36057000
0.08544922,-96.42193000,-75.18674000
0.08605957,-85.76888000,-68.96983000
0.08666992,-82.77824000,-64.70720000
0.08728027,-83.67914000,-64.08282000
0.08789063,-83.83884000,-69.95715000
0.08850098,-79.35744000,-56.45630000
0.08911133,-60.16095000,-36.11482000
0.08972168,-51.25122000,-27.27712000
0.09033203,-51.68612000,-27.66143000
0.09094238,-61.80016000,-37.56475000
0.09155273,-86.13702000,-63.57838000
0.09216309,-90.92384000,-74.06210000
0.09277344,-95.64010000,-95.14244000
0.09338379,-90.39547000,-68.48317000
0.09399414,-90.24398000,-69.70615000
0.09460449,-90.07430000,-68.62256000
0.09521484,-88.12622000,-71.24911000
0.09582520,-89.09627000,-73.82810000
0.09643555,-90.53150000,-66.92025000
0.09704590,-88.18036000,-68.93463000
0.09765625,-104.89920000,-77.73329000
0.09826660,-90.59225000,-66.13366000
0.09887695,-87.66712000,-63.70098000
0.09948730,-85.33385000,-65.21584000
0.10009766,-83.86232000,-62.68445000
0.10070801,-81.86723000,-61.33782000
0.10131836,-84.36076000,-63.75497000
0.10192871,-98.91837000,-70.87568000
0.10253906,-90.34909000,-70.15450000
0.10314941,-97.46434000,-65.64108000
0.10375977,-100.53610000,-64.24747000
0.10437012,-89.19753000,-65.32304000
0.10498047,-87.02808000,-64.53643000
0.10559082,-91.26876000,-64.52470000
0.10620117,-92.24022000,-67.66064000
0.10681152,-111.67400000,-71.37820000
0.10742188,-91.49538000,-80.05356000
0.10803223,-90.36022000,-69.01140000
0.10864258,-90.02491000,-68.42350000
0.10925293,-81.91779000,-59.08873000
0.10986328,-77.11091000,-53.88526000
0.11047363,-80.26840000,-55.95486000
0.11108398,-93.46397000,-63.18467000
0.11169434,-97.97665000,-64.97798000
0.11230469,-89.67422000,-63.98509000
0.11291504,-88.67738000,-62.72973000
0.11352539,-88.54260000,-61.90403000
0.11413574,-93.06801000,-63.98891000
0.11474609,-95.67645000,-70.48592000
0.11535645,-92.82785000,-75.43611000
0.11596680,-99.87808000,-78.13429000
0.11657715,-100.06500000,-77.53741000
0.11718750,-86.33688000,-69.74693000
0.11779785,-83.77411000,-69.20669000
0.11840820,-86.92757000,-71.59375000
0.11901855,-87.79990000,-57.32795000
0.11962891,-72.71256000,-47.32225000
0.12023926,-70.97075000,-46.48963000
0.12084961,-77.63680000,-55.34218000
0.12145996,-85.66460000,-69.41202000
0.12207031,-85.16389000,-67.27072000
0.12268066,-89.37447000,-67.30661000
0.12329102,-91.73949000,-80.38002000
0.12390137,-93.08952000,-67.85922000
0.12451172,-91.96239000,-65.84093000
0.12512207,-90.44417000,-67.52155000
0.12573242,-88.70099000,-66.90356000
0.12634277,-89.05730000,-66.86519000
0.12695313,-95.91656000,-71.40801000
0.12756348,-106.63130000,-72.27098000
0.12817383,-97.30950000,-73.37283000
0.12878418,-94.04297000,-71.81922000
0.12939453,-88.42422000,-63.45343000
0.13000488,-81.78679000,-59.61211000
0.13061523,-82.27179000,-62.67185000
0.13122559,-88.44021000,-67.59841000
0.13183594,-94.55243000,-69.69711000
0.13244629,-86.80762000,-79.71482000
0.13305664,-85.49911000,-76.36440000
0.13366699,-86.51444000,-72.39243000
0.13427734,-86.82668000,-74.94479000
0.13488770,-90.76310000,-75.28383000
0.13549805,-106.70190000,-94.77959000
0.13610840,-100.87040000,-76.34515000
0.13671875,-98.31572000,-83.94411000
0.13732910,-99.73959000,-72.50138000
0.13793945,-100.29940000,-70.45699000
0.13854980,-101.20340000,-73.36587000
0.13916016,-89.59288000,-73.30042000
0.13977051,-84.14314000,-70.87011000
0.14038086,-86.70829000,-72.15361000
0.14099121,-91.96313000,-72.65618000
0.14160156,-88.63094000,-66.40868000
0.14221191,-93.31969000,-68.57126000
0.14282227,-92.28720000,-76.03467000
0.14343262,-91.28360000,-74.21560000
0.14404297,-98.14987000,-79.85066000
0.14465332,-94.56746000,-80.60184000
0.14526367,-90.58304000,-73.87403000
0.14587402,-89.85154000,-67.99350000
0.14648438,-91.41944000,-64.36098000
