Frequency,Channel B,Channel D
(kHz),(dBu),(dBu)

0.00000000,-40.36084000,-10.69103000
0.00061035,-47.84543000,-18.22960000
0.00122070,-62.82360000,-33.97643000
0.00183105,-75.99596000,-55.56448000
0.00244141,-75.33887000,-54.62433000
0.00305176,-74.99813000,-51.29147000
0.00366211,-77.62432000,-50.16751000
0.00427246,-83.57810000,-59.22509000
0.00488281,-81.47065000,-54.13986000
0.00549316,-76.54965000,-50.18738000
0.00610352,-77.33734000,-52.53390000
0.00671387,-81.95590000,-60.90583000
0.00732422,-87.73804000,-69.04641000
0.00793457,-82.30446000,-57.04433000
0.00854492,-81.55547000,-57.73205000
0.00915527,-78.37866000,-55.71262000
0.00976563,-77.25371000,-52.23409000
0.01037598,-78.88918000,-52.85872000
0.01098633,-80.57224000,-53.44048000
0.01159668,-82.23715000,-54.28595000
0.01220703,-84.51203000,-62.97176000
0.01281738,-82.33980000,-61.41941000
0.01342773,-86.46751000,-63.77145000
0.01403809,-85.01306000,-70.47107000
0.01464844,-90.06146000,-67.32740000
0.01525879,-85.60730000,-61.03859000
0.01586914,-83.74558000,-60.28086000
0.01647949,-90.76255000,-62.67243000
0.01708984,-93.92587000,-71.13318000
0.01770020,-85.88835000,-55.84142000
0.01831055,-87.61089000,-56.89658000
0.01892090,-81.39301000,-59.70882000
0.01953125,-78.25143000,-57.35172000
0.02014160,-84.67847000,-64.66443000
0.02075195,-88.99019000,-61.48972000
0.02136230,-83.33098000,-58.55204000
0.02197266,-84.24796000,-57.64097000
0.02258301,-82.79532000,-61.37665000
0.02319336,-75.71428000,-54.43009000
0.02380371,-75.28785000,-55.08557000
0.02441406,-82.10014000,-61.12825000
0.02502441,-83.12160000,-64.80189000
0.02563477,-79.55485000,-58.71780000
0.02624512,-82.99498000,-55.70697000
0.02685547,-84.31334000,-72.63465000
0.02746582,-85.80347000,-56.38617000
0.02807617,-83.86320000,-59.01503000
0.02868652,-41.23989000,-16.87620000
0.02929688,-22.85922000,1.53681000
0.02990723,-16.92221000,7.47628800
0.03051758,-20.03998000,4.35925700
0.03112793,-33.81742000,-9.41181700
0.03173828,-80.89246000,-56.69129000
0.03234863,-83.31496000,-58.64520000
0.03295898,-84.33847000,-60.25116000
0.03356934,-80.25371000,-55.76584000
0.03417969,-91.55478000,-64.44415000
0.03479004,-84.03576000,-63.69432000
0.03540039,-76.95374000,-52.88219000
0.03601074,-80.60823000,-56.29267000
0.03662109,-82.43007000,-60.02544000
0.03723145,-90.33777000,-69.06135000
0.03784180,-87.69080000,-61.85098000
0.03845215,-87.32941000,-60.39645000
0.03906250,-93.40592000,-67.61484000
0.03967285,-81.20988000,-61.39515000
0.04028320,-78.70268000,-60.06590000
0.04089355,-83.28980000,-68.56519000
0.04150391,-87.66914000,-66.27407000
0.04211426,-85.47339000,-64.74902000
0.04272461,-94.35655000,-75.53193000
0.04333496,-84.14716000,-61.78852000
0.04394531,-89.25412000,-74.61147000
0.04455566,-86.03101000,-58.23602000
0.04516602,-85.28652000,-58.51123000
0.04577637,-92.20735000,-66.04935000
0.04638672,-83.03352000,-58.41558000
0.04699707,-87.58620000,-61.83939000
0.04760742,-86.93663000,-70.27049000
0.04821777,-80.85510000,-57.48278000
0.04882813,-65.28506000,-42.28176000
0.04943848,-51.89444000,-29.14428000
0.05004883,-47.85403000,-25.26936000
0.05065918,-52.60632000,-30.19810000
0.05126953,-69.41593000,-47.47309000
0.05187988,-84.32496000,-60.87920000
0.05249023,-83.47320000,-60.69416000
0.05310059,-80.90439000,-58.56744000
0.05371094,-79.83865000,-56.99088000
0.05432129,-83.35654000,-59.92529000
0.05493164,-88.30117000,-62.23976000
0.05554199,-83.78316000,-67.30341000
0.05615234,-77.66110000,-56.73814000
0.05676270,-75.75095000,-53.88538000
0.05737305,-81.69862000,-59.43229000
0.05798340,-107.29230000,-70.21107000
0.05859375,-85.96516000,-67.75567000
0.05920410,-84.94987000,-71.58266000
0.05981445,-89.99023000,-55.98701000
0.06042480,-84.66263000,-57.46247000
0.06103516,-85.10932000,-60.85020000
0.06164551,-81.04893000,-56.44431000
0.06225586,-80.05874000,-58.77031000
0.06286621,-82.07909000,-60.42945000
0.06347656,-85.36533000,-61.32736000
0.06408691,-84.68991000,-61.65020000
0.06469727,-86.79767000,-63.22954000
0.06530762,-95.12376000,-71.37556000
0.06591797,-89.54857000,-69.42509000
0.06652832,-85.68256000,-61.83873000
0.06713867,-85.56059000,-61.89611000
0.06774902,-84.03835000,-59.49572000
0.06835938,-81.55165000,-59.23492000
0.06896973,-87.01920000,-68.66669000
0.06958008,-85.04238000,-58.32457000
0.07019043,-81.41938000,-59.78863000
0.07080078,-82.56008000,-66.04555000
0.07141113,-82.96165000,-60.73557000
0.07202148,-86.62845000,-58.30126000
0.07263184,-94.86420000,-67.26183000
0.07324219,-84.11490000,-63.07436000
0.07385254,-82.02374000,-60.08315000
0.07446289,-89.57131000,-64.89730000
0.07507324,-91.95474000,-76.38698000
0.07568359,-90.04655000,-72.74751000
0.07629395,-92.44125000,-70.24902000
0.07690430,-88.71611000,-66.52204000
0.07751465,-94.95677000,-64.13375000
0.07812500,-92.76839000,-61.57484000
0.07873535,-89.54976000,-62.87128000
0.07934570,-88.33619000,-62.54306000
0.07995605,-84.09261000,-56.28519000
0.08056641,-86.14740000,-58.87554000
0.08117676,-91.59351000,-64.89610000
0.08178711,-93.86163000,-63.38356000
0.08239746,-91.88831000,-63.64628000
0.08300781,-87.94992000,-65.41644000
0.08361816,-90.80822000,-69.10664000
0.08422852,-84.67362000,-63.72181000
0.08483887,-82.03456000,-60.87985000
0.08544922,-87.36240000,-68.46590000
0.08605957,-85.03010000,-64.13908000
0.08666992,-86.61418000,-61.49327000
0.08728027,-89.39088000,-61.39990000
0.08789063,-89.91971000,-65.72754000
0.08850098,-86.97055000,-69.33747000
0.08911133,-70.97227000,-49.73854000
0.08972168,-62.43884000,-39.52698000
0.09033203,-63.29786000,-39.81127000
0.09094238,-73.96956000,-50.00963000
0.09155273,-93.84071000,-64.95019000
0.09216309,-93.37221000,-64.88669000
0.09277344,-100.11910000,-68.80731000
0.09338379,-106.22030000,-73.32303000
0.09399414,-100.23930000,-84.83173000
0.09460449,-89.11168000,-71.62138000
0.09521484,-84.80872000,-63.76471000
0.09582520,-84.86256000,-64.77591000
0.09643555,-89.67313000,-74.31551000
0.09704590,-98.06323000,-70.86783000
0.09765625,-105.49070000,-70.38894000
0.09826660,-89.34673000,-66.16143000
0.09887695,-85.04753000,-62.22086000
0.09948730,-87.76047000,-56.57014000
0.10009766,-78.23676000,-54.81172000
0.10070801,-76.82773000,-60.21734000
0.10131836,-82.05412000,-65.43393000
0.10192871,-88.17282000,-66.44269000
0.10253906,-97.61448000,-72.84312000
0.10314941,-93.68887000,-77.59000000
0.10375977,-90.24042000,-67.77264000
0.10437012,-90.00573000,-66.03619000
0.10498047,-85.99418000,-61.64824000
0.10559082,-84.26379000,-63.84012000
0.10620117,-83.05955000,-67.72878000
0.10681152,-85.47855000,-66.30113000
0.10742188,-92.29064000,-67.04527000
0.10803223,-89.98325000,-65.90715000
0.10864258,-88.45644000,-68.13813000
0.10925293,-89.55164000,-65.64872000
0.10986328,-84.29620000,-61.75912000
0.11047363,-86.04195000,-63.34771000
0.11108398,-90.06976000,-64.62910000
0.11169434,-84.91375000,-62.31069000
0.11230469,-85.26945000,-63.35518000
0.11291504,-94.28050000,-68.98715000
0.11352539,-95.15205000,-70.43023000
0.11413574,-89.00238000,-69.38501000
0.11474609,-89.68501000,-68.76296000
0.11535645,-90.33680000,-67.86954000
0.11596680,-90.48949000,-66.20080000
0.11657715,-98.97542000,-66.70210000
0.11718750,-99.69771000,-66.17557000
0.11779785,-91.54082000,-65.06250000
0.11840820,-86.68967000,-65.05774000
0.11901855,-84.29130000,-63.67336000
0.11962891,-75.10062000,-51.38450000
0.12023926,-74.78899000,-50.25392000
0.12084961,-83.91254000,-59.34467000
0.12145996,-97.94351000,-74.42165000
0.12207031,-86.40228000,-68.44717000
0.12268066,-88.74274000,-76.70432000
0.12329102,-99.23667000,-75.03955000
0.12390137,-90.71232000,-73.68594000
0.12451172,-95.43401000,-69.32728000
0.12512207,-93.26829000,-69.17519000
0.12573242,-101.22520000,-71.38837000
0.12634277,-88.28246000,-70.21217000
0.12695313,-102.09500000,-73.43447000
0.12756348,-87.61543000,-71.84562000
0.12817383,-85.59463000,-74.44113000
0.12878418,-93.18069000,-86.48213000
0.12939453,-88.55087000,-71.25056000
0.13000488,-81.49709000,-63.14179000
0.13061523,-79.73750000,-63.22514000
0.13122559,-84.82019000,-67.96177000
0.13183594,-90.09441000,-72.29000000
0.13244629,-90.69778000,-89.38782000
0.13305664,-89.28165000,-71.01984000
0.13366699,-88.16227000,-69.71617000
0.13427734,-88.97243000,-70.13953000
0.13488770,-87.55304000,-74.60960000
0.13549805,-88.47768000,-72.18948000
0.13610840,-88.60854000,-66.78770000
0.13671875,-85.15694000,-71.57970000
0.13732910,-87.57832000,-69.58642000
0.13793945,-88.90240000,-69.70260000
0.13854980,-92.95627000,-72.25459000
0.13916016,-82.68760000,-63.00549000
0.13977051,-75.10777000,-55.91686000
0.14038086,-77.52763000,-56.91225000
0.14099121,-89.59148000,-65.50014000
0.14160156,-92.96571000,-68.18990000
0.14221191,-84.75372000,-69.21250000
0.14282227,-86.21346000,-73.42836000
0.14343262,-98.13751000,-73.75868000
0.14404297,-89.64439000,-72.96342000
0.14465332,-87.79014000,-74.53020000
0.14526367,-86.10117000,-80.97392000
0.14587402,-87.59213000,-91.25719000
0.14648438,-89.16732000,-83.95598000
