time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
4272700,40.029202,32.000000,8.029202,40.000000,-0.058403,1.000000,0.332051,0.000540873,
4272800,40.029202,32.250000,7.779202,40.000000,-0.058403,1.000000,0.331986,0.000540521,
4272900,40.029202,32.250000,7.779202,40.000000,-0.029202,1.000000,0.331859,0.000540271,
4273000,40.139603,32.250000,7.889603,40.000000,-0.029202,1.000000,0.331728,0.000539760,
4273100,40.139603,32.250000,7.889603,40.000000,-0.029202,1.000000,0.331613,0.000539093,
4273200,40.139603,32.250000,7.889603,40.000000,-0.029202,1.000000,0.331533,0.000538304,
4273300,40.194801,32.250000,7.944801,40.000000,-0.139603,1.000000,0.331482,0.000537601,
4273400,40.194801,32.750000,7.444801,40.000000,-0.139603,1.000000,0.331379,0.000537005,
4273500,40.194801,32.750000,7.444801,40.000000,-0.139603,1.000000,0.331262,0.000536549,
4273600,40.097401,32.750000,7.347401,40.000000,-0.139603,1.000000,0.331169,0.000536168,
4273700,40.097401,32.250000,7.847401,40.000000,-0.097401,1.000000,0.331069,0.000536022,
4273800,40.097401,32.250000,7.847401,40.000000,-0.097401,1.000000,0.330987,0.000535916,
4273900,39.923698,32.250000,7.673698,40.000000,-0.097401,1.000000,0.330904,0.000535995,
4274000,39.923698,32.500000,7.423698,40.000000,-0.097401,1.000000,0.330785,0.000535972,
4274100,39.923698,32.500000,7.423698,40.000000,0.076302,0.978127,0.330636,0.000535961,
4274200,39.711849,32.500000,7.211849,40.000000,0.076302,0.978127,0.330538,0.000536906,
4274300,39.711849,32.500000,7.211849,40.000000,0.076302,0.978127,0.330464,0.000537747,
4274400,39.711849,32.500000,7.211849,40.000000,0.076302,0.978127,0.330309,0.000537932,
4274500,39.855927,32.500000,7.355927,40.000000,0.288151,0.921432,0.330170,0.000536510,
4274600,39.855927,32.000000,7.855927,40.000000,0.288151,0.921432,0.330042,0.000536229,
4274700,39.855927,32.000000,7.855927,40.000000,0.288151,0.921432,0.329977,0.000536060,
4274800,40.052963,32.000000,8.052963,40.000000,0.288151,0.921432,0.329918,0.000536088,
4274900,40.052963,32.250000,7.802963,40.000000,-0.052963,1.000000,0.329831,0.000537075,
4275000,40.052963,32.250000,7.802963,40.000000,-0.052963,1.000000,0.329690,0.000536658,
4275100,40.026482,32.250000,7.776482,40.000000,-0.052963,1.000000,0.329611,0.000536347,
4275200,40.013241,32.250000,7.763241,40.000000,-0.052963,1.000000,0.329582,0.000536162,
4275300,40.013241,32.250000,7.763241,40.000000,-0.013241,0.998397,0.329467,0.000535782,
4275400,40.013241,32.250000,7.763241,40.000000,-0.013241,0.998397,0.329323,0.000536051,
4275500,40.006622,32.250000,7.756622,40.000000,-0.013241,0.998397,0.329261,0.000536379,
4275600,40.006622,32.750000,7.256622,40.000000,-0.013241,0.998397,0.329198,0.000536856,
4275700,40.006622,32.750000,7.256622,40.000000,-0.006622,0.996469,0.329086,0.000537103,
4275800,39.878311,32.750000,7.128311,40.000000,-0.006622,0.996469,0.328967,0.000537164,
4275900,39.878311,32.750000,7.128311,40.000000,-0.006622,0.996469,0.328895,0.000537088,
4276000,39.878311,32.750000,7.128311,40.000000,-0.006622,0.996469,0.328756,0.000536670,
4276100,39.689156,32.750000,6.939156,40.000000,0.121689,0.962609,0.328661,0.000535791,
4276200,39.689156,32.250000,7.439156,40.000000,0.121689,0.962609,0.328620,0.000535281,
4276300,39.689156,32.250000,7.439156,40.000000,0.121689,0.962609,0.328504,0.000534919,
4276400,39.594578,32.250000,7.344578,40.000000,0.121689,0.962609,0.328351,0.000534799,
4276500,39.594578,32.750000,6.844578,40.000000,0.405422,0.886961,0.328226,0.000534059,
4276600,39.594578,32.750000,6.844578,40.000000,0.405422,0.886961,0.328072,0.000534387,
4276700,39.547287,32.750000,6.797287,40.000000,0.405422,0.886961,0.327949,0.000534665,
4276800,39.547287,32.500000,7.047287,40.000000,0.405422,0.886961,0.327801,0.000534435,
4276900,39.547287,32.500000,7.047287,40.000000,0.452713,0.869777,0.327574,0.000534400,
4277000,39.773643,32.500000,7.273643,40.000000,0.452713,0.869777,0.327476,0.000534208,
4277100,39.773643,32.500000,7.273643,40.000000,0.452713,0.869777,0.327339,0.000534116,
4277200,39.773643,32.500000,7.273643,40.000000,0.452713,0.869777,0.327251,0.000534246,
4277300,39.636822,32.500000,7.136822,40.000000,0.226357,0.925067,0.327158,0.000534005,
4277400,39.636822,32.250000,7.386822,40.000000,0.226357,0.925067,0.327012,0.000533405,
4277500,39.636822,32.250000,7.386822,40.000000,0.226357,0.925067,0.326929,0.000533105,
4277600,39.818413,32.250000,7.568413,40.000000,0.226357,0.925067,0.326831,0.000533107,
4277700,39.818413,32.250000,7.568413,40.000000,0.181587,0.934652,0.326756,0.000533360,
4277800,39.818413,32.250000,7.568413,40.000000,0.181587,0.934652,0.326670,0.000533676,
4277900,39.909206,32.250000,7.659206,40.000000,0.181587,0.934652,0.326568,0.000534387,
4278000,39.909206,32.250000,7.659206,40.000000,0.181587,0.934652,0.326450,0.000534622,
4278100,39.909206,32.250000,7.659206,40.000000,0.090794,0.957578,0.326405,0.000535593,
4278200,39.954605,32.250000,7.704605,40.000000,0.090794,0.957578,0.326286,0.000535841,
4278300,39.954605,32.500000,7.454605,40.000000,0.090794,0.957578,0.326173,0.000536553,
4278400,39.954605,32.500000,7.454605,40.000000,0.090794,0.957578,0.326023,0.000536391,
4278500,39.852303,32.500000,7.352303,40.000000,0.045395,0.968284,0.325939,0.000536870,
4278600,39.852303,32.500000,7.352303,40.000000,0.045395,0.968284,0.325861,0.000536614,
4278700,39.852303,32.500000,7.352303,40.000000,0.045395,0.968284,0.325705,0.000535731,
4278800,39.801151,32.500000,7.301151,40.000000,0.045395,0.968284,0.325610,0.000535429,
4278900,39.801151,32.250000,7.551151,40.000000,0.198849,0.928133,0.325511,0.000533677,
4279000,39.801151,32.250000,7.551151,120.000000,0.198849,0.928133,0.325412,0.000533408,
4279100,39.775574,32.250000,7.525574,120.000000,0.198849,0.928133,0.325327,0.000533415,
4279200,39.775574,32.250000,7.525574,120.000000,0.198849,0.928133,0.325182,0.000533641,
4279300,39.775574,32.250000,7.525574,120.000000,80.224426,0.000000,0.324706,0.000533107,
4279400,39.887787,32.250000,7.637787,120.000000,80.224426,0.000000,0.324320,0.000532428,
4279500,39.887787,32.500000,7.387787,120.000000,80.224426,0.000000,0.323929,0.000531787,
4279600,39.887787,32.500000,7.387787,120.000000,80.224426,0.000000,0.323589,0.000531203,
4279700,39.818893,32.500000,7.318893,120.000000,80.112213,0.000000,0.323303,0.000530646,
4279800,39.818893,32.250000,7.568893,120.000000,80.112213,0.000000,0.322981,0.000529821,
4279900,39.818893,32.250000,7.568893,120.000000,80.112213,0.000000,0.322692,0.000529159,
4280000,39.659447,32.250000,7.409447,120.000000,80.112213,0.000000,0.322386,0.000528565,
4280100,39.659447,32.250000,7.409447,120.000000,80.340553,0.000000,0.322137,0.000527862,
4280200,39.659447,32.250000,7.409447,120.000000,80.340553,0.000000,0.321923,0.000527137,
4280300,39.829723,32.250000,7.579723,120.000000,80.340553,0.000000,0.321670,0.000526479,
4280400,39.829723,32.250000,7.579723,120.000000,80.340553,0.000000,0.321446,0.000525877,
4280500,39.829723,32.250000,7.579723,120.000000,80.170273,0.000000,0.321236,0.000525177,
4280600,39.914864,32.250000,7.664864,120.000000,80.170273,0.000000,0.321074,0.000524860,
4280700,39.914864,32.000000,7.914864,120.000000,80.170273,0.000000,0.320933,0.000524590,
4280800,39.914864,32.000000,7.914864,120.000000,80.170273,0.000000,0.320744,0.000524410,
4280900,39.707432,32.000000,7.707432,120.000000,80.085136,0.000000,0.320567,0.000524324,
4281000,39.707432,32.500000,7.207432,120.000000,80.085136,0.000000,0.320356,0.000524232,
