time,temp_hot_side,temp_cold_side,temp_delta,hot_side_set_point,hot_side_pid_error,hot_side_duty_cycle,teg_oc_voltage,teg_current,
7846600,52.256653,43.000000,9.256653,0.000000,-52.263306,1.000000,0.356436,0.000009145,
7846700,52.256653,43.000000,9.256653,0.000000,-52.263306,1.000000,0.356324,0.000009165,
7846800,52.378326,43.000000,9.378326,0.000000,-52.263306,1.000000,0.356337,0.000009179,
7846900,52.378326,42.500000,9.878326,0.000000,-52.378326,1.000000,0.356241,0.000009187,
7847000,52.378326,42.500000,9.878326,0.000000,-52.378326,1.000000,0.356200,0.000009232,
7847100,52.189163,42.500000,9.689163,0.000000,-52.378326,1.000000,0.356118,0.000009236,
7847200,52.189163,43.000000,9.189163,0.000000,-52.378326,1.000000,0.356001,0.000009243,
7847300,52.189163,43.000000,9.189163,0.000000,-52.189163,1.000000,0.355999,0.000009251,
7847400,52.094582,43.000000,9.094582,0.000000,-52.189163,1.000000,0.355996,0.000009279,
7847500,52.094582,43.000000,9.094582,0.000000,-52.189163,1.000000,0.355916,0.000009296,
7847600,52.094582,43.000000,9.094582,0.000000,-52.189163,1.000000,0.355839,0.000009318,
7847700,52.172291,43.000000,9.172291,0.000000,-52.094582,1.000000,0.355761,0.000009402,
7847800,52.172291,43.250000,8.922291,0.000000,-52.094582,1.000000,0.356155,0.000009903,
7847900,52.172291,43.250000,8.922291,0.000000,-52.094582,1.000000,0.357129,0.000010946,
7848000,52.336143,43.250000,9.086143,0.000000,-52.094582,1.000000,0.357706,0.000011650,
7848100,52.336143,43.000000,9.336143,0.000000,-52.336143,1.000000,0.358216,0.000012201,
7848200,52.336143,43.000000,9.336143,0.000000,-52.336143,1.000000,0.358651,0.000012626,
7848300,52.293072,43.000000,9.293072,0.000000,-52.336143,1.000000,0.359053,0.000013059,
7848400,52.293072,43.000000,9.293072,0.000000,-52.336143,1.000000,0.359411,0.000013425,
7848500,52.293072,43.000000,9.293072,0.000000,-52.293072,1.000000,0.359605,0.000013778,
7848600,52.396538,43.000000,9.396538,0.000000,-52.293072,1.000000,0.359878,0.000014061,
7848700,52.396538,43.000000,9.396538,0.000000,-52.293072,1.000000,0.360414,0.000014640,
7848800,52.396538,43.000000,9.396538,0.000000,-52.293072,1.000000,0.361088,0.000015476,
7848900,52.323269,43.000000,9.323269,0.000000,-52.396538,1.000000,0.361855,0.000016241,
7849000,52.323269,43.000000,9.323269,0.000000,-52.396538,1.000000,0.362600,0.000016961,
7849100,52.323269,43.000000,9.323269,0.000000,-52.396538,1.000000,0.363188,0.000017655,
7849200,52.286636,43.000000,9.286636,0.000000,-52.396538,1.000000,0.363790,0.000018277,
7849300,52.286636,43.000000,9.286636,0.000000,-52.286636,1.000000,0.364431,0.000018823,
7849400,52.286636,43.000000,9.286636,0.000000,-52.286636,1.000000,0.364863,0.000019311,
7849500,52.143318,43.000000,9.143318,0.000000,-52.286636,1.000000,0.365323,0.000019764,
7849600,52.143318,43.000000,9.143318,0.000000,-52.286636,1.000000,0.372979,0.000027512,
7849700,52.143318,43.000000,9.143318,0.000000,-52.143318,1.000000,0.375637,0.000030333,
7849800,52.196659,43.000000,9.196659,0.000000,-52.143318,1.000000,0.375299,0.000029997,
7849900,52.196659,43.000000,9.196659,0.000000,-52.143318,1.000000,0.374727,0.000029428,
7850000,52.196659,43.000000,9.196659,0.000000,-52.143318,1.000000,0.374018,0.000028792,
7850100,51.973328,43.000000,8.973328,0.000000,-52.196659,1.000000,0.373862,0.000028644,
7850200,51.973328,42.750000,9.223328,0.000000,-52.196659,1.000000,0.374172,0.000028913,
7850300,51.973328,42.750000,9.223328,0.000000,-52.196659,1.000000,0.373088,0.000027929,
7850400,51.986664,42.750000,9.236664,0.000000,-52.196659,1.000000,0.372401,0.000027484,
7850500,51.986664,42.750000,9.236664,0.000000,-51.986664,1.000000,0.370259,0.000025327,
7850600,51.986664,42.750000,9.236664,0.000000,-51.986664,1.000000,0.368412,0.000023537,
7850700,52.118332,42.750000,9.368332,0.000000,-51.986664,1.000000,0.369881,0.000025118,
7850800,52.118332,43.000000,9.118332,0.000000,-51.986664,1.000000,0.368871,0.000024211,
7850900,52.118332,43.000000,9.118332,0.000000,-52.118332,1.000000,0.367302,0.000022660,
7851000,52.184166,43.000000,9.184166,0.000000,-52.118332,1.000000,0.366003,0.000021281,
7851100,52.184166,43.000000,9.184166,0.000000,-52.118332,1.000000,0.367683,0.000022986,
7851200,52.184166,43.000000,9.184166,0.000000,-52.118332,1.000000,0.367566,0.000022995,
7851300,51.967083,43.000000,8.967083,0.000000,-52.184166,1.000000,0.365516,0.000021123,
7851400,51.967083,42.750000,9.217083,0.000000,-52.184166,1.000000,0.363675,0.000019405,
7851500,51.967083,42.750000,9.217083,0.000000,-52.184166,1.000000,0.362055,0.000017895,
7851600,52.108543,42.750000,9.358543,0.000000,-52.184166,1.000000,0.360646,0.000016531,
7851700,52.108543,42.750000,9.358543,0.000000,-52.108543,1.000000,0.359338,0.000015284,
7851800,52.108543,42.750000,9.358543,0.000000,-52.108543,1.000000,0.358082,0.000014173,
7851900,52.179272,42.750000,9.429272,0.000000,-52.108543,1.000000,0.357175,0.000013294,
7852000,52.179272,42.250000,9.929272,0.000000,-52.108543,1.000000,0.356428,0.000012470,
7852100,52.179272,42.250000,9.929272,0.000000,-52.179272,1.000000,0.355511,0.000011621,
7852200,52.089638,42.250000,9.839638,0.000000,-52.179272,1.000000,0.354687,0.000010865,
7852300,52.089638,42.500000,9.589638,0.000000,-52.179272,1.000000,0.354019,0.000010231,
7852400,52.089638,42.500000,9.589638,0.000000,-52.179272,1.000000,0.353536,0.000009598,
7852500,52.044819,42.500000,9.544819,0.000000,-52.089638,1.000000,0.353068,0.000009115,
7852600,52.044819,42.250000,9.794819,0.000000,-52.089638,1.000000,0.352632,0.000008549,
7852700,52.044819,42.250000,9.794819,0.000000,-52.089638,1.000000,0.352272,0.000008062,
7852800,51.897408,42.250000,9.647408,0.000000,-52.089638,1.000000,0.352044,0.000007658,
7852900,51.897408,42.250000,9.647408,0.000000,-51.897408,1.000000,0.351892,0.000007323,
7853000,51.897408,42.250000,9.647408,0.000000,-51.897408,1.000000,0.351796,0.000007006,
7853100,51.698704,42.250000,9.448704,0.000000,-51.897408,1.000000,0.351659,0.000006742,
7853200,51.698704,42.000000,9.698704,0.000000,-51.897408,1.000000,0.351641,0.000006455,
7853300,51.698704,42.000000,9.698704,0.000000,-51.698704,1.000000,0.351634,0.000006226,
7853400,51.474350,42.000000,9.474350,0.000000,-51.698704,1.000000,0.351595,0.000006011,
7853500,51.474350,42.000000,9.474350,0.000000,-51.698704,1.000000,0.351561,0.000005759,
7853600,51.474350,42.000000,9.474350,0.000000,-51.698704,1.000000,0.351607,0.000005572,
7853700,51.487175,42.000000,9.487175,0.000000,-51.474350,1.000000,0.351745,0.000005409,
7853800,51.487175,41.750000,9.737175,0.000000,-51.474350,1.000000,0.351826,0.000005257,
7853900,51.487175,41.750000,9.737175,0.000000,-51.474350,1.000000,0.351963,0.000005080,
7854000,51.618587,41.750000,9.868587,0.000000,-51.474350,1.000000,0.352116,0.000004983,
7854100,51.618587,41.500000,10.118587,0.000000,-51.618587,1.000000,0.352278,0.000004865,
7854200,51.618587,41.500000,10.118587,0.000000,-51.618587,1.000000,0.352486,0.000004738,
7854300,51.309296,41.500000,9.809296,0.000000,-51.618587,1.000000,0.352674,0.000004639,
7854400,51.309296,41.500000,9.809296,0.000000,-51.618587,1.000000,0.352904,0.000004552,
7854500,51.309296,41.500000,9.809296,0.000000,-51.309296,1.000000,0.353198,0.000004434,
7854600,51.154648,41.500000,9.654648,0.000000,-51.309296,1.000000,0.353404,0.000004346,
7854700,51.154648,41.250000,9.904648,0.000000,-51.309296,1.000000,0.353718,0.000004331,
7854800,51.154648,41.250000,9.904648,0.000000,-51.309296,1.000000,0.354118,0.000004275,
7854900,51.202324,41.250000,9.952324,0.000000,-51.154648,1.000000,0.354404,0.000004222,
7855000,51.202324,41.250000,9.952324,0.000000,-51.154648,1.000000,0.354773,0.000004172,
7855100,51.202324,41.250000,9.952324,0.000000,-51.154648,1.000000,0.355147,0.000004116,
